"id","value.2005","original-value.2005","value.2006","original-value.2006","value.2007","original-value.2007","value.2008","original-value.2008","value.2009","original-value.2009","value.2010","original-value.2010","value.2011","original-value.2011","value.2012","original-value.2012"
"AD",,,,,,,,,,,,,,,,
"AE",4.900000095,4.900000095,4.6666666663,,4.4333332377,,4.199999809,4.199999809,3.799999952,3.799999952,,,,,,
"AF",,,,,,,,,,,,,,,,
"AG",2.799999952,2.799999952,2.799999952,2.799999952,2.799999952,2.799999952,2.799999952,2.799999952,,,,,,,,
"AL",58.5,58.5,58,58,47.59999847,47.59999847,43.90000153,43.90000153,42.09999847,42.09999847,41.5,41.5,,,,
"AM",46.20000076,46.20000076,46.20000076,46.20000076,46,46,37.59999847,37.59999847,39.5,39.5,38.59999847,38.59999847,38.90000153,38.90000153,,
"AO",,,,,,,,,,,,,,,,
"AR",1.100000024,1.100000024,1,1,0.899999976,0.899999976,1.200000048,1.200000048,1.200000048,1.200000048,1.299999952,1.299999952,1.200000048,1.200000048,0.600000024,0.600000024
"AS",,,,,,,,,,,,,,,,
"AT",5.5,5.5,5.5,5.5,5.699999809,5.699999809,5.400000095,5.400000095,5.300000191,5.300000191,5.199999809,5.199999809,5.300000191,5.300000191,4.900000095,4.900000095
"AU",3.599999905,3.599999905,3.400000095,3.400000095,3.299999952,3.299999952,3.299999952,3.299999952,3.299999952,3.299999952,,,,,,
"AW",,,,,0.699999988,0.699999988,,,,,,,,,,
"AZ",39.29999924,39.29999924,39.09999847,39.09999847,38.70000076,38.70000076,38.40000153,38.40000153,38.09999847,38.09999847,38.20000076,38.20000076,37.90000153,37.90000153,37.70000076,37.70000076
"BA",,,20.60000038,20.60000038,19.79999924,19.79999924,20.60000038,20.60000038,21.20000076,21.20000076,19.70000076,19.70000076,19.60000038,19.60000038,20.5,20.5
"BB",,,,,,,,,,,2.799999952,2.799999952,3.299999952,3.299999952,2.799999952,2.799999952
"BD",48.09999847,48.09999847,,,,,,,,,,,,,,
"BE",2,2,1.899999976,1.899999976,1.799999952,1.799999952,1.600000024,1.600000024,1.5,1.5,1.399999976,1.399999976,1.299999952,1.299999952,1.200000048,1.200000048
"BF",84.80000305,84.80000305,,,,,,,,,,,,,,
"BG",8.899999619,8.899999619,8.100000381,8.100000381,7.5,7.5,7.5,7.5,7.099999905,7.099999905,6.800000191,6.800000191,6.800000191,6.800000191,6.400000095,6.400000095
"BH",,,,,,,,,,,1.100000024,1.100000024,,,,
"BI",,,,,,,,,,,,,,,,
"BJ",,,,,,,,,,,,,,,,
"BM",,,,,,,,,,,,,,,,
"BN",,,,,,,,,,,,,,,,
"BO",38.59999847,38.59999847,39.5,39.5,36.09999847,36.09999847,34.29999924,34.29999924,32.09999847,32.09999847,,,,,,
"BR",20.5,20.5,19.29999924,19.29999924,18.29999924,18.29999924,17.39999962,17.39999962,17,17,16.150000095,,15.30000019,15.30000019,,
"BS",3.5,3.5,2.5,2.5,2.299999952,2.299999952,2.900000095,2.900000095,2.900000095,2.900000095,3.3000000715,,3.700000048,3.700000048,,
"BT",43.59999847,43.59999847,63.09999847,63.09999847,63.8666661567,,64.6333338433,,65.40000153,65.40000153,59.5,59.5,60.09999847,60.09999847,62.20000076,62.20000076
"BW",,,29.89999962,29.89999962,,,,,,,,,,,,
"BY",,,,,,,,,10.5,10.5,,,,,,
"BZ",19.5,19.5,,,,,,,,,,,,,,
"CA",2.700000048,2.700000048,2.599999905,2.599999905,2.5,2.5,2.400000095,2.400000095,,,,,,,,
"CD",,,,,,,,,,,,,,,,
"CF",,,,,,,,,,,,,,,,
"CG",35.40000153,35.40000153,,,,,,,,,,,,,,
"CH",3.799999952,3.799999952,3.799999952,3.799999952,3.900000095,3.900000095,3.299999952,3.299999952,3.099999905,3.099999905,3.299999952,3.299999952,3.400000095,3.400000095,3.5,3.5
"CI",,,,,,,,,,,,,,,,
"CL",13.19999981,13.19999981,12.80000019,12.80000019,12.30000019,12.30000019,11.69999981,11.69999981,11.19999981,11.19999981,10.60000038,10.60000038,10.30000019,10.30000019,,
"CM",55.70000076,55.70000076,55.220000456,,54.740000152,,54.259999848,,53.779999544,,53.29999924,53.29999924,,,,
"CN",44.79999924,44.79999924,42.59999847,42.59999847,40.79999924,40.79999924,39.59999847,39.59999847,38.09999847,38.09999847,36.70000076,36.70000076,34.79999924,34.79999924,,
"CO",21.39999962,21.39999962,20.70000076,20.70000076,19.70000076,19.70000076,17.89999962,17.89999962,18.10000038,18.10000038,18.39999962,18.39999962,17.60000038,17.60000038,16.89999962,16.89999962
"CR",15.19999981,15.19999981,14,14,13.19999981,13.19999981,12.30000019,12.30000019,12.30000019,12.30000019,15,15,14.10000038,14.10000038,13.39999962,13.39999962
"CU",20.20000076,20.20000076,20,20,18.70000076,18.70000076,18.60000038,18.60000038,18.60000038,18.60000038,18.5,18.5,19.70000076,19.70000076,,
"CV",,,,,,,,,,,,,,,,
"CW",,,,,,,,,,,,,,,,
"CY",4.599999905,4.599999905,4.300000191,4.300000191,4.400000095,4.400000095,4.199999809,4.199999809,3.900000095,3.900000095,3.799999952,3.799999952,3.799999952,3.799999952,2.900000095,2.900000095
"CZ",4,4,3.799999952,3.799999952,3.599999905,3.599999905,3.200000048,3.200000048,3.099999905,3.099999905,3.099999905,3.099999905,3,3,3.099999905,3.099999905
"DE",2.400000095,2.400000095,2.299999952,2.299999952,2.200000048,2.200000048,1.799999952,1.799999952,1.700000048,1.700000048,1.600000024,1.600000024,1.600000024,1.600000024,1.5,1.5
"DJ",,,,,,,,,,,,,,,,
"DK",2.799999952,2.799999952,2.900000095,2.900000095,2.599999905,2.599999905,2.5,2.5,2.599999905,2.599999905,2.400000095,2.400000095,2.400000095,2.400000095,2.599999905,2.599999905
"DM",,,,,,,,,,,,,,,,
"DO",14.60000038,14.60000038,15,15,14.5,14.5,15,15,14.5,14.5,12,12,14.5,14.5,,
"DZ",,,,,,,13.69999981,13.69999981,13.10000038,13.10000038,11.69999981,11.69999981,10.80000019,10.80000019,,
"EC",31.5,31.5,31.29999924,31.29999924,29.60000038,29.60000038,28.70000076,28.70000076,28.70000076,28.70000076,28.20000076,28.20000076,28.29999924,28.29999924,27.79999924,27.79999924
"EE",5.199999809,5.199999809,4.800000191,4.800000191,4.599999905,4.599999905,3.900000095,3.900000095,4,4,4.199999809,4.199999809,4.400000095,4.400000095,4.699999809,4.699999809
"EG",30.89999962,30.89999962,31.20000076,31.20000076,31.70000076,31.70000076,31.60000038,31.60000038,29.89999962,29.89999962,28.20000076,28.20000076,29.20000076,29.20000076,,
"ER",,,,,,,,,,,,,,,,
"ES",5.300000191,5.300000191,4.800000191,4.800000191,4.5,4.5,4,4,4.199999809,4.199999809,4.300000191,4.300000191,4.199999809,4.199999809,4.400000095,4.400000095
"ET",79.30000305,79.30000305,,,,,,,,,,,,,,
"FI",4.800000191,4.800000191,4.599999905,4.599999905,4.5,4.5,4.5,4.5,4.599999905,4.599999905,4.400000095,4.400000095,4.199999809,4.199999809,4.099999905,4.099999905
"FJ",,,,,,,,,,,,,,,,
"FM",,,,,,,,,,,,,,,,
"FO",11.10000038,11.10000038,,,,,,,,,,,,,,
"FR",3.599999905,3.599999905,3.700000048,3.700000048,3.5,3.5,2.700000048,2.700000048,2.900000095,2.900000095,2.900000095,2.900000095,2.900000095,2.900000095,2.900000095,2.900000095
"GA",24.20000076,24.20000076,,,,,,,,,,,,,,
"GB",1.299999952,1.299999952,1.299999952,1.299999952,1.399999976,1.399999976,1.100000024,1.100000024,1.100000024,1.100000024,1.200000048,1.200000048,1.200000048,1.200000048,1.200000048,1.200000048
"GD",,,,,,,,,,,,,,,,
"GE",54.29999924,54.29999924,55.29999924,55.29999924,53.40000153,53.40000153,,,,,,,,,,
"GH",,,57.20000076,57.20000076,53.27500057,,49.35000038,,45.42500019,,41.5,41.5,,,,
"GL",,,,,,,,,,,,,,,,
"GM",,,,,,,,,,,,,,,,
"GN",,,,,,,,,,,,,,,,
"GQ",,,,,,,,,,,,,,,,
"GR",12.39999962,12.39999962,12,12,11.5,11.5,11.30000019,11.30000019,11.89999962,11.89999962,12.5,12.5,12.39999962,12.39999962,13,13
"GT",,,33.20000076,33.20000076,33.27500057,,33.35000038,,33.42500019,,33.5,33.5,37.70000076,37.70000076,32.29999924,32.29999924
"GU",,,,,,,,,,,0.300000012,0.300000012,,,,
"GW",,,,,,,,,,,,,,,,
"GY",,,,,,,,,,,,,,,,
"HK",0.300000012,0.300000012,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,,,,,,,,
"HN",39.20000076,39.20000076,36.29999924,36.29999924,34.59999847,34.59999847,35.5,35.5,37.09999847,37.09999847,36,36,35.29999924,35.29999924,,
"HR",17.29999924,17.29999924,14.19999981,14.19999981,13.10000038,13.10000038,13.39999962,13.39999962,13.89999962,13.89999962,14.89999962,14.89999962,15.39999962,15.39999962,13.69999981,13.69999981
"HT",,,,,,,,,,,,,,,,
"HU",5,5,4.900000095,4.900000095,4.699999809,4.699999809,4.300000191,4.300000191,4.599999905,4.599999905,4.5,4.5,4.800000191,4.800000191,5.199999809,5.199999809
"ID",44,44,42,42,41.20000076,41.20000076,40.29999924,40.29999924,39.70000076,39.70000076,38.34747001,38.34747001,38.964946,38.964946,35.08959638,35.08959638
"IE",5.900000095,5.900000095,5.599999905,5.599999905,5.400000095,5.400000095,5.300000191,5.300000191,4.900000095,4.900000095,4.5,4.5,4.5,4.5,4.699999809,4.699999809
"IL",2,2,1.799999952,1.799999952,1.600000024,1.600000024,1.700000048,1.700000048,1.700000048,1.700000048,,,,,,
"IN",55.79999924,55.79999924,54.859999086,,53.919998932,,52.979998778,,52.039998624,,51.09999847,51.09999847,49.149999615,,47.20000076,47.20000076
"IQ",,,29.70000076,29.70000076,15.10000038,15.10000038,23.39999962,23.39999962,,,,,,,,
"IR",24.70000076,24.70000076,23.20000076,23.20000076,22.79999924,22.79999924,21.20000076,21.20000076,,,,,,,,
"IS",6.5,6.5,6.300000191,6.300000191,5.900000095,5.900000095,4.599999905,4.599999905,4.800000191,4.800000191,5.5,5.5,5.5,5.5,5.5,5.5
"IT",4.199999809,4.199999809,4.300000191,4.300000191,4,4,3.700000048,3.700000048,3.700000048,3.700000048,3.799999952,3.799999952,3.700000048,3.700000048,3.700000048,3.700000048
"JM",18.10000038,18.10000038,18.20000076,18.20000076,17.60000038,17.60000038,18.70000076,18.70000076,20.20000076,20.20000076,20.20000076,20.20000076,17.60000038,17.60000038,18.10000038,18.10000038
"JO",3.400000095,3.400000095,3.099999905,3.099999905,2.700000048,2.700000048,2.599999905,2.599999905,3,3,2,2,1.700000048,1.700000048,2,2
"JP",4.400000095,4.400000095,4.300000191,4.300000191,3.900000095,3.900000095,3.799999952,3.799999952,3.900000095,3.900000095,3.700000048,3.700000048,,,,
"KE",61.09999847,61.09999847,,,,,,,,,,,,,,
"KG",38.5,38.5,36.29999924,36.29999924,34.5,34.5,34,34,,,,,,,,
"KH",,,,,,,72.19999695,72.19999695,57.59999847,57.59999847,54.20000076,54.20000076,55.79999924,55.79999924,51,51
"KI",,,,,,,,,,,,,,,,
"KM",,,,,,,,,,,,,,,,
"KN",,,,,,,,,,,,,,,,
"KP",,,,,,,,,,,,,,,,
"KR",7.900000095,7.900000095,7.699999809,7.699999809,7.599999905,7.599999905,7.199999809,7.199999809,7,7,6.599999905,6.599999905,,,,
"KW",2.700000048,2.700000048,,,,,,,,,,,,,,
"KY",1.700000048,1.700000048,2.299999952,2.299999952,1.799999952,1.799999952,1.899999976,1.899999976,,,,,,,,
"KZ",32.40000153,32.40000153,31.5,31.5,31.20000076,31.20000076,30.20000076,30.20000076,29.39999962,29.39999962,28.29999924,28.29999924,26.5,26.5,25.5,25.5
"LA",,,,,,,,,,,,,,,,
"LB",,,,,,,,,6.300000191,6.300000191,,,,,,
"LC",,,,,,,,,,,,,,,,
"LI",,,,,,,,,,,,,,,,
"LK",30.70000076,30.70000076,32.20000076,32.20000076,31.29999924,31.29999924,32.59999847,32.59999847,32.59999847,32.59999847,32.70000076,32.70000076,40.20000076,40.20000076,39.40000153,39.40000153
"LR",,,,,47.59999847,47.59999847,48.0333328233,,48.4666671767,,48.90000153,48.90000153,,,,
"LS",,,,,,,,,,,,,,,,
"LT",14,14,12.39999962,12.39999962,10.39999962,10.39999962,7.900000095,7.900000095,9.199999809,9.199999809,9,9,8.699999809,8.699999809,8.899999619,8.899999619
"LU",1.799999952,1.799999952,1.799999952,1.799999952,1.799999952,1.799999952,1.700000048,1.700000048,1.299999952,1.299999952,1,1,1.200000048,1.200000048,1.299999952,1.299999952
