"series","country-year"
"id","oda-to-ldcs-pc-gni"
"type","simple"
"parent",
"name","ODA to LDCs as a percent of GNI"
"columns","id, year, value"
"description","Gross ODA to LDCs as a percent of GNI"
"default-scale","lin"
"themes","official"
"map-theme","official"
"theme-order","6"
"global-picture-color-ramp","darkpurple"
"uom","percent"
"uom_display","%"
"source","Development Initiatives based on OECD-DAC data"
"calculation",
"format",
"highorlow","highisbetter"
"range","0.02, 0.04, 0.08, 0.15, 0.2"
"interpolated",
"missing-donor","NA"
"missing-recipient","NR"
"laymans-decription",
"laymans-heading",
