"series","country-year"
"id","education-pc-transferred-oda"
"type","simple"
"parent",
"name","Proportion of transferred Official Development Assistance spent on education"
"columns","id, year, value"
"description","Education ODA as a % of total ODA, excluding non-transfer"
"default-scale","lin"
"theme","education"
"theme-order",
"global-picture-color-ramp",
"uom","percent"
"uom_display","%"
"source","Development Initiatives based on OECD-DAC data"
"calculation",
"format",
"highorlow",
"range",
"interpolated",
"missing-donor","NR"
"missing-recipient","NA"
"laymans-decription",
"laymans-heading",
