"id","entity-name","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"afdb","AfDB",-460620000,-119360000,-1177240000,-817630000,-898890000,-395110000,-486890000,116870000,411790000,2595690000,1196100000,2000770000,2660460000,1063720000
"arab-fund-afesd","Arab Fund",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asdb","AsDB",1650980000,2658950000,-381330000,-3202210000,-1723070000,2043350000,3109300000,4062010000,4651600000,6329220000,3355130000,3079890000,3982050000,1579860000
"AU","Australia",1350340000,-77940000,-93630000,-17830000,-147090000,-156650000,316090000,-32450000,-150100000,536370000,310150000,260910000,326860000,492930000
"AT","Austria",123790000,-228860000,-58780000,59210000,-273590000,362900000,-508900000,-638550000,97680000,-42590000,-155540000,28450000,48480000,430930000
"badea","BADEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BE","Belgium",-15520000,12530000,176470000,1305420000,-1.13e+08,464900000,-499170000,-166250000,-131850000,88290000,-15250000,-14040000,54950000,72810000
"CA","Canada",9400000,-196320000,-852680000,-621580000,-1239460000,-752680000,457400000,-4980000,1814540000,-1400240000,1461930000,332710000,1625810000,1158190000
"cardb","CarDB",75740000,48500000,87920000,61050000,141620000,21220000,40810000,49050000,29340000,56250000,137310000,35360000,-10270000,-9950000
"DK","Denmark",-4800000,-7340000,-5640000,57720000,25750000,-9960000,-91320000,-123090000,-75100000,6280000,-33750000,9960000,5520000,7770000
"ebrd","EBRD",359270000,350630000,140460000,290610000,1040940000,42230000,536320000,1505550000,2021410000,2411860000,2111380000,2300730000,1813150000,1618500000
"EU","European Union",734330000,5.73e+08,1415670000,1499030000,2166210000,1827110000,2067060000,4708020000,4134820000,4476220000,5554540000,-743630000,-999420000,-583800000
"FI","Finland",3610000,8530000,5200000,9290000,-3320000,0,0,100380000,21410000,133730000,44310000,1040030000,9370000,-29410000
"FR","France",24310000,-67650000,1028470000,3715960000,-255860000,-1614680000,-2637420000,-1187300000,-213140000,282140000,-571720000,-66290000,-528320000,639980000
"DE","Germany",-723510000,-1070080000,5612090000,-4448240000,-1180360000,7870080000,-6308090000,-2509370000,-432220000,179050000,-406440000,-384240000,-845730000,-347080000
"GR","Greece",4640000,0,0,0,4300000,0,9420000,3610000,0,0,0,0,0,0
"ibrd","IBRD",4030430000,2846460000,-5381750000,-9273100000,-4238110000,-3050380000,-5620810000,91730000,3850480000,12080340000,18917660000,1767270000,7724740000,8018030000
"idb","IDB",6614390000,6480780000,2148530000,1683720000,-1741040000,-386260000,-2929270000,1556080000,2452200000,7185220000,4692560000,2591600000,1914120000,1417680000
"ifad","IFAD",7100000,9260000,-7230000,-10260000,-11730000,620000,13140000,7930000,22710000,6070000,11630000,11050000,27800000,26490000
"ifc","IFC",347190000,34250000,48220000,1667130000,650070000,423310000,1788210000,2128250000,3264600000,2354300000,1757990000,1391420000,2181410000,2011640000
"islamic-dev-bank","Islamic Dev Bank",0,0,0,0,0,0,0,0,0,0,1204170000,1537250000,818560000,0
"IT","Italy",-185820000,98080000,-611780000,-381760000,601970000,-1312790000,-1086880000,-265280000,384220000,-68810000,-150780000,-200920000,196150000,153530000
"JP","Japan",-5699870000,-1147960000,-2333330000,-3281730000,-2456760000,-1798240000,3690650000,-316600000,-3168740000,7474790000,3398840000,3234370000,6205920000,1849890000
"KW","Kuwait",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LU","Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NL","Netherlands",66400000,71880000,360110000,1155110000,174930000,172540000,378200000,0,0,0,0,0,0,0
"NZ","New Zealand",0,0,4920000,5160000,7760000,9580000,10620000,9970000,10270000,10380000,9500000,9810000,11270000,10700000
"nordic-dev-fund","Nordic Dev.Fund",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NO","Norway",0,0,0,440000,460000,6970000,6820000,6190000,550000,150000,750000,0,-210000,210000
"ofid","OFID",0,0,0,0,0,0,0,0,0,272030000,299200000,316170000,97240000,228510000
"PT","Portugal",137400000,-1860000,-2250000,-2340000,-800420000,-3090000,-22020000,-229470000,0,0,0,0,1930000,2820000
"SA","Saudi Arabia",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KR","South Korea",-921330000,-294040000,317110000,20250000,350820000,755540000,998360000,938180000,2061110000,543580000,1993140000,2221720000,1171400000,1262600000
"ES","Spain",6210000,273290000,92490000,99390000,29750000,76150000,0,6060000,0,3210000,0,3780000,2480000,13930000
"SE","Sweden",180000,2130000,2990000,-21240000,-79730000,-5e+06,-2150000,-50300000,31970000,79420000,50000,-128920000,-48440000,-22290000
"CH","Switzerland",15190000,12800000,5870000,90000,0,0,24370000,0,0,0,0,0,0,0
"TR","Turkey",0,0,0,69210000,1131630000,494750000,-151630000,-43600000,-2390000,-11650000,-24470000,11670000,56550000,-13080000
"AE","UAE",0,0,0,0,0,0,0,0,0,9790000,-1870000,23970000,60570000,7390000
"GB","UK",-100110000,32470000,-5120000,59900000,-162730000,-102640000,-186340000,-38620000,-21510000,-14140000,-20310000,-39920000,36020000,185250000
"US","USA",720820000,9.47e+08,279770000,1292770000,-800390000,-1195650000,-4448160000,-1760050000,-1163530000,1037620000,5020000,2611640000,2461880000,1406030000
