"id","value.2005","value.2006","value.2007","value.2008","value.2009","value.2010","value.2011","value.2012"
"AD",73340,73525,72597,71019,69466,68416,67963,67977
"AE",3412954,4028155,4810291,5665303,6459152,7094437,7526676,7789932
"AF",5440052,5678200,5908765,6135281,6363906,6599368,6853526,7114762
"AG",25292,25443,25600,25760,25918,26067,26335,26602
"AL",1495917,1523257,1551803,1581928,1613987,1648218,1683688,1721666
"AM",1935094,1926680,1917615,1908963,1902278,1898593,1900440,1905069
"AO",8924533,9388251,9869125,10366816,10881272,11412583,11935266,12472785
"AR",35317182,35704262,36093914,36486999,36884027,37285192,37671965,38063176
"AS",53964,53738,53263,52660,52105,51729,51517,51506
"AT",5474304,5516672,5553393,5592910,5627320,5659236,5688248,5722345
"AU",17984543,18287588,18438174,18848125,19278108,19618437,19925403,20299199
"AW",46614,47022,47240,47334,47404,47524,47777,48085
"AZ",4396406,4462144,4530394,4644269,4759808,4835104,4920881,5009368
"BA",1756010,1773063,1789227,1804872,1820306,1835777,1853356,1871449
"BB",112661,114707,116768,118845,120942,123063,125120,127195
"BD",36694135,37792768,38868534,39938278,41027239,42154940,43397950,44685923
"BE",10194856,10265779,10344927,10430486,10518289,10618402,10769937,10851687
"BF",2890681,3091071,3300972,3520514,3749741,3988725,4240198,4502013
"BG",5431784,5439204,5366018,5363625,5364093,5363584,5370276,5379997
"BH",777675,841200,913618,988122,1055444,1109066,1146516,1169656
"BI",728474,774372,822987,874088,927358,982550,1042571,1104531
"BJ",3355014,3517127,3683704,3854568,4029628,4208846,4391969,4579019
"BM",64154,64523,64888,65273,65636,65124,64564,64806
"BN",270410,277028,283599,290102,296515,302818,308789,314637
"BO",6004694,6151188,6296760,6442809,6591351,6743881,6897906,7056002
"BR",154189198,156403958,158522837,160574130,162599709,164630483,166613425,168602145
"BS",273367,279463,285496,291441,297294,303049,308655,314111
"BT",201402,211189,220768,230225,239737,249445,259435,269583
"BW",1075211,1100622,1125801,1150837,1175822,1200845,1224102,1247486
"BY",6991567,6992307,7003503,7023146,7050657,7080964,7106796,7138525
"BZ",125929,128449,130997,133569,136157,138754,141619,144498
"CA",25889021,26124281,26407296,26723351,27060104,27392608,27701505,28070919
"CD",16834585,17607064,18406625,19233708,20089549,20975213,21915083,22885741
"CF",1507795,1541206,1576219,1612781,1650722,1689901,1734587,1780769
"CG",2160724,2240321,2326057,2416168,2507993,2599550,2689416,2779000
"CH",5463082,5500183,5552291,5626058,5699599,5762106,5832213,5900212
"CI",8146651,8403813,8673776,8959948,9265849,9593994,9943130,10317186
"CL",14315626,14505303,14693728,14881190,15067959,15254229,15429721,15604672
"CM",8804237,9145012,9497160,9860923,10236487,10624012,11019244,11426592
"CN",554367818,575050081,595731464,616552722,637476514,658498663,678796403,699330440
"CO",31775238,32385094,32998493,33613907,34229261,34842887,35446941,36048136
"CR",2665779,2732218,2798353,2864401,2930647,2997284,3062616,3128324
"CU",8536811,8534930,8526661,8513950,8499583,8485582,8478803,8472491
"CV",276129,282021,287067,291641,296306,301498,306983,313075
"CW",,,,,,,,
"CY",717069,729809,741943,753577,764888,776012,787238,798269
"CZ",7525462,7541076,7580391,7638665,7677421,7694921,7708579,7717102
"DE",60495445,60503032,60497867,60458486,60380838,60363641,60484799,59574463
"DJ",596114,604902,613843,622998,632437,642199,652595,663316
"DK",4652908,4678435,4709485,4747554,4783398,4815111,4842543,4868392
"DM",47193,47314,47407,47489,47587,47725,47966,48242
"DO",6136814,6290386,6445695,6602462,6760304,6918902,7066747,7214825
"DZ",22648187,23380708,24154838,24968466,25816500,26694125,27515982,28363325
"EC",8763220,9011251,9261531,9514418,9770494,10030167,10279665,10532168
"EE",938092,934582,932106,930768,929638,928615,928026,924856
"EG",30883782,31456533,32042088,32639536,33247731,33865337,34566368,35277235
