"id","value.2005","value.2006","value.2007","value.2008","value.2009","value.2010","value.2011","value.2012"
"AW",53417,53808,53979,54010,54014,54073,54155,54299
"AD",7883,8352,8695,8950,9193,9491,9902,10383
"AF",19420803,19953082,20440478,20896916,21344281,21798444,22251954,22709774
"AO",7619843,7734158,7843699,7947625,8045378,8136541,8245224,8347740
"AL",1700213,1656316,1614419,1574680,1537198,1501925,1470195,1440417
"AE",735929,847484,987056,1133332,1259167,1347100,1398420,1415719
"AR",3330672,3284661,3237443,3189084,3139614,3089032,3056773,3023751
"AM",1079823,1076231,1072267,1068525,1065876,1064903,1063680,1064012
"AS",5153,4914,4656,4393,4140,3907,3757,3622
"AG",57273,58024,58797,59589,60382,61166,61817,62467
"AU",2410257,2410312,2389426,2401075,2413592,2413363,2414597,2422801
"AT",2753525,2751969,2747395,2744016,2737955,2730535,2717939,2707646
"AZ",3995444,4022406,4050906,4119131,4187435,4219228,4252201,4286416
"BI",7041918,7268207,7505325,7750192,7999329,8250203,8497791,8745038
"BE",283761,282179,280773,279487,278204,277184,277807,276559
"BJ",4827348,4926544,5023786,5118725,5211155,5300952,5387826,5471683
"BF",10531248,10731186,10934103,11139132,11345226,11551559,11755115,11958128
"BD",106441045,107075934,107588533,108031689,108475861,108970535,109464481,110009445
"BG",2308116,2259816,2179320,2128936,2080350,2032015,1978052,1925891
"BH",101859,109751,118735,127916,136095,142447,146248,148171
"BS",55721,56159,56553,56899,57198,57449,57676,57849
"BA",2123818,2102094,2079438,2056329,2033140,2010152,1985966,1962467
"BY",2671433,2611693,2556497,2504854,2456343,2409036,2366204,2325475
"BZ",145991,150536,155199,159975,164859,169841,174661,179562
"BM",,,,,,,,
"BO",3350015,3366207,3379696,3391289,3402055,3412720,3426539,3440283
"BR",31953205,31730357,31474139,31191437,30891213,30579671,30321709,30053874
"BB",160907,160216,159509,158789,158064,157333,156684,156026
"BN",97405,97669,97841,97915,97885,97751,97723,97601
"BT",449015,454379,458597,461934,464805,467494,469994,472239
"BW",800594,795322,789386,782882,775893,768496,762599,756424
"CF",2453102,2490896,2530678,2572325,2615525,2660020,2701630,2744440
"CA",6422979,6446224,6480632,6522422,6568467,6612666,6641275,6683393
"CH",1974033,1983751,1998826,2021617,2044232,2062803,2080185,2096649
"CL",2022123,1999227,1975164,1949994,1923770,1896531,1878728,1860142
"CN",749352182,735969919,722153536,708102278,693783486,679206337,665333597,651364560
"CI",9247343,9258604,9275285,9300096,9335493,9382594,9446824,9522564
"CM",9333497,9466925,9600516,9734103,9867458,10000331,10137028,10273039
"CG",1382143,1406332,1432801,1460307,1487153,1512165,1535943,1558051
"CO",11408788,11456276,11499897,11539130,11573300,11601911,11631851,11656291
"KM",433279,444552,456120,467931,479916,492023,503675,515402
"CV",202522,199919,196646,193010,189408,186103,183573,181326
"CR",1654351,1660275,1664873,1668310,1670777,1672401,1675064,1676971
"CU",2755267,2766170,2775013,2782405,2789243,2796186,2797250,2798466
"CW",,,,,,,,
"KY",,,,,,,,
"CY",315517,318505,321152,323512,325665,327673,329275,330725
"CZ",2685754,2697829,2718437,2745938,2766515,2779489,2787509,2793683
"DE",21973977,21873419,21768505,21651611,21521469,21413289,21312874,20851360
