"district_id","2013","2014","2015","2016","2017"
"d314",,,38,,
"d301",,,46.2,60.2,57.6
"d322",,,16.5,20.6,20.6
"d323",,,22.6,25,
"d315",,,45,36,36
"d324",,,3.1,11.9,4
"d216",,,62.1,55,56
"d316",,,46,,72.2
"d302",,,20,30.1,30.1
"d303",,,35,35,35
"d217",,,24,33,25.2
"d218",,,24,21,21
"d201",,,23.3,23.3,23.3
"d420",,,16,18,21
"d117",,,40.2,,
"d219",,,39.2,55,55
"d118",,,40.6,35,35
"d220",,,30,13.5,17.3
"d225",,,21.3,29.4,34
"d416",,,22,40,40
"d401",,,26,,29
"d402",,,42,38.8,52.6
"d202",,,49.4,46.6,50.7
"d221",,,15,32,34
"d119",,,46,47,37
"d120",,,12,12,12
"d226",,,44,25.3,31.3
"d317",,,62,46,65
"d121",,,27,27,27
"d304",,,20,21,11
"d403",,,19,40,40
"d417",,,20.9,36.4,30
"d203",,,18.7,23.8,25
"d418",,,75,35.6,42.6
"d204",,,24.5,16.5,20.3
"d318",,,17.9,31.4,50
"d404",,,21,23,23
"d405",,,29,52.8,
"d213",,,38,30,30
"d101",,,3,,
"d222",,,16,31.6,31.6
"d122",,,49.6,51.2,51.7
"d102",,,,,
"d205",,,48,38,38
"d413",,,23.5,26,28
"d414",,,49,51,57
"d206",,,28,29.4,50
"d406",,,30.6,33.3,35
"d207",,,21.9,26.3,39.8
"d112",,,38.3,31.2,31.2
"d407",,,42,46,40.6
"d103",,,10.6,10.6,10.6
"d227",,,25,,
"d419",,,41,45,44
"d421",,,25,25,30.5
"d408",,,18.5,21,23
"d305",,,21.2,24.5,25.5
"d319",,,31,31.2,31.2
"d325",,,38,43,43
"d306",,,18,0.1,8
"d208",,,78,86,73
"d228",,,11.2,19.2,19.8
"d123",,,19,15.6,15.6
"d422",,,27.3,22,43.4
"d415",,,38,38.9,45.8
"d326",,,12,13.9,32
"d307",,,18,16.4,
"d229",,,30,31,31
"d104",,,56,46,32
"d124",,,45,45,45
"d114",,,43,58,58
"d223",,,50,27,28.2
"d320",,,31,45,61
"d105",,,35,33.7,33.3
"d409",,,32,35,35
"d214",,,24.8,35,36
"d209",,,24,25,25
"d410",,,52,48,60
"d423",,,37.5,43,38
"d115",,,26,34.8,30.1
"d308",,,0.1,,1.7
"d309",,,50,57,58.3
"d106",,,42.9,53,45
"d107",,,27,20.5,20.5
"d108",,,48,52,42
"d311",,,10,7,24.6
"d116",,,33.1,33.1,33.1
"d109",,,27.6,35,59.2
"d230",,,28.7,17.8,17.8
"d224",,,38.1,23,23
"d327",,,5.4,5.8,11
"d310",,,34.7,37,40
"d231",,,43,42,50.7
"d424",,,10.4,11.9,13
"d411",,,23,,23.9
"d328",,,15.8,12.9,
"d329",,,11,14,22
"d321",,,26.1,29,36.1
"d312",,,26,,
"d210",,,35.9,36,31
"d110",,,38.6,65,65
"d425",,,45.5,23.8,28.8
"d412",,,47.1,51.1,51.1
"d111",,,25,16.1,17
"d232",,,49.6,53,59.9
"d426",,,49,65,30.1
"d215",,,31,35,34
"d211",,,57,53.9,63.1
"d212",,,42,34.4,34.4
"d113",,,38,58,58
"d313",,,4.7,44.2,50.8
"d330",,,41,,44
