"id","value.2000","value.2001","value.2002","value.2003","value.2004","value.2005","value.2006","value.2007","value.2008","value.2009","value.2010","value.2011","value.2012","value.2013"
"AW",,,,,,,,,,,,,,
"AD",,,,,,,,,,,,,,
"AF",0,4.24e+09,7.11e+09,7.89e+09,9.1e+09,1.08e+10,1.22e+10,1.7e+10,1.76e+10,2.15e+10,2.74e+10,3.08e+10,3.53e+10,3.5e+10
"AO",2.1e+10,2.05e+10,2.87e+10,3.26e+10,4.51e+10,6.48e+10,9.59e+10,1.39e+11,1.93e+11,1.73e+11,1.89e+11,2.39e+11,2.64e+11,2.85e+11
"AL",4.45e+09,4.94e+09,5.37e+09,6.82e+09,9.01e+09,1.01e+10,1.1e+10,1.29e+10,1.55e+10,1.45e+10,1.44e+10,1.56e+10,1.49e+10,1.56e+10
"AE",1.73e+11,1.72e+11,1.83e+11,2.07e+11,2.47e+11,3.02e+11,3.7e+11,4.3e+11,5.25e+11,4.23e+11,4.77e+11,5.78e+11,6.2e+11,6.7e+11
"AR",1.01e+12,9.55e+11,3.64e+11,4.61e+11,5.37e+11,6.55e+11,7.75e+11,9.69e+11,1.19e+12,1.11e+12,1.36e+12,1.64e+12,1.77e+12,1.79e+12
"AM",2.52e+09,2.79e+09,3.13e+09,3.69e+09,4.71e+09,6.45e+09,8.4e+09,1.21e+10,1.53e+10,1.14e+10,1.22e+10,1.33e+10,1.31e+10,1.37e+10
"AS",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AG",9.3e+08,9.18e+08,9.52e+08,9.97e+08,1.07e+09,1.18e+09,1.35e+09,1.53e+09,1.6e+09,1.43e+09,1.35e+09,1.34e+09,1.43e+09,1.42e+09
"AU",5.33e+11,4.85e+11,5.06e+11,5.98e+11,7.87e+11,8.9e+11,9.59e+11,1.1e+12,1.36e+12,1.19e+12,1.46e+12,1.78e+12,1.96e+12,2e+12
"AT",2.22e+11,2.23e+11,2.41e+11,2.95e+11,3.39e+11,3.56e+11,3.78e+11,4.36e+11,4.84e+11,4.5e+11,4.41e+11,4.85e+11,4.61e+11,4.84e+11
"AZ",1.04e+10,1.13e+10,1.23e+10,1.43e+10,1.71e+10,2.61e+10,4.14e+10,6.52e+10,9.63e+10,8.73e+10,1.04e+11,1.3e+11,1.36e+11,1.45e+11
"BI",1.93e+09,1.94e+09,1.83e+09,1.74e+09,2.03e+09,2.48e+09,2.82e+09,3.01e+09,3.57e+09,3.86e+09,4.49e+09,5.22e+09,5.48e+09,6.02e+09
"BE",2.72e+11,2.72e+11,2.96e+11,3.67e+11,4.25e+11,4.45e+11,4.72e+11,5.42e+11,5.97e+11,5.58e+11,5.56e+11,6.07e+11,5.73e+11,6.03e+11
"BJ",3.02e+09,3.2e+09,3.6e+09,4.56e+09,5.19e+09,5.59e+09,6.03e+09,7.07e+09,8.5e+09,8.44e+09,8.41e+09,9.34e+09,9.67e+09,1.06e+10
"BF",3.41e+09,3.67e+09,4.19e+09,5.49e+09,6.32e+09,7.13e+09,7.63e+09,8.82e+09,1.09e+10,1.09e+10,1.2e+10,1.36e+10,1.4e+10,1.51e+10
"BD",7.74e+10,7.71e+10,7.81e+10,8.52e+10,9.29e+10,9.9e+10,1.18e+11,1.31e+11,1.5e+11,1.67e+11,1.89e+11,2.12e+11,2.18e+11,2.46e+11
"BG",1.96e+10,2.1e+10,2.4e+10,3.1e+10,3.8e+10,4.3e+10,4.94e+10,6.4e+10,7.82e+10,7.36e+10,7.14e+10,8.18e+10,7.71e+10,7.99e+10
"BH",1.26e+10,1.25e+10,1.34e+10,1.54e+10,1.83e+10,2.22e+10,2.57e+10,3.02e+10,3.57e+10,3.19e+10,3.57e+10,4.03e+10,4.27e+10,4.57e+10
"BS",6.69e+09,6.89e+09,7.35e+09,7.34e+09,7.5e+09,8.14e+09,8.42e+09,8.79e+09,8.71e+09,8.26e+09,8.36e+09,8.38e+09,8.69e+09,8.9e+09
"BA",7.12e+09,7.43e+09,8.6e+09,1.08e+10,1.3e+10,1.41e+10,1.62e+10,2e+10,2.42e+10,2.23e+10,2.18e+10,2.37e+10,2.19e+10,2.31e+10
"BY",6.8e+10,6.59e+10,7.79e+10,9.51e+10,1.23e+11,1.61e+11,1.97e+11,2.42e+11,3.24e+11,2.63e+11,2.95e+11,3.19e+11,3.39e+11,3.83e+11
"BZ",9.72e+08,1.02e+09,1.09e+09,1.16e+09,1.24e+09,1.3e+09,1.42e+09,1.51e+09,1.6e+09,1.56e+09,1.63e+09,1.74e+09,1.84e+09,1.9e+09
"BM",,,,,,,,,,,,,,
"BO",1.47e+10,1.43e+10,1.39e+10,1.42e+10,1.54e+10,1.67e+10,2.01e+10,2.3e+10,2.92e+10,3.04e+10,3.45e+10,4.2e+10,4.74e+10,5.37e+10
"BR",1.02e+12,8.78e+11,7.99e+11,8.75e+11,1.05e+12,1.4e+12,1.73e+12,2.17e+12,2.62e+12,2.57e+12,3.39e+12,3.93e+12,3.57e+12,3.57e+12
"BB",3.24e+09,3.24e+09,3.29e+09,3.4e+09,3.65e+09,4.05e+09,4.48e+09,4.69e+09,4.72e+09,4.77e+09,4.61e+09,4.54e+09,4.39e+09,0
"BN",7.43e+09,6.93e+09,7.23e+09,8.12e+09,9.74e+09,1.18e+10,1.42e+10,1.52e+10,1.78e+10,1.33e+10,1.53e+10,2.07e+10,2.1e+10,1.99e+10
"BT",6.63e+08,7.19e+08,8.11e+08,9.39e+08,1.06e+09,1.24e+09,1.35e+09,1.81e+09,1.9e+09,1.91e+09,2.39e+09,2.75e+09,2.75e+09,2.69e+09
"BW",9.35e+09,8.87e+09,8.79e+09,1.21e+10,1.45e+10,1.6e+10,1.64e+10,1.77e+10,1.8e+10,1.63e+10,2.22e+10,2.48e+10,2.35e+10,2.39e+10
"CF",1.14e+09,1.16e+09,1.23e+09,1.42e+09,1.58e+09,1.68e+09,1.84e+09,2.11e+09,2.47e+09,2.47e+09,2.47e+09,2.73e+09,2.7e+09,1.92e+09
"CA",8.58e+11,8.51e+11,8.75e+11,1.03e+12,1.18e+12,1.35e+12,1.52e+12,1.7e+12,1.79e+12,1.59e+12,1.87e+12,2.07e+12,2.11e+12,2.13e+12
"CH",2.94e+11,3.02e+11,3.25e+11,3.8e+11,4.26e+11,4.41e+11,4.64e+11,5.16e+11,5.97e+11,5.84e+11,6.28e+11,7.52e+11,7.2e+11,7.4e+11
"CL",1.11e+11,1.01e+11,9.95e+10,1.09e+11,1.42e+11,1.74e+11,2.17e+11,2.43e+11,2.52e+11,2.41e+11,3.06e+11,3.52e+11,3.73e+11,3.88e+11
"CN",1.69e+12,1.86e+12,2.05e+12,2.31e+12,2.72e+12,3.19e+12,3.82e+12,4.92e+12,6.38e+12,7.04e+12,8.37e+12,1.03e+13,1.16e+13,1.3e+13
"CI",1.35e+10,1.37e+10,1.49e+10,1.79e+10,2.01e+10,2.22e+10,2.31e+10,2.64e+10,3.15e+10,3.16e+10,3.24e+10,3.3e+10,3.52e+10,4.04e+10
"CM",1.14e+10,1.18e+10,1.34e+10,1.67e+10,1.94e+10,2.04e+10,2.21e+10,2.51e+10,2.86e+10,2.87e+10,2.9e+10,3.27e+10,3.25e+10,3.63e+10
"CG",5.05e+09,4.39e+09,4.74e+09,5.49e+09,7.3e+09,9.55e+09,1.21e+10,1.32e+10,1.86e+10,1.51e+10,1.88e+10,2.26e+10,2.15e+10,2.21e+10
"CO",1.41e+11,1.39e+11,1.38e+11,1.34e+11,1.65e+11,2.07e+11,2.3e+11,2.94e+11,3.44e+11,3.3e+11,4.05e+11,4.73e+11,5.22e+11,5.33e+11
"KM",2.67e+08,2.91e+08,3.26e+08,4.2e+08,4.87e+08,5.03e+08,5.37e+08,6.12e+08,6.85e+08,6.81e+08,6.84e+08,7.49e+08,7.28e+08,7.92e+08
"CV",6.27e+08,6.55e+08,7.22e+08,9.46e+08,1.07e+09,1.13e+09,1.29e+09,1.76e+09,2.08e+09,1.99e+09,1.94e+09,2.17e+09,2.04e+09,2.19e+09
