"district_id","2013","2014"
"d18974",110600,110649
"d18975",174900,142361
"d18987",270800,321628
"d18988",154200,103421
"d18976",77600,77555
"d18955",131700,131683
"d18965",98600,98590
"d18968",206300,160935
"d18956",31300,31326
"d18991",173500,173464
"d18989",355700,355679
"d18977",127600,160134
"d18943",469200,469244
"d18949",199800,199764
"d18944",154200,154220
"d18969",254000,245029
"d18970",226700,226719
"d18957",205500,205491
"d18950",122000,122047
"d18978",103100,103114
"d18951",22200,22184
"d18958",264500,264500
"d18959",186500,186478
"d18966",125500,125497
"d18960",56900,56941
"d18961",319600,319616
"d18971",180200,41800
"d18952",268700,268700
"d18946",255700,255696
"d18964",985000,985016
"d18979",409800,409836
"d18980",154100,154073
"d18981",169200,169220
"d18962",88800,88803
"d18972",131000,131039
"d18947",143900,143879
"d18948",201700,201703
"d18982",47400,47354
"d18973",199000,199034
"d18953",71100,71090
"d18954",47400,47414
"d18983",170100,170117
"d18984",123200,123191
"d18985",202300,202291
"d18990",123300,123347
"d18967",88600,88574
"d18986",93800,93777
