"id","direction.2000","flow-type.2000","flow-name.2000","value.2000","direction.2001","flow-type.2001","flow-name.2001","value.2001","direction.2002","flow-type.2002","flow-name.2002","value.2002","direction.2003","flow-type.2003","flow-name.2003","value.2003","direction.2004","flow-type.2004","flow-name.2004","value.2004","direction.2005","flow-type.2005","flow-name.2005","value.2005","direction.2006","flow-type.2006","flow-name.2006","value.2006","direction.2007","flow-type.2007","flow-name.2007","value.2007","direction.2008","flow-type.2008","flow-name.2008","value.2008","direction.2009","flow-type.2009","flow-name.2009","value.2009","direction.2010","flow-type.2010","flow-name.2010","value.2010","direction.2011","flow-type.2011","flow-name.2011","value.2011","direction.2012","flow-type.2012","flow-name.2012","value.2012","direction.2013","flow-type.2013","flow-name.2013","value.2013"
"AF","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"AG","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"AI","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"AL","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"AM","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"AO","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"AR","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"AZ","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"BA","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"BB","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"BD","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"BF","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"BH","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"BI","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"BJ","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
