"district_id","2014","2015","2016","2017"
"d18974",22.1332476796405,22.4125438150344,,
"d18975",,10.1229285905596,12.3006209600188,
"d18987",24.6054649917388,,,
"d18988",,,18.0490053246852,
"d18976",26.676625454622,20.4905964619116,32.4328302862773,31.9738316022104
"d18965",26.808720370242,,,
"d18968",,12.7066468485852,,
"d18989",,14.5857020301405,17.7741549871862,
"d18943",22.3287987434441,,6.9135238153716,
"d18949",14.2669669481713,,,
"d18944",4.8119572136409,,,
"d18969",4.0000218726468,,,
"d18970",,24.2163750347471,22.7331051876164,
"d18957",,15.148636965883,,
"d18950",,,24.9956912868606,
"d18951",,,63.5402976755116,
"d18959",19.3850186775878,,,
"d18960",22.4334982509425,31.1481278680792,,
"d18971",7.7841839042196,,,
"d18952",9.4948898668627,,27.1580803001033,
"d18946",,,15.3267909080897,
"d18964",,,20.1337816588647,18.0150902723781
"d18979",,19.69565173328,23.2730446420244,
"d18981",7.8121615062372,,,
"d18962",,,23.9808157447927,
"d18947",,13.3038250709807,14.5045548529171,
"d18948",,,7.4334204208544,47.0709337542853
"d18982",,,29.8084698845963,26.9857257001401
"d18973",,,21.2627717470784,20.5230947958655
"d18953",,34.9661429312653,7.673524294585,31.9734910300875
"d18983",,,19.2117762426619,21.5317653213137
"d18984",,25.317969411892,,
"d18985",,12.6747737495206,,2.7901443526394
"d18986",,18.3276340216991,23.2239762965594,23.4078651891461
