"district_id","district_name","year","budget_type","value","value_ncu"
"d18974","Baringo",2014,"estimated",89.0174344409,7170.9860681365
"d18974","Baringo",2015,"estimated",83.5675442047,8204.5918503999
"d18975","Bomet",2015,"estimated",61.165138483,6005.1423253142
"d18975","Bomet",2016,"estimated",69.2477388614,7450.0192920051
"d18987","Bungoma",2014,"estimated",77.850996859,6271.4502768237
"d18988","Busia",2016,"estimated",78.3394795688,8428.1543875496
"d18976","Elgeyo-Marakwet",2014,"estimated",113.3706854342,9132.8132616933
"d18976","Elgeyo-Marakwet",2015,"estimated",52.3576928612,5140.4346537008
"d18976","Elgeyo-Marakwet",2016,"actual",92.0822714784,9906.6729144482
"d18976","Elgeyo-Marakwet",2017,"estimated",90.6654646292,10503.7105038406
"d18965","Garissa",2014,"estimated",96.5693578676,7779.3470933778
"d18968","Homa Bay",2015,"estimated",56.1947641799,5517.1551182099
"d18989","Kakamega",2015,"estimated",63.3047440452,6215.207016405
"d18989","Kakamega",2016,"estimated",69.0144236006,7424.9180652648
"d18943","Kiambu",2014,"estimated",70.8469554251,5707.2250342208
"d18943","Kiambu",2016,"estimated",51.9298337707,5586.8721460597
"d18949","Kilifi",2014,"estimated",89.817548281,7235.4409160746
"d18944","Kirinyaga",2014,"estimated",76.3533963253,6150.8079259129
"d18969","Kisii",2014,"estimated",75.9843872675,6121.0816275877
"d18970","Kisumu",2015,"estimated",120.1641564049,11797.6167390333
"d18970","Kisumu",2016,"estimated",92.2641513346,9926.2404622106
"d18957","Kitui",2015,"estimated",69.7935599883,6852.273558347
"d18950","Kwale",2016,"estimated",108.8553879954,11711.2089714139
"d18951","Lamu",2016,"estimated",225.3601368508,24245.3745752863
"d18959","Makueni",2014,"estimated",58.0842529569,4679.0987782171
"d18960","Marsabit",2014,"estimated",167.2456874599,13472.8270059004
"d18960","Marsabit",2015,"estimated",156.9491385012,15409.1356270993
"d18971","Migori",2014,"estimated",74.8553558689,6030.1301361144
"d18952","Mombasa",2014,"estimated",126.4310556189,10184.918764704
"d18952","Mombasa",2016,"estimated",114.2279718528,12289.2185070845
"d18946","Murang'a",2016,"estimated",70.8325350125,7620.5196158208
"d18964","Nairobi",2016,"estimated",91.306002305,9823.1579807856
"d18964","Nairobi",2017,"estimated",98.9780196956,11466.7306827209
"d18979","Nakuru",2015,"estimated",60.6933440905,5958.8219450205
"d18979","Nakuru",2016,"estimated",68.8917950361,7411.7250688413
"d18981","Narok",2014,"estimated",117.9304314442,9500.1331616368
"d18962","Nithi",2016,"estimated",174.390211028,18761.7741439247
"d18947","Nyandarua",2015,"estimated",59.4201789222,5833.8236497682
"d18947","Nyandarua",2016,"estimated",101.9140645714,10964.4265598691
"d18948","Nyeri",2016,"estimated",51.6694922811,5558.8633019877
"d18948","Nyeri",2017,"estimated",115.5210149017,13383.2579207507
"d18982","Samburu",2016,"estimated",168.5404736641,18132.4300392504
"d18982","Samburu",2017,"estimated",166.3538135083,19272.302915422
"d18973","Siaya",2016,"estimated",69.057869956,7429.5922422308
"d18973","Siaya",2017,"estimated",75.1110996362,8701.717345519
"d18953","Taita Taveta",2015,"estimated",136.7038630744,13421.4713567557
"d18953","Taita Taveta",2016,"estimated",63.2056973705,6799.9861442016
"d18953","Taita Taveta",2017,"estimated",137.6428776609,15946.1041288287
"d18983","Trans-Nzoia",2016,"estimated",63.7080362089,6854.0302776037
"d18983","Trans-Nzoia",2017,"estimated",66.2703382448,7677.5037856165
"d18984","Turkana",2015,"estimated",154.7325651817,15191.5143057334
"d18985","Uasin Gishu",2015,"estimated",81.1012968981,7962.4577450376
"d18985","Uasin Gishu",2017,"estimated",28.6645261849,3320.8221675973
"d18986","West Pokot",2015,"estimated",75.0849516362,7371.7779808461
"d18986","West Pokot",2016,"estimated",85.7105365614,9221.1696931869
"d18986","West Pokot",2017,"estimated",84.8764427799,9833.0448887242
