"district_id","2014","2015","2016","2017"
"d18974",89.0174344409,83.5675442047,,
"d18975",,61.165138483,69.2477388614,
"d18987",77.850996859,,,
"d18988",,,78.3394795688,
"d18976",113.3706854342,52.3576928612,92.0822714784,90.6654646292
"d18965",96.5693578676,,,
"d18968",,56.1947641799,,
"d18989",,63.3047440452,69.0144236006,
"d18943",70.8469554251,,51.9298337707,
"d18949",89.817548281,,,
"d18944",76.3533963253,,,
"d18969",75.9843872675,,,
"d18970",,120.1641564049,92.2641513346,
"d18957",,69.7935599883,,
"d18950",,,108.8553879954,
"d18951",,,225.3601368508,
"d18959",58.0842529569,,,
"d18960",167.2456874599,156.9491385012,,
"d18971",74.8553558689,,,
"d18952",126.4310556189,,114.2279718528,
"d18946",,,70.8325350125,
"d18964",,,91.306002305,98.9780196956
"d18979",,60.6933440905,68.8917950361,
"d18981",117.9304314442,,,
"d18962",,,174.390211028,
"d18947",,59.4201789222,101.9140645714,
"d18948",,,51.6694922811,115.5210149017
"d18982",,,168.5404736641,166.3538135083
"d18973",,,69.057869956,75.1110996362
"d18953",,136.7038630744,63.2056973705,137.6428776609
"d18983",,,63.7080362089,66.2703382448
"d18984",,154.7325651817,,
"d18985",,81.1012968981,,28.6645261849
"d18986",,75.0849516362,85.7105365614,84.8764427799
