"district_id","2011","2012","2013","2014","2015","2016"
"d314",4.4,3.1,3.5,8.2,9.1,8.8
"d301",3.3,1.8,3.1,7.2,9.3,9.5
"d322",4.8,4.1,4.1,8.6,9.8,9.5
"d323",,2.8,2.4,7.8,8.1,9.2
"d315",2.8,2.9,3.7,9.1,9.9,9.5
"d324",3.1,2.6,3.7,4.4,9.8,9.6
"d216",3.4,2.3,3.3,7.7,7.8,9.8
"d316",4.9,4.5,1.9,6.1,8.8,9.5
"d302",3.8,3.5,2.5,8,9,9.2
"d303",3.2,1.2,2.1,3.7,8.2,9.7
"d217",3.3,3.7,4.7,8.5,9,9.6
"d218",4.9,3.4,4,8.6,9.6,9.9
"d201",4.5,4.6,3.7,6.5,9.7,9.4
"d420",1.9,3.8,4.3,7.7,7.6,9.5
"d117",4.9,4.9,4.3,7.8,8.1,9.2
"d219",2.7,4.4,3.6,6.8,8,9.8
"d118",2.9,3,2.4,9,10,10
"d220",4.4,3.3,4.8,9,10,10
"d225",1.8,1.4,3.1,7.5,8.1,9.4
"d416",4.6,5,4.7,8.5,10,9.4
"d401",4,4.7,4.6,6.4,9.1,9.9
"d402",4.3,4.2,4.1,6.9,76,9.8
"d202",2.2,3.3,3.7,6.5,76,10
"d221",5,4.8,5,7.1,8.1,9.7
"d119",3.5,3.9,3.7,9,7.9,10
"d120",3.4,3.4,4.3,6.7,7.9,9.7
"d226",2.3,2.5,2.9,4,6.4,9.8
"d317",4.9,5,4.9,8.2,9.2,9.5
"d121",3.7,4.7,4.3,7.9,9.8,9.9
"d304",5,4.6,4.6,7.7,8.8,9.4
"d403",4.7,3.5,3.5,7.9,9.2,8.7
"d417",3.3,4.9,4.3,6.9,5.8,9.9
"d203",4,4.8,4.9,6.4,10,9.1
"d418",4.5,3.6,4.6,8,78,9.4
"d204",3.8,3.5,4.7,6.1,8.3,9.2
"d318",4.3,3.3,2.8,8.6,9.5,9
"d404",5,4.5,4.9,8.3,9.8,9.6
"d405",4.8,4.8,4.2,5.3,9.8,9.3
"d213",4.6,4.6,2.9,5.4,8.2,9.6
"d101",3.9,4.6,3.7,6,9.7,9.7
"d222",2.6,4.5,2.2,5.3,7.9,9.9
"d122",2.4,4.7,4.6,6.9,8.5,9.9
"d102",3.8,3.2,,1.8,2.8,7.6
"d205",3.6,4.5,4.5,4.9,10,9.5
