id-to,year,value
AF,2012,234692.92
AF,2013,445873.62
AF,2014,240247.48
AF,2015,350500.00
africa,2012,10257213.80
africa,2013,12377238.98
africa,2014,8810174.63
africa,2015,14128660.00
AG,2012,66766.51
AG,2013,69576.58
AG,2014,67597.64
AG,2015,69460.00
AL,2012,68128.83
AL,2013,71899.04
AL,2014,75061.64
AL,2015,252120.00
AM,2012,189583.83
AM,2013,92034.90
AM,2014,191417.49
AM,2015,179150.00
america,2012,8016510.91
america,2013,9869232.76
america,2014,7740445.38
america,2015,12977590.00
AO,2012,553612.85
AO,2013,676949.44
AO,2014,508933.51
AO,2015,633880.00
AR,2012,1118086.60
AR,2013,1582961.10
AR,2014,936911.33
AR,2015,1625570.00
asia,2012,8886583.01
asia,2013,10842139.46
asia,2014,8037919.84
asia,2015,10795930.00
AZ,2012,175071.18
AZ,2013,133383.89
AZ,2014,122097.39
AZ,2015,79050.00
BA,2012,126470.13
BA,2013,77256.38
BA,2014,109125.11
BA,2015,295940.00
BD,2012,878274.60
BD,2013,1752150.67
BD,2014,1002777.54
BD,2015,1763250.00
BF,2012,295752.58
BF,2013,303987.89
BF,2014,343666.93
BF,2015,443410.00
BI,2012,245589.89
BI,2013,246012.33
BI,2014,148338.01
BI,2015,147370.00
bilateral-unspecified,2012,111645189.83
bilateral-unspecified,2013,141429733.43
bilateral-unspecified,2014,99643305.09
bilateral-unspecified,2015,142349760.00
BJ,2012,214030.90
BJ,2013,290473.27
BJ,2014,238166.17
BJ,2015,326950.00
BO,2012,315928.44
BO,2013,364497.55
BO,2014,355634.45
BO,2015,961230.00
BR,2012,1968507.55
BR,2013,2294606.91
BR,2014,1780459.88
BR,2015,2354350.00
BW,2012,563871.07
BW,2013,533996.25
BW,2014,424461.13
BW,2015,477260.00
BY,2012,13632.13
BY,2013,14615.11
BY,2014,26599.47
BY,2015,14700.00
BZ,2012,66766.51
BZ,2013,69576.58
BZ,2014,65417.65
BZ,2015,73210.00
CD,2012,283019.81
CD,2013,274846.83
CD,2014,252232.94
CD,2015,310090.00
central-asia,2012,111688.32
central-asia,2013,173159.69
central-asia,2014,57944.68
central-asia,2015,436030.00
CF,2012,161047.80
CF,2013,94833.32
CF,2014,94708.46
CF,2015,146300.00
CG,2012,111596.98
CG,2013,125221.29
CG,2014,135652.80
CG,2015,125160.00
CI,2012,696126.39
CI,2013,316382.77
CI,2014,514226.49
CI,2015,666650.00
CL,2012,1076613.16
CL,2013,1172720.04
CL,2014,826664.84
CL,2015,897510.00
CM,2012,889577.75
CM,2013,969965.20
CM,2014,682534.29
CM,2015,862240.00
CN,2012,1360528.57
CN,2013,1455613.87
CN,2014,1127889.24
CN,2015,2005310.00
CO,2012,295401.35
CO,2013,429394.28
CO,2014,275880.90
CO,2015,790540.00
CR,2012,272083.86
CR,2013,416893.41
CR,2014,404912.99
CR,2015,739230.00
CU,2012,6063.36
CU,2013,29631.98
CU,2014,25343.51
CU,2015,10460.00
CV,2012,231302.43
CV,2013,291277.17
CV,2014,202748.06
CV,2015,238250.00
DJ,2012,67183.20
DJ,2013,85149.19
DJ,2014,58850.76
DJ,2015,121010.00
DM,2012,66766.51
DM,2013,69576.58
DM,2014,65417.65
DM,2015,73200.00
DO,2012,262066.81
DO,2013,502634.42
DO,2014,276724.19
DO,2015,376190.00
DZ,2012,165948.78
DZ,2013,205536.54
DZ,2014,239763.04
DZ,2015,329110.00
east-asia,2012,2248850.99
east-asia,2013,2276705.22
east-asia,2014,1923944.50
east-asia,2015,2678450.00
EC,2012,241742.62
EC,2013,427588.31
EC,2014,260890.10
EC,2015,638640.00
EG,2012,662094.86
EG,2013,768471.97
EG,2014,698718.25
EG,2015,1235680.00
ER,2012,204433.14
ER,2013,282547.12
ER,2014,191507.20
ER,2015,302670.00
ET,2012,524748.49
ET,2013,429571.32
ET,2014,294478.10
ET,2015,440910.00
europe,2012,2919446.29
europe,2013,3454219.38
europe,2014,2463846.43
europe,2015,4059070.00
FJ,2012,195512.28
FJ,2013,281478.76
FJ,2014,297519.32
FJ,2015,280560.00
GA,2012,108608.42
GA,2013,127500.55
GA,2014,99579.80
GA,2015,158840.00
GD,2012,83028.39
