id-to,year,value
bilateral-unspecified,2014,0.00
CV,2014,330156.66
CV,2015,500000.00
GW,2014,462219.32
ID,2014,0.00
KP,2014,66031.33
MM,2015,440000.00
MY,2015,1000000.00
north-of-sahara,2015,60000.00
NP,2015,500000.00
south-of-sahara,2014,1320626.62
ST,2015,0.00
TH,2015,500000.00
TO,2014,0.00
VU,2015,1000000.00
