id-to,year,value
bilateral-unspecified,2013,3117710.33
bilateral-unspecified,2014,3800124.97
bilateral-unspecified,2015,2744266.80
BR,2013,131740.71
BR,2014,183424.19
CN,2013,193077.44
CN,2014,319549.78
CN,2015,462889.00
CO,2014,315257.08
CO,2015,363047.00
ET,2013,2143616.07
ET,2014,1597995.60
FJ,2015,135569.00
ID,2013,1615149.53
ID,2014,3342992.51
IN,2013,1164362.39
IN,2014,917210.68
IN,2015,1321330.00
JO,2013,41500.44
JO,2014,35372.36
KH,2013,497438.00
KH,2014,205573.97
KH,2015,472980.00
KZ,2013,344186.22
KZ,2014,96369.02
MA,2013,46029.56
MA,2014,237896.14
MN,2013,438055.18
MN,2014,286537.73
MN,2015,425104.00
MX,2013,383534.65
MX,2014,385582.85
MX,2015,410154.00
north-of-sahara,2013,175942.41
NP,2015,41516.40
oceania,2013,86665.59
oceania,2014,73953.97
PE,2013,737904.63
PE,2014,538441.43
PE,2015,107803.00
PH,2013,700618.17
PH,2014,431036.99
PH,2015,766996.00
RW,2013,473252.67
RW,2014,376721.14
RW,2015,734125.00
SN,2015,61096.70
south-america,2013,117036.82
south-of-sahara,2013,96056.99
TH,2013,83397.06
TH,2014,82670.43
UG,2015,59854.80
UZ,2013,141168.12
VN,2013,1126544.67
VN,2014,492161.94
VN,2015,651806.00
VU,2015,141753.00
ZA,2013,304171.47
ZA,2014,208631.34
ZA,2015,166843.00
