id-to,year,round
AF,2011,1337291.93
AF,2012,969292.45
AF,2013,763386.79
AF,2014,681709.32
AF,2015,626385.00
BA,2011,18331.68
BA,2012,23367.18
bilateral-unspecified,2011,6552193.85
bilateral-unspecified,2012,8291150.76
bilateral-unspecified,2013,10023385.10
bilateral-unspecified,2014,11576966.57
bilateral-unspecified,2015,13249625.00
BY,2013,117295.41
BY,2014,186144.57
BY,2015,175138.00
CF,2014,104756.55
CI,2011,102476.62
ET,2011,193755.62
ET,2012,187688.49
ET,2013,199402.91
ET,2014,391240.45
ET,2015,423222.00
europe,2011,534030.16
europe,2012,161198.36
europe,2013,326758.83
europe,2014,150179.34
europe,2015,132292.00
GM,2015,30327.00
GW,2012,110753.22
GW,2013,123946.74
GW,2014,87759.56
GW,2015,119421.00
HT,2012,101522.40
HT,2013,69204.49
IN,2013,20945.72
JO,2015,31288.00
KE,2012,233757.21
LB,2015,1136061.00
LR,2011,1318.91
LY,2011,150010.64
ML,2013,100539.24
MW,2011,2402719.69
MW,2012,3605762.27
MW,2013,5795337.07
MW,2014,4972495.23
MW,2015,4589126.00
MZ,2011,2340212.71
MZ,2012,2466482.12
MZ,2013,2944306.02
MZ,2014,2582848.18
MZ,2015,3219560.00
NA,2011,532747.00
NA,2013,24213.05
NA,2014,71541.14
NI,2011,700131.89
NI,2012,593033.25
NI,2013,84198.59
NP,2015,303080.00
PH,2013,411830.73
PH,2015,37909.00
PK,2011,58626.77
PK,2013,148056.94
PS,2011,813868.90
PS,2012,1253059.82
PS,2013,1811574.15
PS,2014,1702165.35
PS,2015,728633.00
RS,2014,64465.69
RS,2015,113726.00
SD,2011,61649.41
SL,2011,88070.53
SL,2012,118627.57
SL,2014,201455.70
SO,2011,262315.13
SO,2012,43172.60
SO,2013,257083.26
SO,2015,128791.00
south-america,2012,330261.46
south-america,2013,97512.11
south-central-asia,2013,46834.55
south-of-sahara,2011,858668.71
south-of-sahara,2012,672917.15
south-of-sahara,2013,1652972.63
south-of-sahara,2014,2228222.55
south-of-sahara,2015,1173552.00
SS,2012,54702.64
SS,2014,97645.09
SY,2012,209400.32
SY,2013,602990.55
SY,2014,568741.44
SY,2015,997049.00
TG,2013,98825.80
TG,2015,6824.00
UA,2014,234991.57
UA,2015,304799.00
UG,2011,3395594.37
UG,2012,3170897.51
UG,2013,4264063.12
UG,2014,3135730.48
UG,2015,3382806.00
west-indies,2011,73793.02
YE,2011,17234.32
YE,2015,76923.00
ZA,2012,40097.05
ZA,2013,115654.83
ZA,2014,52378.37
ZA,2015,56105.00
