id-to,year,round
AF,2011,8686316.59
AF,2012,10587124.26
AF,2013,3119398.26
AF,2014,4969271.36
AF,2015,3722178.31
africa,2011,142362.63
africa,2012,3840.45
africa,2014,5341.47
africa,2015,1228909.52
AG,2014,8217.64
AL,2011,357634.60
AL,2012,352967.10
AL,2013,182291.32
AL,2014,207140.57
AL,2015,284343.82
AM,2011,163064.88
AM,2012,426506.78
AM,2013,932098.16
AM,2014,570719.65
AM,2015,292356.03
AO,2011,1075932.71
AO,2012,380908.77
AO,2013,163052.17
AO,2014,47439.81
AO,2015,6281.56
AR,2011,35308.52
AR,2012,12801.53
AR,2013,9041.60
AR,2014,7293.16
AR,2015,19556.43
asia,2011,32452.67
AZ,2011,36474.05
AZ,2012,137413.77
AZ,2013,128030.49
AZ,2014,94876.49
AZ,2015,40984.43
BA,2011,2738015.17
BA,2012,2640293.08
BA,2013,2913728.28
BA,2014,3131748.89
BA,2015,3715612.53
BD,2011,11656.10
BD,2012,8534.33
BD,2013,10420.88
BD,2014,17190.01
BD,2015,22029.00
BF,2013,10420.88
BI,2013,10420.88
bilateral-unspecified,2011,12524826.22
bilateral-unspecified,2012,6060145.78
bilateral-unspecified,2013,6260861.52
bilateral-unspecified,2014,6056988.88
bilateral-unspecified,2015,19497793.62
BJ,2011,15132.73
BJ,2012,18368.61
BJ,2013,22302.37
BJ,2014,19510.80
BJ,2015,11887.30
BO,2011,58971.34
BO,2012,45716.10
BO,2013,37804.48
BO,2014,41902.49
BO,2015,34369.12
BR,2011,17585.06
BR,2012,6400.75
BR,2013,9428.02
BR,2014,4108.83
BR,2015,10978.90
BT,2013,9273.49
BY,2011,1363964.59
BY,2012,982065.36
BY,2013,1082906.49
BY,2014,1053054.42
BY,2015,773591.05
CD,2011,247641.02
CD,2012,286919.35
CD,2013,123125.86
CD,2014,59994.34
CD,2015,3107.76
central-asia,2011,38090.51
central-asia,2012,68359.67
central-asia,2013,85369.54
CF,2013,93549.24
CF,2014,307561.77
CF,2015,97589.90
CG,2011,42783.89
CG,2012,30889.51
CG,2014,12325.96
CI,2011,11656.10
CI,2012,10296.50
CI,2013,10420.88
CI,2014,25711.90
CL,2011,2163.51
CL,2013,9400.28
CL,2014,18078.82
CL,2015,8539.15
CM,2011,46624.50
CM,2012,35528.06
CM,2013,41682.85
CM,2014,17141.27
CN,2011,88865.48
CN,2012,175636.86
CN,2013,102410.51
CN,2014,101183.51
CN,2015,75713.80
CO,2011,71113.95
CO,2012,61489.22
CO,2013,45807.60
CO,2014,50906.85
CO,2015,72745.56
CR,2011,9076.55
CR,2014,16434.90
CR,2015,8132.51
CU,2011,396915.88
CU,2012,401877.50
CU,2013,531352.41
CU,2014,479934.84
CU,2015,182537.68
CV,2012,6665.44
CV,2014,3923.62
CV,2015,16991.12
DJ,2013,16130.71
DJ,2014,27537.36
DJ,2015,19518.10
DO,2011,7401.29
DO,2012,561.64
DO,2014,8570.63
DZ,2011,125701.66
DZ,2012,234826.04
DZ,2013,82163.67
DZ,2014,85706.33
east-asia,2012,21335.86
EC,2011,68647.76
EC,2012,38047.10
EC,2013,59159.42
EC,2014,11496.94
EC,2015,8227.96
EG,2011,297456.65
EG,2012,311336.27
EG,2013,395747.34
EG,2014,252245.50
EG,2015,74915.77
ER,2011,116561.05
ER,2012,10296.50
ER,2013,10420.88
ER,2014,8570.63
ET,2011,2238012.32
ET,2012,2586690.19
ET,2013,2952674.20
ET,2014,3177020.10
ET,2015,3230869.79
europe,2011,1237554.92
europe,2012,1246493.04
europe,2013,1437244.77
europe,2014,2358559.76
europe,2015,3384739.70
ex-yugoslavia,2011,64905.41
ex-yugoslavia,2012,251250.56
ex-yugoslavia,2013,126267.95
ex-yugoslavia,2014,13642.84
ex-yugoslavia,2015,33129.78
GA,2012,4907.24
GA,2015,37612.80
GE,2011,1566182.04
GE,2012,2191357.53
GE,2013,2425566.99
GE,2014,2453780.67
GE,2015,2802101.42
GH,2011,145021.62
GH,2012,120239.87
GH,2013,130782.01
GH,2014,140881.50
GH,2015,15135.54
GM,2012,10296.50
GM,2015,39672.20
GN,2011,39976.90
GN,2012,144128.96
GN,2013,42253.82
GN,2014,243095.41
GT,2011,8183.31
GT,2012,5622.80
GT,2013,6307.01
GT,2014,19943.90
GT,2015,20704.90
GW,2014,8570.63
GY,2015,26958.70
HN,2011,31422.64
HN,2012,17384.97
HN,2013,117366.55
HN,2014,6872.66
HT,2011,284640.25
HT,2012,106679.31
HT,2013,21034.22
HT,2014,8217.64
HT,2015,13600.10
ID,2011,16009.97
ID,2012,29016.70
IN,2011,81985.89
IN,2012,47691.31
IN,2013,41803.77
IN,2014,56601.10
IN,2015,18517.77
IQ,2011,292904.53
IQ,2012,236889.71
IQ,2013,364487.07
IQ,2014,447628.52
IQ,2015,1526277.44
IR,2011,220175.37
IR,2012,50916.00
IR,2013,172865.10
IR,2014,54629.56
IR,2015,61447.25
JM,2011,129810.67
JM,2013,15747.10
JM,2015,19786.30
JO,2011,47386.96
JO,2012,373910.59
JO,2013,385084.08
JO,2014,376752.43
JO,2015,2986842.61
KE,2011,87823.53
KE,2012,208974.09
KE,2013,81827.04
KE,2014,45523.34
KE,2015,95889.21
KG,2011,418918.12
KG,2012,267400.69
KG,2013,203738.95
KG,2014,204833.16
KG,2015,206329.77
KH,2011,736176.80
KH,2012,772064.91
KH,2013,952115.51
KH,2014,944789.61
KH,2015,1302938.11
KP,2011,76392.98
KP,2012,43342.96
KP,2013,29788.37
KP,2014,25005.13
KP,2015,8132.52
KZ,2011,256921.79
KZ,2012,285431.37
KZ,2013,246174.56
KZ,2014,91127.45
KZ,2015,43905.51
LA,2012,2689.00
LA,2013,10161.40
LA,2014,19790.12
LA,2015,2444.76
LB,2011,69054.91
LB,2012,97608.14
LB,2013,217363.08
LB,2014,439494.88
LB,2015,465853.58
LC,2012,5679.60
LK,2011,198159.44
LK,2012,45641.64
LK,2013,28079.92
LK,2014,44700.89
LK,2015,24776.20
LR,2012,117133.47
LR,2014,257313.95
LY,2011,623141.47
LY,2012,663374.83
LY,2013,31262.30
LY,2014,42853.16
MA,2011,15975.99
MA,2012,24848.82
MA,2014,8570.63
MA,2015,16167.40
MD,2011,3269159.45
MD,2012,4068590.56
MD,2013,3533179.20
