"district_id","district_name","year","budget_type","value","value_ncu"
"d314","Abim",2014,"actual",74.4586006,181011.9112
"d314","Abim",2015,"approved",60.36263339,170416.9692
"d314","Abim",2015,"actual",60.36263339,170416.9692
"d314","Abim",2016,"actual",39.0828247,141102.0948
"d314","Abim",2016,"proposed",38.8438023,140239.1438
"d314","Abim",2017,"actual",33.37454383,130837.7273
"d314","Abim",2018,"approved",81732.1,382958644.43
"d301","Adjumani",2014,"actual",41.73046745,101448.4775
"d301","Adjumani",2015,"actual",38.67563957,109189.8233
"d301","Adjumani",2015,"approved",38.67563957,109189.8233
"d301","Adjumani",2016,"proposed",29.43536357,106271.527
"d301","Adjumani",2016,"actual",28.38769968,102489.1093
"d301","Adjumani",2017,"actual",55.4119617,217230.6885
"d301","Adjumani",2018,"approved",82691.9,387455821.27
"d322","Agago",2014,"actual",35.11302269,85361.19793
"d322","Agago",2015,"approved",35.66292297,100684.2628
"d322","Agago",2015,"actual",35.66292297,100684.2628
"d322","Agago",2016,"actual",26.05754274,94076.4618
"d322","Agago",2016,"proposed",24.59739523,88804.83995
"d322","Agago",2017,"actual",21.9047029,85872.68067
"d322","Agago",2018,"approved",78074.48,365820736.6
"d323","Alebtong",2014,"actual",27.8887883,67798.78791
"d323","Alebtong",2015,"actual",29.88142194,84361.81583
"d323","Alebtong",2015,"approved",29.88142194,84361.81583
"d323","Alebtong",2016,"approved",19.44430851,70200.47
"d323","Alebtong",2016,"proposed",19.48285013,70339.61813
"d323","Alebtong",2016,"actual",18.45092083,66614.00755
"d323","Alebtong",2017,"approved",16.3387325,64052.48978
"d323","Alebtong",2017,"actual",16.59328205,65050.39657
"d323","Alebtong",2018,"approved",64552.56,302463302.33
"d315","Amolatar",2014,"actual",42.24723837,102704.7688
"d315","Amolatar",2015,"actual",33.98036952,95934.04494
"d315","Amolatar",2015,"approved",33.98036952,95934.04494
"d315","Amolatar",2016,"approved",23.81853049,85992.87724
"d315","Amolatar",2016,"actual",25.17858411,90903.1266
"d315","Amolatar",2016,"proposed",25.21895202,91048.86829
"d315","Amolatar",2017,"actual",19.20780085,75300.05569
"d315","Amolatar",2017,"approved",17.98022735,70487.61757
"d315","Amolatar",2018,"approved",73833.3,345948537.75
"d324","Amudat",2014,"actual",28.13457485,68396.30509
"d324","Amudat",2015,"approved",22.77071785,64286.73675
"d324","Amudat",2015,"actual",22.77071785,64286.73675
"d324","Amudat",2016,"proposed",17.9205769,64699.28822
"d324","Amudat",2016,"actual",16.21072049,58526.13357
"d324","Amudat",2016,"approved",17.14689003,61906.01933
"d324","Amudat",2017,"approved",12.49637446,48989.35076
"d324","Amudat",2017,"actual",10.3262076,40481.67791
"d324","Amudat",2018,"approved",41950.29,196559567.07
"d216","Amuria",2014,"actual",29.72841445,72270.99451
"d216","Amuria",2015,"approved",24.56530596,69353.25306
"d216","Amuria",2015,"actual",24.56530596,69353.25306
"d216","Amuria",2016,"proposed",18.5450934,66954.00209
"d216","Amuria",2016,"actual",17.79758577,64255.24904
"d216","Amuria",2016,"approved",17.24612992,62264.3086
"d216","Amuria",2017,"approved",16.51594178,64747.20067
"d216","Amuria",2017,"actual",26.44000919,103652.3744
"d216","Amuria",2018,"approved",68527.27,321086946.57
"d216","Amuria",2018,"proposed",7.102583978,30216.93137
"d316","Amuru",2014,"actual",48.57837977,118096.0331
"d316","Amuru",2015,"approved",38.55131164,108838.8183
"d316","Amuru",2015,"actual",38.55131164,108838.8183
"d316","Amuru",2016,"actual",25.25950743,91195.28689
"d316","Amuru",2016,"proposed",23.26317664,83987.86373
"d316","Amuru",2016,"approved",21.97909696,79351.90574
"d316","Amuru",2017,"approved",20.40307545,79985.87294
"d316","Amuru",2017,"actual",30.81051111,120785.988
"d316","Amuru",2018,"approved",69920.02,327612725.94
"d302","Apac",2014,"actual",38.58881213,93810.98458
"d302","Apac",2015,"actual",32.5631367,91932.88548
"d302","Apac",2015,"approved",32.56782072,91946.10949
"d302","Apac",2016,"proposed",27.68285822,99944.39538
"d302","Apac",2016,"approved",27.34067058,98708.98331
"d302","Apac",2016,"actual",23.8508463,86109.54814
"d302","Apac",2017,"approved",21.40984757,83932.70667
"d303","Arua",2014,"actual",35.8605835,87178.54892
"d303","Arua",2015,"approved",31.76916378,89691.32557
"d303","Arua",2016,"approved",5.970218285,21554.48878
"d303","Arua",2016,"actual",23.09270929,83372.41947
"d303","Arua",2017,"approved",5.88251432,23061.13331
"d303","Arua",2017,"actual",25.91440688,101591.8635
"d303","Arua",2018,"approved",64196.56,300795251.74
"d217","Budaka",2014,"actual",29.55076086,71839.11136
"d217","Budaka",2015,"approved",27.09169262,76485.79737
"d217","Budaka",2015,"actual",27.09169262,76485.79737
"d217","Budaka",2016,"proposed",21.51971425,77693.38022
"d217","Budaka",2016,"actual",19.63613205,70893.01724
"d217","Budaka",2017,"actual",19.84042281,77780.11414
"d217","Budaka",2018,"approved",67178.92,314769204.97
"d218","Bududa",2014,"actual",30.94502358,75228.62118
"d218","Bududa",2015,"approved",25.80535693,72854.18925
"d218","Bududa",2015,"actual",25.80535693,72854.18925
"d218","Bududa",2016,"approved",17.92251815,64706.29679
