"id-to","entity-to-name","year","value"
"AF","Afghanistan",2013,424602.08
"AF","Afghanistan",2014,10256338.12
"AF","Afghanistan",2015,8189520
"asia","Asia, regional",2013,1146602.54
"asia","Asia, regional",2014,795538.93
"asia","Asia, regional",2015,1202879
"bilateral-unspecified","Bilateral, unspecified",2013,2266504.18
"bilateral-unspecified","Bilateral, unspecified",2014,3161443.08
"bilateral-unspecified","Bilateral, unspecified",2015,15058039.46
"BA","Bosnia & Herzegovina",2014,80133.9
"CF","CAR",2014,40066.95
"central-asia","Central Asia, regional",2013,95883.63
"central-asia","Central Asia, regional",2014,234363.52
"central-asia","Central Asia, regional",2015,893400.97
"europe","Europe, regional",2013,5760.74
"europe","Europe, regional",2014,5153.69
"europe","Europe, regional",2015,8897.35
"GT","Guatemala",2013,40208.53
"KG","Kyrgyzstan",2014,5208703.63
"KG","Kyrgyzstan",2015,322700
"LB","Lebanon",2013,160834.12
"NP","Nepal",2015,2e+05
"PK","Pakistan",2015,93625
"PS","Palestine",2014,8013.39
"PH","Philippines",2014,80133.9
"LC","Saint Lucia",2014,40066.95
"VC","Saint Vincent & the Grenadines",2014,40066.95
"RS","Serbia",2014,162671.82
"RS","Serbia",2015,207919
"LK","Sri Lanka",2013,160834.12
"SY","Syria",2015,342000
"TJ","Tajikistan",2014,1282943.77
"TJ","Tajikistan",2015,6366159
"UA","Ukraine",2014,307009.01
"UA","Ukraine",2015,1140000
