"district_id","2013","2014","2015","2016","2017"
"d314",59,59,,70,129
"d301",143,150,,64,47
"d322",130,139,,19,16
"d323",34,19,,33,31
"d315",69,68,,170,37
"d324",273,293,,210,46
"d216",87,101,,362,50
"d316",36,26,,42,47
"d302",43,34,,48,47
"d303",102,109,,89,414
"d217",39,26,,63,55
"d218",128,89,,89,73
"d201",185,178,,139,149
"d420",88,73,,91,84
"d117",85,69,,78,78
"d219",87,80,,59,61
"d118",32,24,,14,10
"d220",250,241,,326,64
"d225",97,186,,121,103
"d416",8,61,,266,115
"d401",111,103,,107,86
"d402",45,39,,49,48
"d202",65,67,,52,49
"d221",110,56,,177,51
"d119",25,28,,26,30
"d120",322,453,,198,874
"d226",81,72,,118,136
"d317",63,55,,894,53
"d121",73,84,,53,51
"d304",29,25,,20,38
"d403",112,100,,174,179
"d417",153,150,,226,389
"d203",90,81,,81,74
"d418",84,646,,99,81
"d204",92,150,,180,182
"d318",368,420,,141,106
"d404",49,927,,61,46
"d405",42,56,,122,89
"d213",63,58,,50,43
"d101",91,94,,49,58
"d222",58,58,,46,330
"d122",28,23,,29,16
"d102",,,,,
"d205",78,69,,80,90
"d413",123,79,,106,60
"d414",38,39,,66,64
"d206",981,177,,64,61
"d406",253,233,,220,139
"d207",39,40,,41,30
"d112",94,97,,75,77
"d407",139,289,,405,127
"d103",44,46,,80,71
"d227",73,65,,65,98
"d419",114,102,,117,93
"d421",123,111,,92,93
"d408",210,161,,165,151
"d305",42,42,,11,11
"d319",101,82,,45,58
"d325",17,18,,260,96
"d306",136,124,,77,155
"d208",77,60,,50,47
"d228",175,1027,,86,65
"d123",141,143,,140,554
"d422",102,103,,274,198
"d415",77,64,,94,151
"d326",45,41,,31,22
"d307",45,44,,26,18
"d229",63,76,,85,89
"d104",92,84,,88,91
"d124",76,44,,53,53
"d114",39,35,,33,58
"d223",674,468,,132,97
"d320",30,31,,28,27
"d105",31,422,,81,77
"d409",39,40,,36,32
"d214",534,353,,212,205
"d209",154,125,,121,123
"d410",32,27,,18,18
"d423",85,79,,36,35
"d115",75,85,,1104,123
"d308",187,182,,118,142
"d309",328,376,,34,38
"d106",75,71,,75,63
"d107",325,448,,425,374
"d108",565,575,,263,269
"d311",190,129,,191,111
"d116",107,99,,695,101
"d109",123,109,,152,104
"d230",283,272,,90,363
"d224",96,70,,66,153
"d327",160,168,,124,78
"d310",57,70,,87,89
"d231",39,34,,57,45
"d424",126,156,,109,89
"d411",83,81,,96,83
"d328",27,27,,511,600
"d329",44,34,,48,40
"d321",87,77,,81,80
"d312",172,153,,30,31
"d210",168,154,,102,94
"d110",102,91,,77,75
"d425",64,50,,81,48
"d412",30,27,,26,22
"d111",126,81,,68,61
"d232",72,62,,53,35
"d426",33,34,,47,74
"d215",81,88,,67,52
"d211",72,73,,35,37
"d212",1118,220,,237,90
"d113",115,127,,215,224
"d313",164,134,,112,105
"d330",25,30,,31,59
