"id-to","entity-to-name","year","value"
"AF","Afghanistan",2015,115091
"AM","Armenia",2015,14941
"AZ","Azerbaijan",2015,44424
"BY","Belarus",2015,66320
"bilateral-unspecified","Bilateral, unspecified",2015,585644
"central-asia","Central Asia, regional",2015,34965
"CN","China",2015,15110
"EG","Egypt",2015,12836
"europe","Europe, regional",2015,22705
"GE","Georgia",2015,192389
"KZ","Kazakhstan",2015,27496
"KG","Kyrgyzstan",2015,19208
"MD","Moldova",2015,121505
"NP","Nepal",2015,22185
"south-of-sahara","South of Sahara, regional",2015,55463
"SY","Syria",2015,166389
"TJ","Tajikistan",2015,20490
"TR","Turkey",2015,15653
"TM","Turkmenistan",2015,12836
"UA","Ukraine",2015,577835
"UZ","Uzbekistan",2015,65136
