"di_id","entity_name","2014","2015","2016","2010","2011","2012","2013","2017","2005","2006","2007","2008","2009","1998","1999","2000","2001","2002","2003","2004","1997","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1966"
"AZ","Azerbaijan",14260000,12910000,7390000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BG","Bulgaria",43680000,40750000,67660000,38010000,42830000,36210000,44760000,61200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HR","Croatia",64710000,51190000,40630000,,,19370000,40620000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CY","Cyprus",16610000,18160000,,48050000,33330000,22760000,18370000,,16140000,26980000,33500000,34280000,43120000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EE","Estonia",32110000,34280000,43410000,18390000,21410000,21610000,26780000,,13210000,17760000,16680000,19940000,17580000,330000,810000,1260000,1150000,2670000,1850000,7110000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IL","Israel",192910000,237800000,274040000,158660000,212830000,194290000,198720000,,138790000,127960000,144610000,152940000,145180000,125470000,167670000,234380000,133260000,203450000,167010000,123310000,124930000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KZ","Kazakhstan",29950000,42770000,30830000,,,,7650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KW","Kuwait",248490000,303130000,1080090000,218030000,155040000,162910000,208220000,,234030000,163880000,105540000,259270000,209480000,362550000,188840000,219670000,102760000,27500000,164260000,176670000,475800000,863010000,563010000,756100000,1423950000,2256520000,2970130000,1973930000,2264570000,2119650000,2101510000,2246230000,2398560000,2308260000,1955110000,2126910000,1513100000,1214430000,495690000,94500000,257760000,1807620000,447760000,245390000,501540000,7.74e+08,434340000,493770000,
"LV","Latvia",21240000,23160000,30180000,14920000,16370000,18950000,20200000,,14510000,14280000,14530000,16890000,18720000,,,,,2820000,1450000,12170000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LI","Liechtenstein",24530000,24120000,24570000,24990000,27850000,25920000,25470000,,,,17230000,21690000,24860000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LT","Lithuania",38430000,48410000,57150000,34350000,43690000,46480000,42990000,,19470000,29130000,46770000,40060000,33030000,,,,3460000,2960000,2920000,12130000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MT","Malta",18330000,16490000,20550000,12950000,17670000,16600000,16460000,,,,,,12970000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"non-dac-countries-total","Non-DAC Countries, Total",21645420000,17333150000,14152180000,5784440000,7.543e+09,5119260000,14069300000,,3203300000,4604350000,5253840000,7525510000,5540890000,2175250000,1526020000,1473420000,1329880000,4459840000,4382610000,3619120000,1864100000,2253220000,2630860000,3360650000,10497070000,16743870000,21258310000,19078540000,15670150000,20902040000,18175370000,22374210000,19572670000,13332350000,10400700000,9980830000,8159390000,8.572e+09,5924980000,3186980000,3011740000,10512320000,5243210000,2277420000,2107410000,1839900000,1307990000,1524190000,1959670000
"RO","Romania",191760000,157430000,269330000,107290000,145060000,129120000,120750000,,,,,112490000,144500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RU","Russian Federation",564880000,1099690000,1258040000,343420000,318610000,273450000,408470000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SA","Saudi Arabia",12238120000,6728780000,,3266070000,4509810000,1177290000,5121980000,,1099370000,2101470000,1486480000,4558490000,2968670000,330620000,237700000,366730000,286860000,3344210000,2850130000,1903570000,288780000,1006830000,1171140000,1715920000,4804880000,7668910000,8885450000,8355060000,6955930000,13465390000,8967310000,12078680000,12036460000,8147880000,6890600000,7114620000,5716500000,6553670000,4764910000,2748240000,1800540000,4959320000,2315340000,1009120000,629990000,407230000,345180000,439320000,1959670000
"TW","Taiwan",245920000,253650000,327540000,357530000,337460000,2.76e+08,244930000,,517440000,532400000,492720000,398450000,389690000,34730000,,,,,,462100000,83330000,,,,,,,,,,,,,,,,,,,24180000,32040000,34500000,169530000,136720000,79940000,99740000,104460000,104730000,
"TH","Thailand",61910000,62150000,69460000,4250000,20220000,10460000,32870000,,,76470000,64200000,162130000,36600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TL","Timor-Leste",3030000,3980000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TR","Turkey",3034260000,3812020000,6310190000,744320000,1005440000,1995220000,2616650000,,604170000,701800000,506330000,589950000,598280000,96970000,176780000,119970000,120880000,123020000,90690000,389920000,110590000,,,,,,,,,,,,,,,,,,,,,4040000,162070000,119520000,81360000,98570000,149760000,122940000,
"AE","UAE",4560300000,4362280000,4241110000,393210000,635370000,692620000,4873400000,,546170000,812220000,2325250000,1158930000,898210000,1224580000,754220000,531410000,681510000,753210000,1104300000,532140000,780670000,2980000,546420000,558150000,2781750000,4170660000,6909070000,7893110000,5663310000,4702300000,4271780000,4886070000,3740570000,2353330000,1401720000,761510000,855370000,542380000,553410000,157720000,499830000,3487990000,2096980000,746190000,793920000,457540000,274250000,363430000,
