"district_id","2014","2016","2015","2017"
"d18974",43955628.8529171,,,
"d18975",,43452944.1754004,,
"d18987",73848242.4114386,,,
"d18988",,53112086.8509312,,
"d18976",36417834.1161212,32295296.1810469,28980032.1351271,31469225.3372207
"d18968",,,49818.1046556,
"d18989",,104143135.232429,96007394.6441455,
"d18943",67763872.9331978,,,
"d18949",74051039.6159449,,,
"d18944",35638889.7446887,,,
"d18969",73224772.5980987,,,
"d18970",,72058886.8184297,53041614.7315707,
"d18950",,70748581.1412761,,
"d18951",,19492291.6411279,,
"d18960",,,45003107.9302296,
"d18979",,83184206.3432938,70384969.0378984,
"d18962",,30632424.7991238,,
"d18947",,,35556557.6335781,
"d18948",,,,47075349.7710105
"d18982",,34246940.7985633,,
"d18973",,46431173.9175153,,49567766.9346178
"d18953",,33717789.0463141,31060236.8459025,33764316.7812988
"d18983",,54588707.3104606,,54695156.5224282
"d18985",,,45015405.1623308,55405127.7550758
"d18986",,40095660.6167884,37408418.7072953,42107934.2925821
