"district_id","district_name","year","value","value_ncu"
"d18974","Baringo",2014,43955628.8529171,3540937841
"d18975","Bomet",2016,43452944.1754004,4674885819
"d18987","Bungoma",2014,73848242.4114386,5.949e+09
"d18988","Busia",2016,53112086.8509312,5714064866
"d18976","Elgeyo-Marakwet",2014,36417834.1161212,2933714982
"d18976","Elgeyo-Marakwet",2015,28980032.1351271,2845235405
"d18976","Elgeyo-Marakwet",2016,32295296.1810469,3474490049
"d18976","Elgeyo-Marakwet",2017,31469225.3372207,3645750166
"d18968","Homa Bay",2015,49818.1046556,4891100
"d18989","Kakamega",2015,96007394.6441455,9425926000
"d18989","Kakamega",2016,104143135.232429,11204241169
"d18943","Kiambu",2014,67763872.9331978,5458860860
"d18949","Kilifi",2014,74051039.6159449,5965336754
"d18944","Kirinyaga",2014,35638889.7446887,2870965485
"d18969","Kisii",2014,73224772.5980987,5898775082
"d18970","Kisumu",2015,53041614.7315707,5207581533
"d18970","Kisumu",2016,72058886.8184297,7752456698
"d18950","Kwale",2016,70748581.1412761,7611487437
"d18951","Lamu",2016,19492291.6411279,2097078564
"d18960","Marsabit",2015,45003107.9302296,4418367634
"d18979","Nakuru",2015,70384969.0378984,6910337606
"d18979","Nakuru",2016,83184206.3432938,8949374409
"d18962","Nithi",2016,30632424.7991238,3295590000
"d18947","Nyandarua",2015,35556557.6335781,3490913198
"d18948","Nyeri",2017,47075349.7710105,5453739722
"d18982","Samburu",2016,34246940.7985633,3684457772
"d18973","Siaya",2016,46431173.9175153,4995298722
"d18973","Siaya",2017,49567766.9346178,5742489451
"d18953","Taita Taveta",2015,31060236.8459025,3049468170
"d18953","Taita Taveta",2016,33717789.0463141,3627528970.75
"d18953","Taita Taveta",2017,33764316.7812988,3911639457
"d18983","Trans-Nzoia",2016,54588707.3104606,5872927106
"d18983","Trans-Nzoia",2017,54695156.5224282,6336504119
"d18985","Uasin Gishu",2015,45015405.1623308,4419574966
"d18985","Uasin Gishu",2017,55405127.7550758,6418755198
"d18986","West Pokot",2015,37408418.7072953,3672727375
"d18986","West Pokot",2016,40095660.6167884,4313692404
"d18986","West Pokot",2017,42107934.2925821,4878258260
