"district_id","2011","2012","2013","2014","2015","2016"
"d314",59,63.3,86,74.7,44,52
"d301",21,17.4,20.7,22.3,47.8,84.5
"d322",35,39.5,40.8,51.6,69.6,66.8
"d323",,27.9,43.7,53.1,53.9,53.5
"d315",44,34.5,42.9,44.8,46.8,58.1
"d324",13,13.2,16.8,21.5,33.3,39.6
"d216",44,65.1,34,36,68.7,77.1
"d316",45,53.1,66.2,69.4,66.6,55.7
"d302",50,47.6,45.3,45.9,38.5,36.1
"d303",49,37.1,45.4,58.1,69.8,57.5
"d217",59,55.8,68,82.6,72.3,43.4
"d218",36,49,31.7,40.5,38,28.7
"d201",33,36.3,48.8,48.4,58.6,61.3
"d420",50,23.6,38,44.7,42.5,64.5
"d117",37,35.2,50.1,50.6,57.2,52.9
"d219",54,51.6,63.4,58.4,61,36.8
"d118",24,27.6,29.6,33.9,37.6,41.6
"d220",47,65.5,48.9,59.5,50.3,53.1
"d225",,28,35.5,41.4,29.8,40.1
"d416",69,59.7,76.6,74.7,61.5,56.5
"d401",40,39.5,41.4,43,57.8,58.9
"d402",29,36.6,35.2,37.8,43.9,62.1
"d202",53,40.5,54,55.7,57.6,57.3
"d221",78,67.9,62.2,74.7,68,66.5
"d119",41,40.4,48.3,52.1,58.2,55.8
"d120",38,27.9,47.1,40.6,32.7,24.9
"d226",47,40.6,43.7,54.8,51.1,49.2
"d317",69,56.7,59.4,58.3,63.6,82.5
"d121",26,25.2,42.4,37.9,47.3,47.2
"d304",68,76.9,73.6,73.7,69.4,79.7
"d403",47,30,78.8,57.3,65.3,68.1
"d417",21,31.4,29.8,31.8,40.9,58.7
"d203",36,35.6,43,54.1,56.5,33.9
"d418",41,43,55,50.1,45.7,67.3
"d204",59,46.1,55.2,56.9,58.2,70.9
"d318",19,,21.5,19.7,56.7,47.1
"d404",42,45.8,48.5,50.5,49.2,89.4
"d405",40,51.8,47.6,47.1,47.9,65.8
"d213",59,56.9,59.5,58.5,61.8,66.2
"d101",27,28.2,39.7,26.7,35.6,51.5
"d222",21,137.8,38.7,48.7,53.5,46.9
"d122",21,20.1,49.5,47.6,50.3,55.3
"d102",59,28,,38.7,50.2,44.8
"d205",40,43.7,48.5,50.7,65.4,74
"d413",35,58.4,58.5,71.4,54,60.7
"d414",38,26.4,40.3,46.8,54.5,56.4
"d206",31,36.6,37.5,40.9,51,68.4
"d406",41,40.9,43.8,46,53.2,68.9
"d207",46,45.9,46.5,44.8,60.3,56.7
"d112",49,46.1,54.3,56.2,60,40.4
"d407",50,42,62.8,56.3,50.3,45.4
"d103",65,83.2,66,59.1,73.5,77.5
"d227",45,40,46.9,53.4,58,57.5
"d419",29,52.2,60.2,64.3,67,69.3
"d421",44,48.2,51.1,48.8,66.3,69
"d408",20,33.2,38.9,46.8,41.4,68.1
"d305",40,47.8,51,49.4,66.7,53.5
