"series","country-year"
"id","gdp-pc-usd-current"
"type","simple"
"parent",
"name","Gross domestic product (current US$) per capita"
"columns","id, year, value"
"description","GDP (current US$) per capita"
"default-scale","log"
"themes",
"map-theme",
"theme-order",
"global-picture-color-ramp",
"uom","USD"
"uom_display","USD"
"source","World Bank World Development Indicators"
"calculation","Total GDP divided by the population of each country in each year"
"format",
"highorlow","highisbetter"
"range",
"interpolated",
"missing-donor","NA"
"missing-recipient","NA"
"laymans-decription",
"laymans-heading",
