"id","value.2000","value.2001","value.2002","value.2003","value.2004","value.2005","value.2006","value.2007","value.2008","value.2009","value.2010","value.2011","value.2012","value.2013"
"AE",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AF",0,0,0,790000,1770000,65060000,30220000,25430000,48590000,75470000,93640000,121380000,53960000,89950000
"africa",14750000,197350000,167440000,206350000,222430000,242060000,7620000,33210000,230970000,388950000,451250000,385160000,540380000,534630000
"AG",140000,2920000,1780000,3790000,4830000,190000,3e+05,10190000,5380000,12640000,11900000,35950000,4180000,15860000
"AI",6460000,1670000,7850000,1060000,950000,0,7040000,2e+06,1050000,290000,57250000,0,710000,1e+05
"AL",7270000,4980000,33030000,41810000,120910000,141570000,79170000,93950000,165250000,150450000,140440000,259900000,272190000,86280000
"AM",37950000,12680000,13740000,5920000,19760000,22570000,36860000,86220000,75770000,151080000,250630000,205230000,229550000,231470000
"america",770000,21690000,15610000,77560000,19500000,6230000,0,21800000,193210000,163420000,185190000,265930000,204180000,243360000
"AO",5950000,6940000,79400000,3e+05,290000,110000,0,10000,157450000,0,71510000,3.4e+07,98330000,59330000
"AR",3300170000,4870990000,1400410000,6267480000,1832920000,1567840000,2017710000,2326590000,1994950000,3396630000,2511260000,2184910000,1874660000,2372110000
"asia",27390000,37120000,9590000,58300000,6090000,8810000,11130000,140000,129010000,261660000,253190000,215240000,324170000,282510000
"AW",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZ",137540000,81110000,162600000,1553730000,584780000,351150000,64380000,276370000,347580000,428650000,460630000,671770000,783760000,595620000
"BA",234780000,64770000,100520000,118770000,159800000,116950000,212750000,320360000,351800000,366430000,421390000,186300000,218340000,330850000
"BB",35630000,46540000,31490000,55160000,36520000,15280000,106240000,45370000,63440000,59600000,88170000,0,0,0
"BD",28910000,236700000,55150000,70080000,195360000,231560000,107660000,166260000,165410000,816180000,215750000,285630000,342200000,501820000
"BF",8920000,60000,0,7060000,10000,1430000,1160000,6660000,23660000,1600000,40670000,2280000,1700000,2580000
"BH",0,-2550000,0,30380000,0,0,0,0,0,0,0,0,0,0
"BI",0,730000,0,0,0,0,0,0,0,0,0,0,10000,3930000
"bilateral-unspecified",582190000,590190000,1848090000,2396290000,1444500000,552130000,651010000,717390000,851010000,6195200000,1083010000,2993960000,1.922e+09,3673960000
"BJ",16380000,270000,7610000,2320000,980000,70000,1180000,0,8350000,1890000,5130000,1110000,3600000,6440000
"BM",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BN",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BO",110620000,65360000,37610000,145680000,36040000,96690000,13760000,63360000,165570000,14820000,192450000,4550000,5710000,7290000
"BR",8652280000,7597390000,7278860000,6655460000,3458050000,4466260000,7057800000,4.292e+09,4782790000,7216030000,8746220000,6042930000,6610520000,6746310000
"BS",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BT",0,0,22350000,18010000,18550000,1740000,0,0,0,8450000,21830000,14730000,5950000,870000
"BW",41800000,0,0,8020000,1960000,33030000,10850000,6230000,27090000,1023150000,6740000,589990000,62580000,27580000
"BY",0,0,0,0,0,95830000,29490000,28820000,73380000,295620000,117660000,116220000,384700000,381550000
"BZ",35970000,51900000,40930000,34010000,24180000,9020000,29290000,38740000,16540000,28280000,18800000,16930000,19640000,20940000
"CD",0,0,10640000,4614900000,145810000,101020000,20960000,0,76280000,10490000,20190000,284330000,44390000,9360000
"central-asia",0,0,0,0,0,0,0,880000,0,0,0,29280000,4.5e+07,0
"CF",1490000,1790000,0,0,0,0,68490000,0,3530000,0,0,3080000,0,0
"CG",0,0,19300000,464360000,0,1246770000,2840000,16410000,0,2110000,650000,0,2180000,60000
"CI",65720000,31240000,686140000,59300000,23840000,0,0,0,244560000,167620000,52200000,19450000,51380000,86510000
"CK",0,0,0,0,0,0,10550000,0,80000,10000,10400000,5460000,7270000,6090000
"CL",271550000,703780000,406660000,504300000,806800000,467400000,366430000,288930000,1057750000,1880990000,1673020000,1000660000,6655090000,2227760000
"CM",135030000,87010000,636900000,141210000,28270000,141540000,80100000,115500000,2130000,143890000,77020000,68530000,107890000,46070000
"CN",5808090000,6261190000,5147290000,4226530000,4185360000,3446270000,3898130000,3992060000,4562650000,4499590000,5555020000,5136080000,4762320000,5324320000
"CO",907920000,1956280000,1308240000,4041820000,978450000,1268080000,2191430000,1879860000,2105930000,2624550000,2226750000,1192430000,3595070000,2607720000
"CR",132330000,99080000,123400000,167430000,153160000,122750000,46180000,43500000,228690000,117290000,610500000,310010000,211640000,260160000
"CU",22170000,58680000,18120000,8230000,5280000,29060000,990000,16920000,0,0,0,2500000,0,0
"CV",0,70000,0,-2e+05,0,7860000,0,0,6100000,40610000,29400000,90360000,16860000,43400000
"CY",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DJ",0,0,0,1190000,0,0,16050000,0,1920000,118340000,35360000,16140000,270000,340000
"DM",5680000,4960000,37700000,5820000,6430000,6010000,1390000,920000,1070000,120000,3450000,5410000,5540000,5280000
"DO",168990000,328130000,490490000,409900000,526440000,400440000,374350000,274040000,280400000,908040000,1302750000,664550000,261370000,798200000
