country,channel,year,in-oda-gross-channel
51,A,2006,48829278
51,D,2006,70325806
51,E,2006,24622240
51,F,2006,6783160
51,G,2006,7128
51,H,2006,117542543
51,I,2006,33381629
51,J,2006,445803792
52,A,2006,117595121
52,D,2006,44131559
52,E,2006,10493633
52,F,2006,928264
52,H,2006,33375217
52,I,2006,58178981
52,J,2006,104698013
53,A,2006,221978475
53,D,2006,78244324
53,E,2006,5112200
53,F,2006,2934659
53,G,2006,14257
53,H,2006,70419357
53,I,2006,69223838
53,J,2006,212953970
54,A,2006,64865137
54,D,2006,3969412
54,E,2006,3670760
54,F,2006,261675
54,H,2006,10665433
54,I,2006,40478596
54,J,2006,30668428
55,A,2006,6571898969
55,D,2006,757514485
55,E,2006,1567610127
55,F,2006,27793229
55,G,2006,190466388
55,H,2006,1916810059
55,I,2006,1486345900
55,J,2006,3765227072
56,A,2006,217988283
56,D,2006,52898456
56,E,2006,6108843
56,F,2006,2334374
56,H,2006,28929645
56,I,2006,201785944
56,J,2006,225575255
57,A,2006,26256505
57,D,2006,13020651
57,E,2006,14861197
57,F,2006,68802
57,H,2006,35135960
57,I,2006,94445953
57,J,2006,33373573
58,A,2006,113457415
58,D,2006,15761709
58,E,2006,15940305
58,F,2006,829014
58,H,2006,109873577
58,I,2006,3903979
58,J,2006,44511756
59,A,2006,71259673
59,D,2006,28047861
59,E,2006,7778180
59,F,2006,783710
59,H,2006,13240387
59,I,2006,17265557
59,J,2006,83225419
60,A,2006,98960639
60,D,2006,10212937
60,E,2006,777490
60,G,2006,114057
60,H,2006,3811950
60,J,2006,123933203
61,A,2006,45051743
61,D,2006,5574107
61,E,2006,169186
61,G,2006,222482
61,H,2006,53792742
61,I,2006,23377669
61,J,2006,43375859
62,A,2006,7988286
62,D,2006,12204158
62,E,2006,19287335
62,F,2006,83055
62,H,2006,35658744
62,I,2006,10077130
62,J,2006,59461810
63,A,2006,4377621
63,D,2006,33889837
63,E,2006,4034228
63,F,2006,296141
63,H,2006,7568513
63,I,2006,28806453
63,J,2006,19564521
64,A,2006,2517806
64,D,2006,10201138
64,E,2006,17163119
64,F,2006,996661
64,G,2006,668870
64,H,2006,40803791
64,I,2006,30012719
64,J,2006,4131662
65,A,2006,401550347
65,D,2006,253988504
65,E,2006,133585734
65,F,2006,14837333
65,G,2006,9622623
65,H,2006,476258004
65,I,2006,188486574
65,J,2006,297268416
66,A,2006,99793400
66,D,2006,8582069
66,E,2006,335636
66,H,2006,5050480
66,I,2006,752576
66,J,2006,8499724
67,A,2006,8521199
67,D,2006,1266428
67,H,2006,2005503
67,I,2006,20035104
67,J,2006,38216251
AF,A,2006,586515349
AF,D,2006,137100302
AF,E,2006,38365849
AF,F,2006,6023186
AF,H,2006,925259407
AF,I,2006,670748131
AF,J,2006,742565588
AG,A,2006,2157695
AG,H,2006,7340
AG,J,2006,2503687
AI,A,2006,4919741
AI,J,2006,272829
AL,A,2006,182009201
AL,D,2006,13439154
AL,E,2006,9910302
AL,F,2006,1463713
AL,G,2006,8653
AL,H,2006,26881626
AL,I,2006,37217517
AL,J,2006,102402796
AM,A,2006,68676558
AM,D,2006,11583630
AM,E,2006,2523677
AM,F,2006,805249
AM,H,2006,14417645
AM,I,2006,55661215
AM,J,2006,120269227
AO,A,2006,91921878
AO,D,2006,46241066
AO,E,2006,10195998
AO,F,2006,781412
AO,H,2006,57173518
AO,I,2006,13110298
AO,J,2006,122563120
AR,A,2006,47356805
AR,D,2006,17274123
AR,E,2006,432163
AR,H,2006,6182274
AR,I,2006,2284455
AR,J,2006,73443607
AZ,A,2006,59074892
AZ,D,2006,6148080
AZ,E,2006,2051090
AZ,H,2006,7246336
AZ,I,2006,46293251
AZ,J,2006,93221786
BA,A,2006,197042739
BA,D,2006,52875229
BA,E,2006,18008109
BA,F,2006,9528489
BA,G,2006,22910
BA,H,2006,21435373
BA,I,2006,59254951
BA,J,2006,143307297
BB,A,2006,3872314
BB,H,2006,7340
BB,I,2006,196010
BB,J,2006,2747436
BD,A,2006,302917933
BD,D,2006,74828531
BD,E,2006,19142612
BD,F,2006,25674363
BD,H,2006,184019474
BD,I,2006,46094228
BD,J,2006,1174827333
BF,A,2006,535101506
BF,D,2006,34863497
BF,E,2006,15909335
BF,F,2006,9691381
BF,H,2006,972232883
BF,I,2006,5322217
BF,J,2006,701220761
BI,A,2006,142247373
BI,D,2006,34571502
BI,E,2006,14613342
BI,F,2006,2299413
BI,G,2006,34558
BI,H,2006,91975561
BI,I,2006,19742541
BI,J,2006,208474682
BJ,A,2006,231973141
BJ,D,2006,8430367
BJ,E,2006,11068357
BJ,F,2006,3174500
BJ,H,2006,815023325
BJ,I,2006,10536640
BJ,J,2006,470263169
BO,A,2006,448432191
BO,D,2006,44914990
BO,E,2006,24514081
BO,F,2006,7461612
BO,G,2006,2680561
BO,H,2006,1776470855
BO,I,2006,76076154
BO,J,2006,415780949
BR,A,2006,147897204
BR,D,2006,40879857
BR,E,2006,14991333
BR,F,2006,94744
BR,G,2006,76275
BR,H,2006,13804657
BR,I,2006,13285757
BR,J,2006,174187739
BT,A,2006,24639731
BT,D,2006,263605
BT,E,2006,8305914
BT,H,2006,1505494
BT,I,2006,1705237
BT,J,2006,67696307
BW,A,2006,48722522
BW,D,2006,2455406
BW,E,2006,676789
BW,G,2006,25470
BW,H,2006,640612
BW,I,2006,812060
BW,J,2006,40239376
BY,A,2006,28052147
BY,D,2006,4058080
BY,E,2006,898664
BY,H,2006,14513784
BY,I,2006,10252181
BY,J,2006,10260814
BZ,A,2006,8041583
BZ,D,2006,538098
BZ,E,2006,55071
BZ,H,2006,7340
BZ,I,2006,12285
BZ,J,2006,2397397
CD,A,2006,1273805821
CD,D,2006,86683940
CD,E,2006,49612420
CD,F,2006,4803642
CD,H,2006,265414484
CD,I,2006,64903665
CD,J,2006,776559320
CF,A,2006,39379731
CF,D,2006,7192912
CF,E,2006,2245100
CF,F,2006,9865
CF,G,2006,2851
CF,H,2006,27867632
CF,I,2006,17947652
CF,J,2006,118316809
CG,A,2006,225247304
CG,D,2006,16370867
CG,E,2006,1667258
