id,name
101,Kalangala
102,Kampala
103,Kyankwanzi
103,Kiboga
104,Luwero
105,Bukomansimbi
105,Lwengo
105,Masaka
106,Gomba
106,Butambala
106,Mpigi
107,Mubende
108,Buvuma
108,Mukono
108,Buikwe
109,Nakasongola
110,Rakai
111,Ssembabule
112,Kayunga
113,Wakiso
114,Lyantonde
115,Mityana
116,Nakaseke
122,Kalungu
201,Bugiri
201,Namayingo
202,Busia
203,Luuka
203,Iganga
204,Jinja
205,Kamuli
205,Buyende
206,Kapchorwa
206,Kween
207,Katakwi
208,Ngora
208,Kumi
209,Mbale
210,Kibuku
210,Pallisa
211,Serere
211,Soroti
212,Tororo
213,Kaberamaido
214,Mayuge
215,Sironko
215,Bulambuli
216,Amuria
217,Budaka
218,Bududa
219,Bukedea
220,Bukwo
221,Butaleja
222,Kaliro
223,Manafwa
224,Namutumba
301,Adjumani
302,Apac
302,Kole
303,Arua
303,Maracha
304,Gulu
305,Kitgum
305,Lamwo
306,Kotido
307,Otuke
307,Lira
307,Alebtong
308,Moroto
308,Napak
309,Moyo
310,Nebbi
310,Zombo
311,Amudat
311,Nakapiripirit
312,Agago
312,Pader
313,Yumbe
314,Abim
315,Amolatar
316,Nwoya
316,Amuru
317,Dokolo
318,Kaabong
319,Koboko
321,Oyam
401,Ntoroko
401,Bundibugyo
402,Sheema
402,Buhweju
402,Rubirizi
402,Mitooma
402,Bushenyi
403,Hoima
404,Kabale
405,Kabarole
406,Kasese
407,Kibaale
408,Kisoro
409,Masindi
409,Kiryandongo
410,Mbarara
411,Ntungamo
412,Rukungiri
413,Kamwenge
414,Kanungu
415,Kyenjojo
415,Kyegegwa
416,Buliisa
417,Ibanda
418,Isingiro
419,Kiruhura
