"series","country-year"
"id","youth-literacy"
"type","simple"
"parent",
"name","Literacy rate, youth total (% of people ages 15-24)"
"columns","id, year, value, original-value"
"description","Literacy rate, youth total (% of people ages 15-24)"
"default-scale","lin"
"theme","education"
"theme-order",
"global-picture-color-ramp",
"uom","percent"
"uom_display","%"
"source","World Bank World Development Indicators"
"calculation",
"format",
"highorlow","highisbetter"
"range",
"interpolated","1"
"missing-donor","NA"
"missing-recipient","NA"
"laymans-decription",
"laymans-heading",
