"id","value.2000","original-value.2000","value.2001","original-value.2001","value.2002","original-value.2002","value.2003","original-value.2003","value.2004","original-value.2004","value.2005","original-value.2005","value.2006","original-value.2006","value.2007","original-value.2007","value.2008","original-value.2008","value.2009","original-value.2009","value.2010","original-value.2010","value.2011","original-value.2011","value.2012","original-value.2012","value.2013","original-value.2013"
"AD",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AE",,,,,,,,,,,95.00645447,95.00645447,,,,,,,,,,,,,,,,
"AF",,,,,,,,,,,,,,,,,,,,,,,46.99005127,46.99005127,,,,
"AG",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AL",,,99.43515015,99.43515015,99.3488725971,,99.2625950443,,99.1763174914,,99.0900399386,,99.0037623857,,98.9174848329,,98.83120728,98.83120728,98.8178685533,,98.8045298267,,98.7911911,98.7911911,,,,
"AM",,,99.80728149,99.80728149,99.8016565455,,99.7960316009,,99.7904066564,,99.7847817118,,99.7791567673,,99.7735318227,,99.7679068782,,99.7622819336,,99.7566569891,,99.7510320445,,99.7454071,99.7454071,,
"AO",,,72.19448853,72.19448853,72.2684222173,,72.3423559045,,72.4162895918,,72.4902232791,,72.5641569664,,72.6380906536,,72.7120243409,,72.7859580282,,72.8598917155,,72.9338254027,,73.00775909,73.00775909,,
"AR",,,98.91665649,98.91665649,98.9459068955,,98.9751573009,,99.0044077064,,99.0336581118,,99.0629085173,,99.0921589227,,99.1214093282,,99.1506597336,,99.1799101391,,99.2091605445,,99.23841095,99.23841095,,
"AS",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AT",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AU",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AW",99.02641296,99.02641296,99.037612912,,99.048812864,,99.060012816,,99.071212768,,99.08241272,,99.093612672,,99.104812624,,99.116012576,,99.127212528,,99.13841248,99.13841248,,,,,,
"AZ",,,,,,,,,,,,,,,100,100,99.975646975,,99.95129395,99.95129395,99.95059967,99.95059967,99.94409943,99.94409943,99.93675232,99.93675232,,
"BA",99.79393005,99.79393005,99.7846933967,,99.7754567433,,99.76622009,,99.7569834367,,99.7477467833,,99.73851013,,99.7292734767,,99.7200368233,,99.71080017,,99.7015635167,,99.6923268633,,99.68309021,99.68309021,,
"BB",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BD",,,63.62273407,63.62273407,65.1060700855,,66.5894061009,,68.0727421164,,69.5560781318,,71.0394141473,,72.5227501627,,74.0060861782,,75.4894221936,,76.9727582091,,78.4560942245,,79.93943024,79.93943024,,
"BE",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BF",,,,,,,31.22925949,31.22925949,32.097938535,,32.96661758,32.96661758,32.73060226,32.73060226,39.25778198,39.25778198,,,,,,,,,,,,
"BG",,,98.21247864,98.21247864,98.177735903,,98.142993166,,98.108250429,,98.073507692,,98.038764955,,98.004022218,,97.969279481,,97.934536744,,97.899794007,,97.86505127,97.86505127,,,,
"BH",,,97.02471161,97.02471161,97.1512544433,,97.2777972767,,97.40434011,,97.5308829433,,97.6574257767,,97.78396861,,97.9105114433,,98.0370542767,,98.16359711,98.16359711,,,,,,
"BI",73.33005524,73.33005524,75.27459431,,77.21913338,,79.16367245,,81.10821152,,83.05275059,,84.99728966,,86.94182873,,88.8863678,88.8863678,,,,,,,,,,
"BJ",,,,,45.30962372,45.30962372,44.5728940975,,43.836164475,,43.0994348525,,42.36270523,42.36270523,,,,,,,,,,,,,,
"BM",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BN",,,98.89378357,98.89378357,98.9744096245,,99.0550356791,,99.1356617336,,99.2162877882,,99.2969138427,,99.3775398973,,99.4581659518,,99.5387920064,,99.6194180609,,99.7000441155,,99.78067017,99.78067017,,
"BO",,,97.32378387,97.32378387,97.6767133033,,98.0296427367,,98.38257217,,98.7355016033,,99.0884310367,,99.44136047,99.44136047,99.12249756,99.12249756,99.38397217,99.38397217,99.195747375,,99.00752258,99.00752258,98.99588776,98.99588776,,
"BR",94.18411255,94.18411255,94.849048615,,95.51398468,,96.178920745,,96.84385681,96.84385681,97.213077545,,97.58229828,97.58229828,97.80062866,97.80062866,97.84362793,97.84362793,98.0655365,98.0655365,97.51412201,97.51412201,98.48691559,98.48691559,98.6166153,98.6166153,,
"BS",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BT",,,,,,,,,,,74.40520477,74.40520477,,,,,,,,,,,,,,,,
"BW",,,,,,,93.95744324,93.95744324,94.1885494678,,94.4196556956,,94.6507619233,,94.8818681511,,95.1129743789,,95.3440806067,,95.5751868344,,95.8062930622,,96.03739929,96.03739929,,
"BY",,,,,,,,,,,,,,,,,,,99.82321167,99.82321167,,,,,,,,
"BZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CD",,,70.41625977,70.41625977,69.6429710417,,68.8696823133,,68.096393585,,67.3231048567,,66.5498161283,,65.7765274,65.7765274,,,,,,,,,,,,
"CF",60.8070488,60.8070488,58.361970904,,55.916893008,,53.471815112,,51.026737216,,48.58165932,,46.136581424,,43.691503528,,41.246425632,,38.801347736,,36.35626984,36.35626984,,,,,,
"CG",,,,,,,,,,,,,,,,,,,,,,,80.91394806,80.91394806,,,,
"CH",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CI",60.7236557,60.7236557,59.6891810092,,58.6547063183,,57.6202316275,,56.5857569367,,55.5512822458,,54.516807555,,53.4823328642,,52.4478581733,,51.4133834825,,50.3789087917,,49.3444341008,,48.30995941,48.30995941,,
"CL",,,,,98.99098206,98.99098206,99.0180816683,,99.0451812767,,99.072280885,,99.0993804933,,99.1264801017,,99.15357971,99.15357971,98.87237549,98.87237549,,,,,,,,
"CM",83.09828949,83.09828949,83.1036158971,,83.1089423043,,83.1142687114,,83.1195951186,,83.1249215257,,83.1302479329,,83.13557434,83.13557434,82.2818628933,,81.4281514467,,80.57444,80.57444,,,,,,
"CN",98.8587265,98.8587265,98.937082671,,99.015438842,,99.093795013,,99.172151184,,99.250507355,,99.328863526,,99.407219697,,99.485575868,,99.563932039,,99.64228821,99.64228821,,,,,,
"CO",,,,,,,,,97.99131012,97.99131012,97.95840454,97.95840454,97.88317108,97.88317108,97.96862793,97.96862793,97.98927307,97.98927307,97.93743134,97.93743134,98.09841919,98.09841919,98.23937225,98.23937225,,,,
"CR",97.61469269,97.61469269,97.7527847309,,97.8908767718,,98.0289688127,,98.1670608536,,98.3051528945,,98.4432449355,,98.5813369764,,98.7194290173,,98.8575210582,,98.9956130991,,99.13370514,99.13370514,,,,
"CU",,,,,99.95560455,99.95560455,99.958676908,,99.961749266,,99.964821624,,99.967893982,,99.97096634,,99.974038698,,99.977111056,,99.980183414,,99.983255772,,99.98632813,99.98632813,,
"CV",,,,,,,,,97.11495972,97.11495972,97.2417106663,,97.3684616125,,97.4952125588,,97.621963505,,97.7487144513,,97.8754653975,,98.0022163438,,98.12896729,98.12896729,,
