"id","entity-name","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"AU","Australia",0.37,0.44,0.43,0.51,0.48,0.53,0.56,0.62,0.56,0.6,0.62,0.56,0.62,0.47,0.55,0.66,0.41,0.42,0.55,0.53,0.48,0.41,0.56,0.49,0.45,0.48,0.47,0.34,0.46,0.38,0.34,0.38,0.37,0.35,0.34,0.34,0.27,0.27,0.27,0.26,0.27,0.25,0.26,0.25,0.25,0.25,0.3,0.32,0.32,0.29,0.32,0.34,0.36,0.33,0.31,0.29
"AT","Austria",0,0.04,0.03,0.05,0.08,0.11,0.12,0.14,0.14,0.11,0.07,0.07,0.09,0.15,0.18,0.21,0.12,0.23,0.27,0.19,0.23,0.33,0.36,0.24,0.28,0.38,0.21,0.17,0.24,0.23,0.11,0.18,0.11,0.11,0.17,0.27,0.23,0.24,0.22,0.24,0.23,0.34,0.26,0.2,0.23,0.52,0.47,0.5,0.43,0.3,0.32,0.27,0.28,0.27,0.28,0.35
"BE","Belgium",0.88,0.76,0.54,0.57,0.46,0.6,0.42,0.45,0.42,0.5,0.46,0.5,0.55,0.51,0.5,0.6,0.5,0.47,0.55,0.58,0.5,0.59,0.58,0.59,0.57,0.55,0.48,0.48,0.39,0.46,0.46,0.41,0.39,0.39,0.32,0.38,0.34,0.31,0.35,0.3,0.36,0.37,0.43,0.6,0.41,0.53,0.5,0.43,0.48,0.55,0.64,0.54,0.48,0.45,0.46,0.42
"BG","Bulgaria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.09,0.08,0.1,0.09,0.09
"CA","Canada",0.16,0.16,0.1,0.15,0.17,0.19,0.34,0.32,0.29,0.29,0.41,0.42,0.44,0.42,0.47,0.54,0.46,0.5,0.53,0.48,0.43,0.43,0.41,0.45,0.5,0.49,0.48,0.47,0.5,0.44,0.44,0.46,0.46,0.45,0.43,0.38,0.32,0.34,0.3,0.28,0.26,0.22,0.28,0.24,0.27,0.34,0.29,0.29,0.33,0.3,0.34,0.32,0.32,0.28,0.24,0.28
"HR","Croatia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.08,0.13,0.09
"CY","Cyprus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.14,0.17,0.17,0.2,0.23,0.16,0.11,0.1,0.09,0.09
"CZ","Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,0.03,0.05,0.07,0.11,0.11,0.11,0.12,0.11,0.12,0.12,0.13,0.13,0.12,0.11,0.11,0.12
"dac-countries-total","DAC Countries, Total",0.51,0.54,0.53,0.51,0.48,0.48,0.44,0.41,0.41,0.37,0.33,0.32,0.34,0.27,0.32,0.34,0.31,0.31,0.33,0.33,0.35,0.32,0.36,0.34,0.34,0.33,0.34,0.32,0.34,0.31,0.32,0.32,0.32,0.29,0.29,0.26,0.24,0.21,0.22,0.22,0.22,0.21,0.23,0.24,0.25,0.32,0.3,0.27,0.3,0.31,0.31,0.31,0.28,0.3,0.3,0.3
"DK","Denmark",0.09,0.12,0.1,0.11,0.11,0.13,0.19,0.22,0.23,0.38,0.38,0.42,0.44,0.46,0.53,0.55,0.52,0.56,0.7,0.71,0.74,0.73,0.77,0.73,0.85,0.8,0.89,0.88,0.89,0.93,0.94,0.96,1.02,1.03,1.03,0.96,1.04,0.97,1,1.01,1.06,1.03,0.96,0.84,0.85,0.81,0.8,0.81,0.82,0.88,0.91,0.85,0.83,0.85,0.86,0.85
