"id","value.2005","value.2006","value.2007","value.2008","value.2009","value.2010","value.2011","value.2012"
"AF",48.65,48.67,48.68,48.74,48.91,49.23,49.71,50.31
"AO",49.77,49.73,49.7,49.69,49.71,49.77,49.87,50.01
"AL",64.93,65.36,65.77,66.18,66.6,67.07,67.58,68.1
"AR",63.45,63.69,63.93,64.14,64.34,64.5,64.64,64.76
"AM",66.5,67.03,67.57,68.1,68.57,68.94,69.19,69.34
"AG",64.41,64.72,65.12,65.57,66.05,66.53,67.02,67.5
"AZ",67.57,68.46,69.33,70.13,70.83,71.38,71.79,72.07
"BI",51.85,52.42,52.89,53.24,53.45,53.54,53.51,53.37
"BJ",52.67,52.88,53.08,53.28,53.48,53.7,53.93,54.16
"BF",50.94,51.03,51.13,51.24,51.37,51.52,51.69,51.89
"BD",61.4,61.87,62.32,62.78,63.25,63.73,64.22,64.71
"BA",67.96,67.76,67.58,67.45,67.42,67.53,67.8,68.2
"BY",69.79,70.16,70.52,70.84,71.08,71.21,71.22,71.13
"BZ",57.99,58.51,59.04,59.58,60.12,60.65,61.16,61.67
"BO",57.26,57.63,58.04,58.46,58.88,59.27,59.62,59.94
"BR",66.26,66.52,66.78,67.05,67.33,67.6,67.87,68.13
"BT",61.93,62.91,63.75,64.48,65.13,65.73,66.28,66.77
"BW",61.03,61.35,61.61,61.84,62.06,62.26,62.47,62.68
"CF",54.17,54.37,54.6,54.87,55.16,55.46,55.77,56.08
"CL",67.08,67.47,67.84,68.18,68.46,68.68,68.83,68.92
"CN",71.82,72.43,72.89,73.22,73.42,73.51,73.48,73.34
"CI",54.73,54.74,54.78,54.86,54.96,55.08,55.22,55.37
"CM",52.37,52.57,52.77,52.97,53.16,53.34,53.52,53.7
"CG",54.28,54.28,54.32,54.36,54.38,54.37,54.32,54.25
"CO",64.15,64.48,64.8,65.1,65.38,65.62,65.83,66.01
"KM",55.47,55.34,55.19,55.04,54.93,54.88,54.9,54.97
"CR",66.21,66.76,67.28,67.76,68.19,68.58,68.93,69.22
"CU",69.57,69.76,69.91,70.04,70.15,70.25,70.34,70.41
"DJ",59.39,60.11,60.78,61.37,61.83,62.17,62.35,62.41
"DM",,,,,,,,
"DO",61.27,61.58,61.91,62.24,62.54,62.82,63.07,63.28
"DZ",66.72,67.29,67.71,67.98,68.12,68.15,68.08,67.91
"EC",61.72,61.97,62.2,62.43,62.66,62.88,63.1,63.32
"EG",62.03,62.37,62.61,62.78,62.9,62.99,63.06,63.11
"ER",54.52,54.79,54.92,54.95,54.92,54.86,54.79,54.7
"ET",50.68,50.89,51.14,51.45,51.83,52.27,52.77,53.32
"FJ",65.27,65.72,65.99,66.12,66.16,66.13,66.06,65.92
"FM",57.2,57.52,57.89,58.32,58.78,59.25,59.74,60.24
"GA",54.86,55.13,55.39,55.64,55.86,56.04,56.19,56.3
"GE",67.05,67.42,67.82,68.17,68.41,68.48,68.38,68.11
"GH",56.42,56.63,56.84,57.07,57.29,57.5,57.7,57.89
"GN",53.13,53.29,53.45,53.62,53.8,53.99,54.2,54.42
"GM",51.47,51.46,51.45,51.44,51.46,51.5,51.57,51.66
"GW",54.21,54.39,54.57,54.76,54.95,55.14,55.34,55.54
"GQ",56.15,56.56,56.92,57.23,57.51,57.77,58.02,58.24
"GD",62.3,63.1,63.78,64.34,64.82,65.24,65.61,65.91
"GT",52.55,52.8,53.09,53.41,53.73,54.06,54.38,54.7
"GY",59.61,59.43,59.24,59.1,59.06,59.19,59.49,59.93
"HN",56.04,56.61,57.19,57.78,58.36,58.9,59.41,59.89
"HT",57.76,58.11,58.42,58.73,59.05,59.39,59.75,60.14
"ID",65.13,65.1,65.06,65.04,65.06,65.16,65.34,65.6
"IN",63.06,63.41,63.75,64.1,64.43,64.76,65.07,65.37
