"series","country-year"
"id","population-rural-urban"
"type","composite"
"parent",
"name","Urban vs rural population level"
"columns","id, year, population-rural, population-urban"
"description","Urban vs rural population level"
"default-scale","log"
"themes",
"map-theme",
"theme-order",
"global-picture-color-ramp",
"uom","unit"
"uom_display",
"source","World Bank World Development Indicators"
"calculation",
"format",
"highorlow",
"range",
"interpolated",
"missing-donor","NA"
"missing-recipient","NA"
"laymans-decription",
"laymans-heading",
"source-link",
