"id","entity-name","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"AU","Australia",0.27,0.25,0.26,0.25,0.25,0.25,0.3,0.32,0.32,0.29,0.32,0.34,0.36,0.33
"AT","Austria",0.23,0.34,0.26,0.2,0.23,0.52,0.47,0.5,0.43,0.3,0.32,0.27,0.28,0.27
"BE","Belgium",0.36,0.37,0.43,0.6,0.41,0.53,0.5,0.43,0.48,0.55,0.64,0.54,0.47,0.45
"CA","Canada",0.25,0.22,0.28,0.24,0.27,0.34,0.29,0.29,0.33,0.3,0.34,0.32,0.32,0.27
"CZ","Czech Republic",0.03,0.05,0.07,0.11,0.11,0.11,0.12,0.11,0.12,0.12,0.13,0.12,0.12,0.11
"DK","Denmark",1.06,1.03,0.96,0.84,0.85,0.81,0.8,0.81,0.82,0.88,0.91,0.85,0.83,0.85
"FI","Finland",0.31,0.32,0.35,0.35,0.37,0.46,0.4,0.39,0.44,0.54,0.55,0.53,0.53,0.54
"FR","France",0.3,0.31,0.37,0.4,0.41,0.47,0.47,0.38,0.39,0.47,0.5,0.46,0.45,0.41
"DE","Germany",0.27,0.27,0.27,0.28,0.28,0.36,0.36,0.37,0.38,0.35,0.39,0.39,0.37,0.38
"GR","Greece",0.2,0.17,0.21,0.21,0.16,0.17,0.17,0.16,0.21,0.19,0.17,0.15,0.13,0.1
"IS","Iceland",0.1,0.13,0.15,0.17,0.18,0.18,0.27,0.27,0.47,0.35,0.29,0.21,0.22,0.25
"IE","Ireland",0.29,0.33,0.4,0.39,0.39,0.42,0.54,0.55,0.59,0.54,0.52,0.51,0.47,0.46
"IT","Italy",0.13,0.15,0.2,0.17,0.15,0.29,0.2,0.19,0.22,0.16,0.15,0.2,0.14,0.17
"JP","Japan",0.28,0.23,0.23,0.2,0.19,0.28,0.25,0.17,0.19,0.18,0.2,0.18,0.17,0.23
"LU","Luxembourg",0.7,0.77,0.78,0.86,0.79,0.79,0.89,0.92,0.97,1.04,1.05,0.97,1,1
"NL","Netherlands",0.84,0.82,0.81,0.8,0.73,0.82,0.81,0.81,0.8,0.82,0.81,0.75,0.71,0.67
"NZ","New Zealand",0.25,0.25,0.22,0.23,0.23,0.27,0.27,0.27,0.3,0.28,0.26,0.28,0.28,0.26
"NO","Norway",0.76,0.8,0.89,0.92,0.87,0.94,0.89,0.95,0.89,1.06,1.05,0.96,0.93,1.07
"PL","Poland",0.02,0.02,0,0.01,0.05,0.07,0.09,0.1,0.08,0.09,0.08,0.08,0.09,0.1
"PT","Portugal",0.26,0.25,0.27,0.22,0.63,0.21,0.21,0.22,0.27,0.23,0.29,0.31,0.28,0.23
"SK","Slovakia",0.03,0.04,0.02,0.05,0.07,0,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09
"SI","Slovenia",0,0,0,0,0,0.11,0.12,0.12,0.13,0.15,0.13,0.13,0.13,0.13
"KR","South Korea",0.04,0.06,0.05,0.06,0.06,0.1,0.05,0.07,0.09,0.1,0.12,0.12,0.14,0.13
"ES","Spain",0.22,0.3,0.26,0.23,0.24,0.27,0.32,0.37,0.45,0.46,0.43,0.29,0.16,0.17
"SE","Sweden",0.8,0.77,0.84,0.79,0.78,0.94,1.02,0.93,0.98,1.12,0.97,1.02,0.97,1.01
"CH","Switzerland",0.32,0.33,0.32,0.36,0.39,0.42,0.38,0.37,0.42,0.44,0.39,0.46,0.47,0.47
"GB","UK",0.32,0.32,0.31,0.34,0.36,0.47,0.51,0.36,0.43,0.51,0.57,0.56,0.56,0.71
"US","USA",0.1,0.11,0.13,0.15,0.17,0.23,0.18,0.16,0.18,0.21,0.21,0.2,0.19,0.18
