"id","entity-name","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"AU","Australia",765720973.1,911580554.3,944522244.5,1189638853,1207852150,1394510503,1503751352,1770698319,1698640439,1891621949,2047990020,1922427297,2214681383,1768374487,2131316038,2608166111,1696411073,1807862570,2380056237,2380478351,2257590933,1979003966,2722864066,2408492364,2405839897,2763630866,2736108542,2031411418,2940577959,2498596275,2262392960,2443314373,2488257983,2492446016,2619200427,2758844164,2299743250,2361547012,2522437698,2478904007,2654314677,2544644327,2660615552,2678466220,2728383842,2902596998,3533018141,3843067108,4048881367,3992991758,4459377647,4967311995,5402700000,5152222822,4838362220
"AT","Austria",1355376.086,37448835.53,28492576.69,50271393.71,76547610,119548576.7,133462382.3,154995994.8,163771204.4,138296010.5,96708810.5,101504020.1,126726984.8,224898676.8,290793225.4,337732801.7,207098467.3,392538450,463505260.5,351271719.7,438391479.4,625672917.9,681831307.5,463647227.6,566860559.8,780106386.1,445998295.7,367910557.9,530101093.8,517113884.7,256542235.3,445038353.4,281103592.6,292179976.7,439245536.9,730256237.6,645096100,700556335.4,657549920.7,733950562.1,749904624.7,1091988411,840099410,673602062.5,808866165.4,1840629183,1703780244,1849160371,1633008106,1112761159,1217671319,1045800672,1105750000,1113215252,1131656757
"BE","Belgium",1045636055,943526893.3,702130352,779700778.8,664931007.1,898381692.5,648891811.1,731356304.3,710021620.9,903824185.9,880945554.1,997117898,1122489624,1127949769,1158569915,1357085943,1192336498,1123339171,1366230619,1458607576,1294177697,1509483073,1500180337,1525790219,1522229147,1476906048,1340984883,1385709887,1167486437,1397495171,1457988898,1353585746,1289321318,1240948944,1056936731,1308314479,1209046508,1157153930,1332491936,1192706229,1458730324,1556486822,1791481659,2534310550,1781564408,2334001796,2273763525,2009416020,2283494059,2556679446,3032573567,2646082105,2314860000,2191575538,2267475691
"CA","Canada",524855470.6,509667278.1,364110946.3,557569336,653931319.2,781892754.1,1485710161,1438742621,1382502004,1465121954,2120859985,2294427526,2551491548,2588135525,3067695979,3557157506,3182858154,3593868531,3867537983,3609825133,3309131641,3379921975,3218142615,3632365102,4191981283,4296139448,4407291652,4466333613,4937917007,4486203422,4552899912,4573062438,4590931298,4613568105,4513577872,4075341934,3457383156,3953224110,3541784513,3481049387,3410498569,3075938752,4028625400,3522576007,4056973669,5290619867,4728085834,4804499992,5440055579,4921281966,5642637157,5493569861,5650260000,5044043312,4492243658
"CZ","Czech Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33445882.04,32014210.85,38518763.8,59378265.85,85406878.43,144987778.1,152232308,177761356,198435555.2,191847926,224227102.8,206740847.4,223700684.5,230224085.6,219630000,207862300.8,211563499.8
"DK","Denmark",79267235.73,116369880.4,100953961.1,110756224.4,123126991.6,147836146.3,224068072.6,267360335.4,300380771.6,532512085.3,530881063.2,614828652.2,679175206.7,726632296.4,828241784,841853455.3,846157240.1,927668844.7,1174595596,1244824378,1282249228,1230806078,1346183025,1309276214,1589374843,1526948377,1795629502,1790810567,1818952045,1913915333,1968545396,2030360969,2186947943,2245554906,2341811675,2286602347,2533450716,2612541030,2726101151,2842247562,3070061596,3026401848,2818206184,2460367640,2550964473,2570633329,2645342564,2714065605,2704843496,2786632380,2871329930,2774856624,2692590000,2794145106,2779717557
"FI","Finland",0,18832699.71,20972796.47,25543946.95,22123773.32,16202813.86,26309560.3,31481052.21,38675762.08,108115783.9,52891735.05,96058086.69,134482906.3,148349986.1,161558583.6,176516154.5,172786554.1,157914166.8,167851811,240296507.4,257591966.3,325428299.6,357964945.5,405475283.9,467606916.8,543145852.5,629048041.1,719617580.5,891741108.9,1001738751,1017040164,1164601722,885970604,611372127.6,448576698,480417286.1,532996641.9,547946608.1,571170159.5,620829054,622857761.2,652666626.4,727621601.6,738445302.4,813569594.6,1074008835,975650880.7,1021583409,1118904442,1263820521,1368055691,1337434047,1319710000,1366544378,1493070958
"FR","France",7916524001,8428520545,8390387733,6899271146,6685274363,5893359034,5683834855,6121849500,6098391915,6678185231,5181517731,5357502218,5480441290,4971936016,5313331331,5292959400,5104352082,4985802334,5195562159,5907680968,6233492788,7365567050,8175458971,8242105743,9182751977,9275901439,8768089242,9631212882,9622510090,10587259649,10858831941,11295124132,11644234334,11716891223,12152403744,10762213806,9596347261,9183794172,8362199205,8556239079,7088650852,7312971099,8884507396,9606104920,10037138512,11650979907,11941796042,9951747729,10165045284,12076840622,12888655058,12198533573,12028270000,10818332993,9901437122
"DE","Germany",2608231696,3932372220,4166152454,3868891822,4417479009,4252699727,3785167164,4507740636,4829370342,4742607540,4229131290,4614073108,4420394320,4734021047,5558323855,5906522101,5495955003,5268708588,5981322480,7611944508,7571949271,8053300062,8178975541,8400484892,8039023162,8606020090,8008797502,7461891969,7739472238,8467086541,9005247255,9889830010,9724685219,9078120088,8523624342,8142012151,8582919206,7601115440,7305683817,7519114347,7981765015,8056521695,8054407455,8467912338,8461163930,11247671503,11491445798,12212042236,13082470213,11571460945,12944111131,13219250767,12939490000,13487950886,15151149847
"GR","Greece",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266295242.5,266086176.3,284374063.6,309200963.2,416174209.2,374712850.8,471823993,496701609.7,388692222,456637236.3,487163199.7,510694018.6,649821344.9,568214482.2,493872842.6,389510675.7,327410000,236750611.1,241433887.6
