"to_di_id","entity_to_name","year","destination_institution_type","creditor_type","creditor_institution","financing_type","value"
"AF","Afghanistan",2000,"ppg","official","bilateral","concessional",
"AF","Afghanistan",2000,"ppg","official","bilateral","non-concessional",
"AF","Afghanistan",2000,"ppg","official","multilateral","concessional",
"AF","Afghanistan",2000,"ppg","official","multilateral","non-concessional",
"AF","Afghanistan",2001,"ppg","official","bilateral","concessional",
"AF","Afghanistan",2001,"ppg","official","bilateral","non-concessional",
"AF","Afghanistan",2001,"ppg","official","multilateral","concessional",
"AF","Afghanistan",2001,"ppg","official","multilateral","non-concessional",
"AF","Afghanistan",2002,"ppg","official","bilateral","concessional",0
"AF","Afghanistan",2002,"ppg","official","bilateral","non-concessional",0
"AF","Afghanistan",2002,"ppg","official","multilateral","concessional",0
"AF","Afghanistan",2002,"ppg","official","multilateral","non-concessional",0
"AF","Afghanistan",2003,"ppg","official","bilateral","concessional",0
"AF","Afghanistan",2003,"ppg","official","bilateral","non-concessional",0
"AF","Afghanistan",2003,"ppg","official","multilateral","concessional",0
"AF","Afghanistan",2003,"ppg","official","multilateral","non-concessional",0
"AF","Afghanistan",2004,"ppg","official","bilateral","concessional",0
"AF","Afghanistan",2004,"ppg","official","bilateral","non-concessional",0
"AF","Afghanistan",2004,"ppg","official","multilateral","concessional",0
"AF","Afghanistan",2004,"ppg","official","multilateral","non-concessional",0
"AF","Afghanistan",2005,"ppg","official","bilateral","concessional",0
"AF","Afghanistan",2005,"ppg","official","bilateral","non-concessional",0
"AF","Afghanistan",2005,"ppg","official","multilateral","concessional",0
"AF","Afghanistan",2005,"ppg","official","multilateral","non-concessional",0
"AF","Afghanistan",2006,"ppg","official","bilateral","concessional",61549792.85
"AF","Afghanistan",2006,"ppg","official","bilateral","non-concessional",0
"AF","Afghanistan",2006,"ppg","official","multilateral","concessional",43846202.96
"AF","Afghanistan",2006,"ppg","official","multilateral","non-concessional",0
"AF","Afghanistan",2007,"ppg","official","bilateral","concessional",0
"AF","Afghanistan",2007,"ppg","official","bilateral","non-concessional",0
"AF","Afghanistan",2007,"ppg","official","multilateral","concessional",0
"AF","Afghanistan",2007,"ppg","official","multilateral","non-concessional",0
"AF","Afghanistan",2008,"ppg","official","bilateral","concessional",10265.5452
"AF","Afghanistan",2008,"ppg","official","bilateral","non-concessional",0
"AF","Afghanistan",2008,"ppg","official","multilateral","concessional",0
"AF","Afghanistan",2008,"ppg","official","multilateral","non-concessional",0
"AF","Afghanistan",2009,"ppg","official","bilateral","concessional",0
"AF","Afghanistan",2009,"ppg","official","bilateral","non-concessional",0
"AF","Afghanistan",2009,"ppg","official","multilateral","concessional",6781307.41
"AF","Afghanistan",2009,"ppg","official","multilateral","non-concessional",0
"AF","Afghanistan",2010,"ppg","official","bilateral","concessional",0
"AF","Afghanistan",2010,"ppg","official","bilateral","non-concessional",0
"AF","Afghanistan",2010,"ppg","official","multilateral","concessional",0
"AF","Afghanistan",2010,"ppg","official","multilateral","non-concessional",0
"AF","Afghanistan",2011,"ppg","official","bilateral","concessional",0
"AF","Afghanistan",2011,"ppg","official","bilateral","non-concessional",0
"AF","Afghanistan",2011,"ppg","official","multilateral","concessional",0
"AF","Afghanistan",2011,"ppg","official","multilateral","non-concessional",0
"AF","Afghanistan",2012,"ppg","official","multilateral","concessional",0
"AF","Afghanistan",2012,"ppg","official","multilateral","non-concessional",0
"AF","Afghanistan",2012,"ppg","official","bilateral","concessional",0
"AF","Afghanistan",2012,"ppg","official","bilateral","non-concessional",0
"AF","Afghanistan",2013,"ppg","official","bilateral","concessional",0
"AF","Afghanistan",2013,"ppg","official","multilateral","concessional",8887162.606
"AF","Afghanistan",2013,"ppg","official","multilateral","non-concessional",0
"AF","Afghanistan",2013,"ppg","official","bilateral","non-concessional",0
"AL","Albania",2000,"ppg","official","bilateral","concessional",0
"AL","Albania",2000,"ppg","official","bilateral","non-concessional",11490401.48
"AL","Albania",2000,"ppg","official","multilateral","concessional",0
"AL","Albania",2000,"ppg","official","multilateral","non-concessional",59340544.84
"AL","Albania",2001,"ppg","official","bilateral","concessional",17914923.49
"AL","Albania",2001,"ppg","official","bilateral","non-concessional",27453015.6
"AL","Albania",2001,"ppg","official","multilateral","concessional",0
"AL","Albania",2001,"ppg","official","multilateral","non-concessional",17819542.46
"AL","Albania",2002,"ppg","official","bilateral","concessional",5634298.229
"AL","Albania",2002,"ppg","official","bilateral","non-concessional",1389628.375
"AL","Albania",2002,"ppg","official","multilateral","concessional",14602444.29
"AL","Albania",2002,"ppg","official","multilateral","non-concessional",0
"AL","Albania",2003,"ppg","official","bilateral","concessional",3711519.884
"AL","Albania",2003,"ppg","official","bilateral","non-concessional",0
"AL","Albania",2003,"ppg","official","multilateral","concessional",0
"AL","Albania",2003,"ppg","official","multilateral","non-concessional",961405.9447
"AL","Albania",2004,"ppg","official","multilateral","concessional",0
"AL","Albania",2004,"ppg","official","multilateral","non-concessional",0
"AL","Albania",2004,"ppg","official","bilateral","concessional",0
"AL","Albania",2004,"ppg","official","bilateral","non-concessional",0
"AL","Albania",2005,"ppg","official","bilateral","concessional",0
"AL","Albania",2005,"ppg","official","bilateral","non-concessional",0
"AL","Albania",2005,"ppg","official","multilateral","concessional",0
"AL","Albania",2005,"ppg","official","multilateral","non-concessional",0
"AL","Albania",2006,"ppg","official","bilateral","concessional",7901253.65
"AL","Albania",2006,"ppg","official","bilateral","non-concessional",0
"AL","Albania",2006,"ppg","official","multilateral","concessional",3295714.977
"AL","Albania",2006,"ppg","official","multilateral","non-concessional",0
"AL","Albania",2007,"ppg","official","bilateral","concessional",0
"AL","Albania",2007,"ppg","official","bilateral","non-concessional",0
