"id","value.2000","original-value.2000","value.2001","original-value.2001","value.2002","original-value.2002","value.2003","original-value.2003","value.2004","original-value.2004","value.2005","original-value.2005","value.2006","original-value.2006","value.2007","original-value.2007","value.2008","original-value.2008","value.2009","original-value.2009","value.2010","original-value.2010","value.2011","original-value.2011","value.2012","original-value.2012","value.2013","original-value.2013"
"AD",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AE",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AF",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AG",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AL",,,,,1.18,1.18,1.07,,0.96,0.96,0.89,0.89,0.6766666667,,0.4633333333,,0.25,0.25,0.3375,,0.425,,0.5125,,0.6,0.6,,
"AM",,,15.77,15.77,13.54,13.54,11.13,11.13,8.1,8.1,4.99,4.99,3.97,3.97,4.39,4.39,2.18,2.18,2.81,2.81,3.82,3.82,3.53,3.53,3.07,3.07,,
"AO",42.35,42.35,41.1411111111,,39.9322222222,,38.7233333333,,37.5144444444,,36.3055555556,,35.0966666667,,33.8877777778,,32.6788888889,,31.47,31.47,,,,,,,,
"AR",4.52,4.52,7.12,7.12,9.84,9.84,7.58,7.58,5.27,5.27,3.94,3.94,3.13,3.13,2.79,2.79,2.36,2.36,2.34,2.34,1.59,1.59,1.26,1.26,,,,
"AS",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AT",0.33,0.33,0.5025,,0.675,,0.8475,,1.02,1.02,,,,,,,,,,,,,,,,,,
"AU",,,5.62,5.62,4.99,,4.36,4.36,,,,,,,,,,,,,,,,,,,,
"AW",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AZ",,,6.76,6.76,0.09,0.09,0.15,0.15,0.01,0.01,0.1425,,0.275,,0.4075,,0.54,0.54,,,,,,,,,,
"BA",,,0.2,0.2,0.1666666667,,0.1333333333,,0.1,0.1,0.0766666667,,0.0533333333,,0.03,0.03,,,,,,,,,,,,
"BB",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BD",39.39,39.39,38.38,,37.37,,36.36,,35.35,,34.34,34.34,33.542,,32.744,,31.946,,31.148,,30.35,30.35,,,,,,
"BE",0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
"BF",,,,,,,34.7,34.7,34.19,,33.68,,33.17,,32.66,,32.15,,31.64,31.64,,,,,,,,
"BG",,,1.95,1.95,1.295,,0.64,0.64,0.57,,0.5,,0.43,,0.36,0.36,0.78,0.78,1.005,,1.23,1.23,1.59,1.59,,,,
"BH",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BI",,,,,,,,,,,,,56.06,56.06,,,,,,,,,,,,,,
"BJ",,,,,,,33.5,33.5,33.7688888889,,34.0377777778,,34.3066666667,,34.5755555556,,34.8444444444,,35.1133333333,,35.3822222222,,35.6511111111,,35.92,35.92,,
"BM",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BO",23.27,23.27,17.41,17.41,18.36,18.36,13.94,,9.52,9.52,14.8,14.8,12.75,12.75,10.29,10.29,8.55,8.55,8.5,8.5,6.985,,5.47,5.47,6.49,6.49,,
"BR",,,8.58,8.58,7.46,7.46,8.03,8.03,6.93,6.93,6.08,6.08,5.09,5.09,5.16,5.16,4.24,4.24,4.13,4.13,4.01,,3.89,3.89,3.27,3.27,,
"BS",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BT",,,,,,,17.32,17.32,15.1225,,12.925,,10.7275,,8.53,8.53,7.482,,6.434,,5.386,,4.338,,3.29,3.29,,
"BW",,,,,,,17.88,17.88,16.6066666667,,15.3333333333,,14.06,,12.7866666667,,11.5133333333,,10.24,10.24,,,,,,,,
"BY",0.37,0.37,0.13,0.13,0.59,0.59,0.46,0.46,0.09,0.09,0.09,0.09,0.05,0.05,0.0366666667,,0.0233333333,,0.01,0.01,,,,,,,,
"BZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CA",2.46,2.46,2.055,,1.65,,1.245,,0.84,0.84,0.7233333333,,0.6066666667,,0.49,0.49,0.5266666667,,0.5633333333,,0.6,0.6,,,,,,
"CD",,,,,,,,,,,,,67.58,67.58,,,,,,,,,,,,,,
"CF",,,,,,,45.3,45.3,45.596,,45.892,,46.188,,46.484,,46.78,46.78,,,,,,,,,,
"CG",,,,,,,,,,,38.82,38.82,36.375,,33.93,,31.485,,29.04,,26.595,,24.15,24.15,,,,
"CH",1.24,1.24,2.225,,3.21,3.21,4.925,,6.64,6.64,,,,,,,,,,,,,,,,,,
"CI",,,,,22.04,22.04,22.675,,23.31,,23.945,,24.58,,25.215,,25.85,25.85,,,,,,,,,,
"CL",1.88,1.88,1.7866666667,,1.6933333333,,1.6,1.6,1.41,,1.22,,1.03,1.03,1.0566666667,,1.0833333333,,1.11,1.11,0.93,,0.75,0.75,,,,
"CM",,,18.5,18.5,18.745,,18.99,,19.235,,19.48,,19.725,,19.97,19.97,,,,,,,,,,,,
"CN",,,,,20.42,20.42,17.65,,14.88,,12.11,12.11,11.25,,10.39,,9.53,9.53,8.435,,7.34,7.34,5.46,5.46,,,,
"CO",16.38,16.38,14.56,14.56,8.82,8.82,8.28,8.28,7.45,7.45,6.57,6.57,9.36,9.36,7.47,7.47,7.17,7.17,6.2,6.2,5.14,5.14,4.32,4.32,4.69,4.69,,
"CR",4.77,4.77,4.95,4.95,4.75,4.75,4.52,4.52,4.16,4.16,3.09,3.09,3.16,3.16,1.83,1.83,2.15,2.15,2.55,2.55,1.15,1.15,1.2,1.2,1.18,1.18,,
"CU",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CV",,,,,15.19,15.19,14.5133333333,,13.8366666667,,13.16,,12.4833333333,,11.8066666667,,11.13,11.13,,,,,,,,,,
"CW",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CY",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZ",,,,,,,,,,,0.01,0.01,0.04,0.04,0.04,,0.04,0.04,0.08,0.08,0.02,0.02,0.06,0.06,,,,
"DE",,,,,,,,,,,,,,,,,,,,,0.49,0.49,,,,,,
"DJ",,,,,14.58,14.58,,,,,,,,,,,,,,,,,,,,,,
"DK",3.12,3.12,3.52,,3.92,,4.32,,4.72,4.72,5.9766666667,,7.2333333333,,8.49,8.49,9.45,,10.41,,11.37,11.37,,,,,,
"DM",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DO",4.02,4.02,3.12,3.12,4.44,4.44,5.21,5.21,6.75,6.75,4.63,4.63,3.72,3.72,3.42,3.42,3.16,3.16,2.74,2.74,2.39,2.39,2.43,2.43,2.36,2.36,,
"DZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EC",15.85,15.85,13.87,,11.89,,9.91,9.91,8.74,8.74,7.82,7.82,5.17,5.17,5.84,5.84,5.35,5.35,5.2,5.2,4.05,4.05,3.56,3.56,3.4,3.4,,
"EE",0.68,0.68,0.65,0.65,0.69,0.69,0.59,0.59,0.78,,0.97,0.97,0.71,0.71,0.44,0.44,0.45,0.45,0.69,0.69,1.01,1.01,1.19,1.19,,,,
"EG",3.5,3.5,3.566,,3.632,,3.698,,3.764,,3.83,3.83,3.4966666667,,3.1633333333,,2.83,2.83,,,,,,,,,,
"ER",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ES",0.54,0.54,0.69,,0.84,,0.99,,1.14,1.14,2.6133333333,,4.0866666667,,5.56,5.56,5.6733333333,,5.7866666667,,5.9,5.9,,,,,,
"ET",37.32,37.32,35.626,,33.932,,32.238,,30.544,,28.85,28.85,28.6383333333,,28.4266666667,,28.215,,28.0033333333,,27.7916666667,,27.58,27.58,,,,
"FI",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FJ",,,,,,,21.8,21.8,19.1633333333,,16.5266666667,,13.89,,11.2533333333,,8.6166666667,,5.98,5.98,,,,,,,,
"FM",24.54,24.54,,,,,,,,,,,,,,,,,,,,,,,,,,
"FO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FR",1.29,1.29,1.086,,0.882,,0.678,,0.474,,0.27,0.27,,,,,,,,,,,,,,,,
"GA",,,,,,,,,,,5.75,5.75,,,,,,,,,,,,,,,,
"GB",,,,,,,,,4.21,4.21,4.7166666667,,5.2233333333,,5.73,5.73,5.0733333333,,4.4166666667,,3.76,3.76,,,,,,
"GD",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GE",14.62,14.62,14.68,14.68,11.76,11.76,13.03,13.03,12.36,12.36,11.97,11.97,11.5,11.5,11.91,11.91,11.35,11.35,11.38,11.38,13.66,13.66,12.79,12.79,11.36,11.36,,
"GH",,,,,,,,,,,,,21.32,21.32,,,,,,,,,,,,,,
"GL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GM",,,,,,,24.38,24.38,,,,,,,,,,,,,,,,,,,,
"GN",,,,,,,39.7,39.7,36.85,,34,,31.15,,28.3,28.3,28.594,,28.888,,29.182,,29.476,,29.77,29.77,,
"GQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GR",0.63,0.63,0.985,,1.34,,1.695,,2.05,2.05,4.36,,6.67,,8.98,8.98,6.71,,4.44,,2.17,2.17,,,,,,
"GT",9.68,9.68,12.985,,16.29,16.29,13.54,13.54,12.99,12.99,11.685,,10.38,10.38,10.536,,10.692,,10.848,,11.004,,11.16,11.16,,,,
"GU",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GW",,,,,34.88,34.88,,,,,,,,,,,,,,,,,,,,,,
"GY",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HK",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HN",,,13.31,13.31,21.69,21.69,19.66,19.66,18.84,18.84,20.45,20.45,17.31,17.31,12.38,12.38,11.29,11.29,9.56,9.56,10.47,10.47,13.18,13.18,,,,
"HR",0.07,0.07,0.06,0.06,,,,,,,,,,,,,,,,,,,,,,,,
"HT",,,46.69,46.69,,,,,,,,,,,,,,,,,,,,,,,,
"HU",0.02,0.02,0.02,,0.02,,0.02,0.02,0.05,,0.08,,0.11,0.11,0.075,,0.04,0.04,0.065,,0.09,0.09,0.08,0.08,,,,
"ID",,,,,22.5,22.5,20.7933333333,,19.0866666667,,17.38,17.38,17.5033333333,,17.6266666667,,17.75,17.75,16.025,,14.3,14.3,13.04,13.04,,,,
"IE",0.67,0.67,0.685,,0.7,,0.715,,0.73,,0.745,,0.76,,0.775,,0.79,,0.805,,0.82,0.82,,,,,,
"IL",,,1.84,1.84,1.6975,,1.555,,1.4125,,1.27,1.27,0.9,,0.53,0.53,0.4733333333,,0.4166666667,,0.36,0.36,,,,,,
"IN",,,,,,,,,,,29.49,29.49,28.486,,27.482,,26.478,,25.474,,24.47,24.47,21.74645894,,19.02291788,19.02291788,,
"IQ",,,,,,,,,,,,,,,4.69,4.69,4.69,,4.69,,4.69,,4.69,,4.69,4.69,,
"IR",,,,,,,,,,,1.8,1.8,,,,,,,,,,,,,,,,
"IS",,,,,,,,,0.59,0.59,0.5033333333,,0.4166666667,,0.33,0.33,,,,,,,,,,,,
"IT",1.19,1.19,1.115,,1.04,,0.965,,0.89,0.89,0.9375,,0.985,,1.0325,,1.08,1.08,1.205,,1.33,1.33,,,,,,
"JM",,,34.53,34.53,1.51,1.51,1.215,,0.92,0.92,,,,,,,,,,,,,,,,,,
"JO",,,,,,,2.12,2.12,1.5666666667,,1.0133333333,,0.46,0.46,0.35,,0.24,0.24,0.2,,0.16,0.16,,,,,,
"JP",,,,,,,,,,,,,,,,,0.18,0.18,,,,,,,,,,
"KE",,,,,,,,,,,31.76,31.76,,,,,,,,,,,,,,,,
