"district_id","2013","2014","2015","2016"
"d314",,81,82,90
"d301",,91,91,97
"d322",92.63,98,95,91
"d323",,85,82,91
"d315",,94,97,97
"d324",97.18,100,100,89
"d216",,82,84,84
"d316",,86,93,93
"d302",73.23,87,86,86
"d303",,60,100,77
"d217",87.06,88,89,87
"d218",,90,90,93
"d201",84.36,95,93,96
"d420",60.67,65,65,89
"d117",88.55,89,89,76
"d219",,96,96,96
"d118",54.39,69,69,67
"d220",85.37,97,95,100
"d225",71.97,76,77,83
"d416",,98,99,98
"d401",,86,66,69
"d402",93.69,98,96,97
"d202",81.8,83,82,84
"d221",,82,85,85
"d119",82.75,88,87,86
"d120",93.94,100,89,91
"d226",59.02,61,61,90
"d317",81.2,82,91,91
"d121",,77,78,49
"d304",,74,78,77
"d403",60.02,87,79,88
"d417",70.68,78,83,83
"d203",,88,87,83
"d418",56.63,74,96,88
"d204",77.09,78,76,86
"d318",,92,93,97
"d404",70.89,71,79,69
"d405",,75,68,68
"d213",87.05,90,88,96
"d101",,75,59,88
"d222",,87,87,89
"d122",54.96,80,57,64
"d102",,,,
"d205",,80,69,87
"d413",,85,94,97
"d414",77.12,77,87,71
"d206",62.26,68,94,95
"d406",,82,99,100
"d207",,84,90,82
"d112",65.87,68,65,81
"d407",,72,75,77
"d103",63.89,69,76,89
"d227",77.36,88,88,91
"d419",83.33,87,94,94
"d421",64.39,69,67,66
"d408",,85,91,95
"d305",94.85,95,94,94
"d319",,67,76,72
"d325",98.86,99,97,96
"d306",,95,92,95
"d208",,93,90,67
"d228",81.67,90,98,93
"d123",63.87,74,78,79
"d422",68.21,69,79,90
"d415",,89,78,71
"d326",72.37,95,96,97
"d307",,94,88,86
"d229",67.1,71,74,78
"d104",,73,75,74
"d124",85.59,94,80,77
"d114",52.63,86,57,54
"d223",,83,89,91
"d320",,96,97,97
"d105",,87,88,54
"d409",,76,80,82
"d214",82.94,99,90,76
"d209",77.68,80,80,83
"d410",87.35,88,92,95
"d423",84.99,88,80,79
"d115",,90,98,90
"d308",,79,100,92
"d309",81.65,86,90,92
"d106",83.26,88,71,74
"d107",,73,53,59
"d108",89.17,91,89,81
"d311",,89,90,96
"d116",,87,81,91
"d109",90.82,94,93,91
"d230",85.95,88,90,96
"d224",90.69,96,96,78
"d327",68.63,82,99,95
"d310",88.83,90,91,94
"d231",94.47,95,92,92
"d424",69.57,87,100,95
"d411",,81,85,81
"d328",,88,74,70
"d329",,82,90,98
"d321",,79,95,95
"d312",80.1,98,99,96
"d210",,73,74,87
"d110",63.01,65,89,59
"d425",96.72,99,97,92
"d412",84.99,88,80,90
"d111",,51,62,61
"d232",98.33,99,89,97
"d426",94.83,94,96,94
"d215",81.34,92,95,88
"d211",73.35,75,78,84
"d212",64.84,68,79,79
"d113",79.86,80,58,58
"d313",96.51,87,87,87
"d330",,82,96,86
