"id","value.2000","value.2001","value.2002","value.2003","value.2004","value.2005","value.2006","value.2007","value.2008","value.2009","value.2010","value.2011","value.2012","value.2013"
"AW",,,,,,,,,,,,,,
"AD",3.9,3.7,3.5,3.3,3.2,3.1,2.9,2.7,2.6,2.5,2.4,2.4,2.3,2.2
"AF",94.5,92.7,90.6,88.4,86.2,84,82,80.1,78.5,76.9,75.3,73.6,72,70.2
"AO",128.3,127,125.7,124.5,123,121.5,119.6,117.4,114.9,112.4,109.6,107,104.3,101.6
"AL",23.2,22.1,21,20,19.1,18.2,17.4,16.7,16,15.4,14.8,14.2,13.8,13.3
"AE",9.6,9.3,9.1,8.9,8.6,8.4,8.2,8,7.9,7.7,7.6,7.4,7.2,7
"AR",18,17.6,17.1,16.6,16,15.3,14.7,14.2,13.7,13.4,13,12.7,12.3,11.9
"AM",26.6,25.3,24.1,23,21.9,20.8,19.8,18.9,17.9,17,16.2,15.4,14.6,14
"AS",,,,,,,,,,,,,,
"AG",13.8,13.1,12.4,11.8,11.2,10.6,10.1,9.6,9.2,8.8,8.6,8.2,8,7.7
"AU",5.1,5,5,4.9,4.9,4.8,4.7,4.5,4.4,4.2,4,3.8,3.5,3.4
"AT",4.6,4.5,4.4,4.3,4.1,4,4,3.8,3.8,3.7,3.6,3.4,3.3,3.2
"AZ",60.7,56.9,53.2,49.8,46.7,43.9,41.5,39.3,37.2,35.4,33.8,32.4,31.1,29.9
"BI",91.6,88.7,85.5,82.2,78.9,75.3,71.9,68.9,65.9,63.2,60.9,58.7,56.6,54.8
"BE",4.8,4.6,4.4,4.3,4.2,4.1,4,3.9,3.8,3.7,3.6,3.6,3.6,3.5
"BJ",90,87.7,85,81.8,78.3,74.9,71.7,68.8,66.3,64.1,62.1,60,58,56.2
"BF",96.2,95,93.5,91.4,89,86,82.8,79.4,76,72.8,70,67.7,65.7,64.1
"BD",64.4,61.5,58.7,56,53.4,50.9,48.4,45.9,43.4,41.1,38.9,36.8,34.9,33.2
"BG",17.9,17.1,16.3,15.5,14.6,13.6,12.9,12.3,11.8,11.5,11.3,10.9,10.5,10.1
"BH",10.9,10.5,10.2,10,9.7,9.4,9,8.5,7.9,7.3,6.7,6.1,5.6,5.2
"BS",13,12.8,12.8,12.7,12.6,12.5,12.3,12.1,11.8,11.6,11.2,11,10.7,10.4
"BA",8.1,7.5,7.3,7.2,7.2,7.2,7.2,7.2,7.1,6.8,6.5,6.3,6,5.7
"BY",11.4,10.2,9.3,8.5,8,7.3,6.8,6.1,5.6,5.1,4.7,4.3,4,3.7
"BZ",21.2,20.6,20,19.4,18.9,18.4,17.8,17.3,16.7,16.2,15.7,15.2,14.8,14.3
"BM",,,,,,,,,,,,,,
"BO",57,54.2,51.5,48.8,46.4,44,41.7,39.7,37.8,36.2,34.7,33.4,32.2,31.2
"BR",28.9,26.9,25.1,23.5,21.9,20.4,19.1,17.8,16.6,15.6,14.6,13.7,12.9,12.3
"BB",14.9,15,15.1,15.1,14.8,14.7,14.4,14.1,13.9,13.8,13.6,13.6,13.5,13.3
"BN",7.7,7.5,7.6,7.5,7.5,7.4,7.4,7.5,7.5,7.6,7.8,7.9,8.2,8.4
"BT",58.9,56,53.2,50.5,47.9,45.3,42.9,40.5,38.3,36.2,34.2,32.5,31,29.7
"BW",54.4,54,53.5,51,45.9,43.3,42.8,43,42.9,41.3,39.9,39.1,37.1,36.3
"CF",113.3,113,112.7,112,111.4,110.5,109.3,108.1,106.6,104.7,102.7,100.1,97.9,96.1
"CA",5.2,5.3,5.3,5.2,5.2,5.3,5.2,5.1,5,5,4.9,4.7,4.7,4.6
"CH",4.6,4.7,4.6,4.4,4.4,4.3,4.2,4.1,4,3.9,3.8,3.8,3.7,3.6
