"di_id","entity_name","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","1968","1969","1966","1967"
"AU","Australia",348210000,1257280000,221990000,-282910000,-141280000,7570000,90710000,262200000,34030000,239630000,67360000,-112670000,282960000,-123760000,579870000,394060000,187090000,198280000,159940000,301460000,99390000,62080000,516800000,317260000,303880000,330660000,350260000,161260000,102910000,1171690000,1007620000,-58050000,-69720000,-13190000,-109090000,52590000,392410000,190480000,-248630000,396600000,229630000,192020000,389510000,3791300000,120660000,495240000,377900000,,,,
"AT","Austria",460380000,168690000,104400000,234920000,348430000,357130000,1161240000,1250370000,875170000,235660000,33630000,109080000,-409680000,-196360000,-443250000,-351820000,-216020000,21260000,-102560000,-308770000,100510000,203940000,347510000,309030000,521520000,313100000,1076530000,1145200000,313760000,888020000,336210000,-209030000,390920000,128450000,-375320000,445710000,-15820000,2659170000,1685320000,-540100000,-659850000,-408590000,-387950000,169760000,107240000,-1090000,70050000,57480000,396460000,,
"BE","Belgium",755800000,470140000,449940000,676010000,833390000,1190230000,1881570000,1566690000,2071710000,910530000,1490840000,1806040000,258750000,932230000,291070000,437420000,-964290000,153220000,204140000,871330000,67070000,214190000,592500000,514750000,351020000,-116100000,-38500000,-443990000,-503900000,-309400000,687960000,235570000,-537880000,-965280000,-710610000,-520250000,-463010000,33610000,52770000,205740000,-249140000,-5910000,348930000,737590000,122710000,188800000,485380000,911250000,671720000,,
"CA","Canada",756740000,664140000,450300000,221510000,878730000,499920000,926320000,1116630000,1072360000,1001880000,1524600000,702750000,869930000,457850000,316280000,-325590000,-364880000,578220000,201710000,481720000,978880000,708200000,777360000,731220000,827790000,331510000,716320000,1634780000,3261100000,1007830000,-14360000,-220300000,-718640000,-478460000,-962280000,276710000,1303850000,1288540000,1693430000,-4365820000,-412630000,-3260400000,401950000,814480000,456200000,540900000,347870000,166540000,156330000,,
"CZ","Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57980000,51960000,-37100000,,,,
"DK","Denmark",1.41e+08,354670000,41350000,234150000,30900000,119240000,806980000,585420000,508030000,520020000,493650000,1.173e+09,602090000,1814260000,192780000,103220000,-594520000,-207320000,-388520000,-311130000,-383640000,-199670000,187840000,-114730000,-127520000,97440000,-17160000,-10770000,6410000,97630000,-4190000,-6370000,-4880000,50310000,22450000,-8710000,-79730000,-107380000,-65500000,5510000,-29800000,7260000,4760000,6800000,550190000,375140000,279030000,412900000,822980000,,
"FI","Finland",107800000,94050000,120130000,48590000,116100000,139790000,46800000,65290000,195220000,105750000,92490000,102550000,60490000,41750000,-90430000,-14360000,83050000,146010000,53290000,,58880000,68570000,252370000,101900000,266800000,238300000,359820000,465810000,130410000,3.3e+08,1065490000,574840000,76430000,-356540000,103780000,,,93090000,19850000,123400000,40860000,961310000,10270000,-26940000,9430000,21130000,48460000,,,,
"FR","France",2030020000,1568340000,1446740000,1499900000,1470090000,2335680000,5027450000,5285420000,5595090000,3924510000,5593710000,7007140000,8588980000,8159990000,8322520000,7000370000,2787830000,989450000,-1563110000,-237210000,146570000,-1029800000,-209480000,-2111520000,1403450000,983330000,921020000,-1096500000,-802310000,-873600000,21080000,366300000,-1147120000,532700000,-247250000,-2333890000,-2795760000,-2653380000,-793250000,71310000,6852220000,-78910000,-467520000,570250000,572960000,393330000,122380000,127370000,2330440000,,
"DE","Germany",1749350000,3247200000,276260000,-352540000,2198420000,3.225e+09,2767690000,657620000,2409200000,2098020000,3985320000,3759600000,1773870000,1382570000,3971840000,3158140000,3233280000,2769660000,2757080000,2806720000,4849290000,4733270000,3012400000,4647050000,7780040000,4406350000,2354480000,1620380000,2420610000,1424690000,1505200000,-166530000,5606560000,-3832520000,-106040000,7154120000,-5822890000,1113620000,2810040000,1346590000,3470910000,8780590000,5705540000,4676210000,-6350000,3223490000,2992650000,307800000,1979970000,640610000,363050000
