"di_id","entity_name","year","value"
"AU","Australia",1970,348210000
"AU","Australia",1971,1257280000
"AU","Australia",1972,221990000
"AU","Australia",1973,-282910000
"AU","Australia",1974,-141280000
"AU","Australia",1975,7570000
"AU","Australia",1976,90710000
"AU","Australia",1977,262200000
"AU","Australia",1978,34030000
"AU","Australia",1979,239630000
"AU","Australia",1980,67360000
"AU","Australia",1981,-112670000
"AU","Australia",1982,282960000
"AU","Australia",1983,-123760000
"AU","Australia",1984,579870000
"AU","Australia",1985,394060000
"AU","Australia",1986,187090000
"AU","Australia",1987,198280000
"AU","Australia",1988,159940000
"AU","Australia",1989,301460000
"AU","Australia",1990,99390000
"AU","Australia",1991,62080000
"AU","Australia",1992,516800000
"AU","Australia",1993,317260000
"AU","Australia",1994,303880000
"AU","Australia",1995,330660000
"AU","Australia",1996,350260000
"AU","Australia",1997,161260000
"AU","Australia",1998,102910000
"AU","Australia",1999,1171690000
"AU","Australia",2000,1007620000
"AU","Australia",2001,-58050000
"AU","Australia",2002,-69720000
"AU","Australia",2003,-13190000
"AU","Australia",2004,-109090000
"AU","Australia",2005,52590000
"AU","Australia",2006,392410000
"AU","Australia",2007,190480000
"AU","Australia",2008,-248630000
"AU","Australia",2009,396600000
"AU","Australia",2010,229630000
"AU","Australia",2011,192020000
"AU","Australia",2012,389510000
"AU","Australia",2013,3791300000
"AU","Australia",2014,120660000
"AU","Australia",2015,495240000
"AU","Australia",2016,377900000
"AT","Austria",1968,57480000
"AT","Austria",1969,396460000
"AT","Austria",1970,460380000
"AT","Austria",1971,168690000
"AT","Austria",1972,104400000
"AT","Austria",1973,234920000
"AT","Austria",1974,348430000
"AT","Austria",1975,357130000
"AT","Austria",1976,1161240000
"AT","Austria",1977,1250370000
"AT","Austria",1978,875170000
"AT","Austria",1979,235660000
"AT","Austria",1980,33630000
"AT","Austria",1981,109080000
"AT","Austria",1982,-409680000
"AT","Austria",1983,-196360000
"AT","Austria",1984,-443250000
"AT","Austria",1985,-351820000
"AT","Austria",1986,-216020000
"AT","Austria",1987,21260000
"AT","Austria",1988,-102560000
"AT","Austria",1989,-308770000
"AT","Austria",1990,100510000
"AT","Austria",1991,203940000
"AT","Austria",1992,347510000
"AT","Austria",1993,309030000
"AT","Austria",1994,521520000
"AT","Austria",1995,313100000
"AT","Austria",1996,1076530000
"AT","Austria",1997,1145200000
"AT","Austria",1998,313760000
"AT","Austria",1999,888020000
"AT","Austria",2000,336210000
"AT","Austria",2001,-209030000
"AT","Austria",2002,390920000
"AT","Austria",2003,128450000
"AT","Austria",2004,-375320000
"AT","Austria",2005,445710000
"AT","Austria",2006,-15820000
"AT","Austria",2007,2659170000
"AT","Austria",2008,1685320000
"AT","Austria",2009,-540100000
"AT","Austria",2010,-659850000
"AT","Austria",2011,-408590000
"AT","Austria",2012,-387950000
"AT","Austria",2013,169760000
"AT","Austria",2014,107240000
"AT","Austria",2015,-1090000
"AT","Austria",2016,70050000
"BE","Belgium",1968,911250000
"BE","Belgium",1969,671720000
"BE","Belgium",1970,755800000
"BE","Belgium",1971,470140000
"BE","Belgium",1972,449940000
"BE","Belgium",1973,676010000
"BE","Belgium",1974,833390000
"BE","Belgium",1975,1190230000
"BE","Belgium",1976,1881570000
"BE","Belgium",1977,1566690000
"BE","Belgium",1978,2071710000
"BE","Belgium",1979,910530000
"BE","Belgium",1980,1490840000
"BE","Belgium",1981,1806040000
"BE","Belgium",1982,258750000
"BE","Belgium",1983,932230000
"BE","Belgium",1984,291070000
"BE","Belgium",1985,437420000
"BE","Belgium",1986,-964290000
"BE","Belgium",1987,153220000
"BE","Belgium",1988,204140000
"BE","Belgium",1989,871330000
"BE","Belgium",1990,67070000
"BE","Belgium",1991,214190000
"BE","Belgium",1992,592500000
"BE","Belgium",1993,514750000
"BE","Belgium",1994,351020000
"BE","Belgium",1995,-116100000
"BE","Belgium",1996,-38500000
"BE","Belgium",1997,-443990000
"BE","Belgium",1998,-503900000
"BE","Belgium",1999,-309400000
"BE","Belgium",2000,687960000
"BE","Belgium",2001,235570000
"BE","Belgium",2002,-537880000
"BE","Belgium",2003,-965280000
"BE","Belgium",2004,-710610000
"BE","Belgium",2005,-520250000
"BE","Belgium",2006,-463010000
"BE","Belgium",2007,33610000
"BE","Belgium",2008,52770000
"BE","Belgium",2009,205740000
"BE","Belgium",2010,-249140000
"BE","Belgium",2011,-5910000
"BE","Belgium",2012,348930000
"BE","Belgium",2013,737590000
"BE","Belgium",2014,122710000
"BE","Belgium",2015,188800000
"BE","Belgium",2016,485380000
"CA","Canada",1968,166540000
"CA","Canada",1969,156330000
"CA","Canada",1970,756740000
"CA","Canada",1971,664140000
"CA","Canada",1972,450300000
"CA","Canada",1973,221510000
"CA","Canada",1974,878730000
"CA","Canada",1975,499920000
"CA","Canada",1976,926320000
"CA","Canada",1977,1116630000
"CA","Canada",1978,1072360000
"CA","Canada",1979,1001880000
"CA","Canada",1980,1524600000
"CA","Canada",1981,702750000
"CA","Canada",1982,869930000
"CA","Canada",1983,457850000
"CA","Canada",1984,316280000
"CA","Canada",1985,-325590000
"CA","Canada",1986,-364880000
"CA","Canada",1987,578220000
"CA","Canada",1988,201710000
"CA","Canada",1989,481720000
"CA","Canada",1990,978880000
"CA","Canada",1991,708200000
"CA","Canada",1992,777360000
"CA","Canada",1993,731220000
"CA","Canada",1994,827790000
"CA","Canada",1995,331510000
"CA","Canada",1996,716320000
"CA","Canada",1997,1634780000
"CA","Canada",1998,3261100000
"CA","Canada",1999,1007830000
"CA","Canada",2000,-14360000
"CA","Canada",2001,-220300000
"CA","Canada",2002,-718640000
"CA","Canada",2003,-478460000
"CA","Canada",2004,-962280000
"CA","Canada",2005,276710000
"CA","Canada",2006,1303850000
"CA","Canada",2007,1288540000
"CA","Canada",2008,1693430000
"CA","Canada",2009,-4365820000
"CA","Canada",2010,-412630000
"CA","Canada",2011,-3260400000
"CA","Canada",2012,401950000
"CA","Canada",2013,814480000
"CA","Canada",2014,456200000
"CA","Canada",2015,540900000
"CA","Canada",2016,347870000
"CZ","Czech Republic",2014,57980000
"CZ","Czech Republic",2015,51960000
"CZ","Czech Republic",2016,-37100000
"DK","Denmark",1968,412900000
"DK","Denmark",1969,822980000
"DK","Denmark",1970,1.41e+08
"DK","Denmark",1971,354670000
"DK","Denmark",1972,41350000
"DK","Denmark",1973,234150000
"DK","Denmark",1974,30900000
"DK","Denmark",1975,119240000
"DK","Denmark",1976,806980000
"DK","Denmark",1977,585420000
"DK","Denmark",1978,508030000
"DK","Denmark",1979,520020000
"DK","Denmark",1980,493650000
"DK","Denmark",1981,1.173e+09
"DK","Denmark",1982,602090000
"DK","Denmark",1983,1814260000
"DK","Denmark",1984,192780000
"DK","Denmark",1985,103220000
"DK","Denmark",1986,-594520000
"DK","Denmark",1987,-207320000
"DK","Denmark",1988,-388520000
"DK","Denmark",1989,-311130000
"DK","Denmark",1990,-383640000
"DK","Denmark",1991,-199670000
"DK","Denmark",1992,187840000
"DK","Denmark",1993,-114730000
"DK","Denmark",1994,-127520000
"DK","Denmark",1995,97440000
"DK","Denmark",1996,-17160000
"DK","Denmark",1997,-10770000
"DK","Denmark",1998,6410000
"DK","Denmark",1999,97630000
"DK","Denmark",2000,-4190000
"DK","Denmark",2001,-6370000
"DK","Denmark",2002,-4880000
"DK","Denmark",2003,50310000
"DK","Denmark",2004,22450000
