"di_id","entity_name","colour","detail","source_title","source_link"
"DZ","Algeria","green","2008","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"AO","Angola","green","2014","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"BJ","Benin","green","2013","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"BW","Botswana","green","2011","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"BF","Burkina Faso","green","2006","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"BI","Burundi","green","2008","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"CM","Cameroon","orange","2005","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"CV","Cape Verde","green","2010","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"CF","CAR","orange","2003","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"TD","Chad","green","2009","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"KM","Comoros","orange","2003","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"CG","Congo","green","2007","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"CI","Côte d'Ivoire","green","2014","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"DJ","Djibouti","green","2009","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"CD","DRC","red","1981","News report","http://aceproject.org/today/feature-articles/post-transitional-elections-in-the-democratic-republic-of-congo"
"EG","Egypt","green","2006","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"GQ","Equatorial Guinea","orange","2002","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"ER","Eritrea","red","None","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"ET","Ethiopia","green","2007","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"GA","Gabon","green","2013","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"GM","Gambia","green","2013","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"GH","Ghana","green","2010","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"GN","Guinea","green","2014","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"GW","Guinea-Bissau","green","2009","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"KE","Kenya","green","2009","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"LS","Lesotho","green","2006","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"LR","Liberia","green","2008","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"LY","Libya","green","2006","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"MG","Madagascar","red","1993","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"MW","Malawi","green","2008","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"ML","Mali","green","2009","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"MR","Mauritania","green","2013","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"MU","Mauritius","green","2011","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"MA","Morocco","green","2014","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"MZ","Mozambique","green","2007","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"NA","Namibia","green","2011","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"NE","Niger","green","2012","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"NG","Nigeria","green","2006","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"RW","Rwanda","green","2012","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"ST","Sao Tome & Principe","green","2012","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"SN","Senegal","green","2013","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"SC","Seychelles","green","2010","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"SL","Sierra Leone","orange","2004","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"SO","Somalia","red","1987","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"ZA","South Africa","green","2011","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"SS","South Sudan","green","2008","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"SD","Sudan","green","2008","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"SZ","Swaziland","green","2007","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"TZ","Tanzania","green","2012","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"TG","Togo","green","2010","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"TN","Tunisia","green","2014","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
