"id","value.2000","value.2001","value.2002","value.2003","value.2004","value.2005","value.2006","value.2007","value.2008","value.2009","value.2010","value.2011","value.2012","value.2013"
"AW",,,,,,,,,,,,,,
"AD",4.6,4.4,4.3,4.1,4,3.9,3.7,3.6,3.5,3.4,3.3,3.2,3.1,3
"AF",135.6,132.7,129.4,125.9,122.4,119,115.8,112.9,110.2,107.7,105.2,102.6,100,97.3
"AO",216.7,214.5,212.1,209.8,207.1,204.5,200.9,196.8,192.3,187.7,182.4,177.5,172.6,167.4
"AL",26.1,24.8,23.6,22.5,21.4,20.4,19.5,18.7,17.9,17.2,16.5,15.9,15.4,14.9
"AE",11.2,10.9,10.6,10.3,10,9.8,9.6,9.4,9.2,9,8.8,8.7,8.5,8.2
"AR",20.2,19.7,19.2,18.6,17.9,17.1,16.4,15.8,15.4,15,14.6,14.2,13.7,13.3
"AM",30.1,28.6,27.2,25.9,24.6,23.4,22.2,21.1,20.1,19.1,18.1,17.2,16.4,15.6
"AS",,,,,,,,,,,,,,
"AG",15.4,14.7,14.1,13.5,12.9,12.4,11.9,11.4,11,10.6,10.3,9.9,9.6,9.3
"AU",6.2,6.1,6,5.9,5.9,5.7,5.6,5.4,5.2,5,4.8,4.5,4.2,4
"AT",5.5,5.4,5.3,5.2,5,4.9,4.8,4.6,4.6,4.5,4.4,4.2,4,3.9
"AZ",74.1,68.9,63.9,59.3,55.2,51.7,48.5,45.7,43.2,40.9,38.9,37.2,35.6,34.2
"BI",148.9,143.5,137.8,131.8,125.6,119.3,113.2,107.9,102.4,97.7,93.6,89.7,86.1,82.9
"BE",5.8,5.6,5.4,5.2,5.1,5,4.9,4.8,4.7,4.6,4.5,4.5,4.4,4.4
"BJ",146,141.7,136.7,130.9,124.6,118.5,112.7,107.6,103.2,99.3,95.7,92.1,88.6,85.3
"BF",185.8,182.6,178.5,173.1,166.4,158.5,149.7,140.4,131.1,122.2,114.4,107.8,102.4,97.6
"BD",88.1,83.6,79.2,75,70.9,66.9,63,59.3,55.7,52.3,49.1,46.1,43.4,41.1
"BG",21.1,20.1,19.1,18.1,17,15.9,15,14.3,13.7,13.3,13,12.6,12.1,11.6
"BH",12.7,12.2,11.9,11.6,11.3,10.9,10.4,9.9,9.2,8.5,7.8,7.2,6.6,6.1
"BS",15.8,15.6,15.6,15.5,15.4,15.3,15.1,14.9,14.6,14.3,13.9,13.6,13.3,12.9
"BA",9.2,8.6,8.3,8.2,8.2,8.2,8.2,8.2,8.1,7.8,7.5,7.2,6.9,6.6
"BY",14.4,13,11.8,10.9,10.2,9.4,8.7,7.9,7.2,6.6,6.1,5.6,5.2,4.9
"BZ",25.1,24.3,23.5,22.8,22.2,21.5,20.9,20.2,19.6,18.9,18.3,17.7,17.2,16.7
"BM",,,,,,,,,,,,,,
"BO",77.4,73.1,68.8,64.8,61.1,57.5,54.2,51.1,48.4,46.1,44,42.2,40.6,39.1
"BR",32.9,30.6,28.4,26.4,24.6,22.9,21.4,20,18.6,17.4,16.3,15.3,14.5,13.7
"BB",16.4,16.5,16.6,16.5,16.2,16,15.7,15.4,15.1,15,14.8,14.7,14.6,14.4
"BN",9.5,9.3,9.3,9.2,9.1,9,9,9,9,9.1,9.3,9.4,9.7,9.9
"BT",79.4,74.9,70.6,66.3,62.4,58.5,54.9,51.5,48.2,45.2,42.5,40.1,38,36.2
"BW",85.1,86.1,85.5,81.5,72.1,63.5,59.2,58.2,57.6,55.4,52.4,50.7,47.8,46.6
"CF",174.1,173.5,172.8,171.7,170.5,168.9,166.7,164.1,160.8,156.9,152.6,147.6,142.7,139.2
"CA",6.2,6.2,6.2,6.1,6.1,6.1,6,5.9,5.8,5.7,5.6,5.4,5.3,5.2
"CH",5.6,5.6,5.5,5.3,5.2,5.1,5,4.8,4.7,4.6,4.5,4.4,4.3,4.2
"CL",10.9,10.3,9.8,9.5,9.3,9.1,9,8.9,8.9,8.8,8.7,8.6,8.4,8.2
"CN",36.9,34.3,31.6,28.9,26.3,23.9,21.8,20,18.4,17.1,15.8,14.7,13.6,12.7
"CI",146.1,143.4,140.3,136.9,133.2,129.3,125.4,121.4,117,113.1,109.3,106.2,103,100
"CM",151.2,146.6,141.2,135.7,130.6,125.8,121.3,117.1,112.9,108.9,104.4,100.8,97.3,94.5
"CG",121.4,119.4,115.4,109.7,102.6,94.9,87.1,79.5,72.3,65.7,60.1,55.7,52,49.1
"CO",25.1,24.3,23.6,22.9,22.3,21.6,21,20.4,19.8,19.2,18.6,18,17.4,16.9
"KM",101.3,100.8,100.7,100.2,99.1,97.4,95.4,93.1,90.8,88.2,85.5,82.8,80.2,77.9
"CV",35.3,32,29.7,28.4,27.8,27.7,27.9,28.2,28.3,28.2,27.8,27.3,26.7,26
"CR",13.1,12.3,11.6,10.9,10.6,10.4,10.4,10.4,10.2,10.1,10,10,9.8,9.6
"CU",8.4,8,7.7,7.4,7.1,6.8,6.5,6.3,6.3,6.5,6.8,6.9,6.6,6.2
"CW",,,,,,,,,,,,,,
"KY",,,,,,,,,,,,,,
"CY",6.5,6.1,5.7,5.4,5.1,4.8,4.6,4.3,4.2,4,3.9,3.8,3.7,3.6
"CZ",6.6,6.2,6,5.7,5.5,5.2,5,4.7,4.5,4.3,4.1,3.9,3.8,3.6
"DE",5.4,5.2,5.1,5,4.9,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4,3.9
"DJ",100.7,98.4,96,93.5,90.9,88.2,85.7,83.2,80.7,78.3,76.1,73.8,71.7,69.6
"DM",15.8,15.5,15.1,14.8,14.5,14.1,13.8,13.5,13.1,12.8,12.4,12.1,11.7,11.4
"DK",5.6,5.5,5.4,5.3,5.1,4.9,4.7,4.5,4.3,4.2,4,3.8,3.7,3.5
"DO",41.1,39.9,38.7,37.5,36.5,35.4,34.5,33.5,32.6,31.6,30.7,29.9,29,28.1
"DZ",39.6,38.8,37.8,36.5,35.1,33.6,32.1,30.7,29.5,28.4,27.4,26.6,25.8,25.2
"EC",34.3,32.9,31.7,30.6,29.7,28.8,27.9,27.1,26.3,25.5,24.7,23.9,23.1,22.5
"EG",44.8,41.6,38.5,35.7,33,30.7,28.6,26.8,25.4,24.3,23.5,22.8,22.3,21.8
"ER",89.3,84.9,80.7,76.9,73.3,69.8,66.6,63.5,60.6,58,55.6,53.6,51.6,49.9
"ES",6.5,6.3,6.2,6.1,5.9,5.7,5.5,5.2,5,4.8,4.6,4.4,4.3,4.2
"EE",11,10.2,9.4,8.6,7.9,7.3,6.6,6.1,5.5,5,4.5,4.1,3.7,3.4
"ET",145.5,139.6,132.8,125.4,117.6,109.5,101.5,94,87,80.8,75.6,71.3,67.6,64.4
"FI",4.3,4.2,4.1,4,3.9,3.8,3.6,3.5,3.3,3.2,3,2.9,2.7,2.6
"FJ",24.4,24,23.6,23.3,23.1,23,23.1,23.2,23.4,23.6,23.7,23.8,23.8,23.6
"FR",5.4,5.3,5.1,4.9,4.7,4.6,4.5,4.4,4.3,4.3,4.2,4.2,4.2,4.2
"FO",,,,,,,,,,,,,,
"FM",53.1,52,50.7,49.5,48,46.7,45.4,44.1,42.8,41.4,40.2,38.9,37.6,36.4
"GA",84.6,83.4,82,80.3,78.4,76.4,74.2,71.7,68.7,66.1,63.5,60.6,57.8,56.1
"GB",6.6,6.5,6.3,6.3,6.1,6,5.9,5.8,5.6,5.4,5.2,5,4.8,4.6
"GE",35.7,33.5,31.2,28.9,26.7,24.6,22.6,20.8,19.2,17.7,16.4,15.1,14,13.1
"GH",101.3,98,94.9,92.2,90.1,88.3,87,86,85.2,84.2,83.2,81.7,80.2,78.4
"GN",170.2,162.9,155.8,149,142.8,136.9,131.4,126.2,121.3,116.7,112.2,108.1,104.4,100.7
"GM",119,114.6,110.3,106.2,102.2,98.4,94.6,91.1,87.8,84.6,81.7,79,76.4,73.8
"GW",180.8,176.2,171.4,166.6,161.9,157.1,152.8,148.5,144.2,140,135.9,131.7,127.9,123.9
"GQ",142.4,138.6,135,131,127.3,123.4,119.8,116.1,112.8,109.1,105.6,102.3,99,95.8
"GR",7.8,7.3,6.8,6.3,5.9,5.5,5.2,5,4.9,4.8,4.7,4.6,4.5,4.4
"GD",15.9,15.5,15.2,14.9,14.6,14.4,14.1,13.8,13.5,13.2,12.8,12.5,12.2,11.8
"GL",,,,,,,,,,,,,,
"GT",50.7,48.7,46.7,44.9,43.1,41.4,39.8,38.2,36.9,35.7,34.5,33.2,32.1,31
"GU",,,,,,,,,,,,,,
"GY",48.7,47.7,46.8,45.9,45.1,44.4,43.6,42.8,41.9,40.8,39.8,38.7,37.6,36.6
"HK",,,,,,,,,,,,,,
"HN",38.2,36.6,35,33.4,32,30.7,29.4,28.2,27,25.9,24.9,23.9,23,22.2
"HR",8.3,8,7.7,7.4,7.1,6.8,6.5,6.2,5.9,5.6,5.3,5,4.7,4.5
"HT",104.4,101,97.8,94.9,92.2,89.7,87.4,85.2,83.1,81,174.4,77,75,72.8
"HU",11.2,10.5,9.9,9.3,8.7,8.3,7.9,7.5,7.2,6.9,6.6,6.4,6.2,6.1
