id-from,parent,id-to,rank,year,total-value,sector,sector-value
asdb-special-funds,Asian Development Bank,TJ,10,2014,85261072.17,industry-and-trade,250002.06
asdb-special-funds,Asian Development Bank,TJ,10,2014,85261072.17,water-and-sanitation,244217.99
asdb-special-funds,Asian Development Bank,TJ,10,2014,85261072.17,environment,214864.58
asdb-special-funds,Asian Development Bank,TJ,10,2014,85261072.17,governance-and-security,103823.16
asdb-special-funds,Asian Development Bank,TJ,10,2014,85261072.17,other-social-services,25855.39
asdb-special-funds,Asian Development Bank,TJ,10,2014,85261072.17,banking-and-business,2190639.56
asdb-special-funds,Asian Development Bank,UZ,9,2014,95476496.77,agriculture-and-food-security,4814967.02
asdb-special-funds,Asian Development Bank,UZ,9,2014,95476496.77,water-and-sanitation,74073623.07
asdb-special-funds,Asian Development Bank,UZ,9,2014,95476496.77,infrastructure,14854096.43
asdb-special-funds,Asian Development Bank,UZ,9,2014,95476496.77,other,1440573.08
asdb-special-funds,Asian Development Bank,UZ,9,2014,95476496.77,banking-and-business,163125.48
asdb-special-funds,Asian Development Bank,UZ,9,2014,95476496.77,other-social-services,76387.38
asdb-special-funds,Asian Development Bank,UZ,9,2014,95476496.77,industry-and-trade,53724.32
asdb-special-funds,Asian Development Bank,VN,3,2014,444237558.21,infrastructure,154582308.48
asdb-special-funds,Asian Development Bank,VN,3,2014,444237558.21,banking-and-business,81094396.24
asdb-special-funds,Asian Development Bank,VN,3,2014,444237558.21,water-and-sanitation,55261994.48
asdb-special-funds,Asian Development Bank,VN,3,2014,444237558.21,agriculture-and-food-security,42222389.63
asdb-special-funds,Asian Development Bank,VN,3,2014,444237558.21,environment,1897681.93
asdb-special-funds,Asian Development Bank,VN,3,2014,444237558.21,health,33406383.06
asdb-special-funds,Asian Development Bank,VN,3,2014,444237558.21,education,32775388.12
asdb-special-funds,Asian Development Bank,VN,3,2014,444237558.21,other,19559217.53
asdb-special-funds,Asian Development Bank,VN,3,2014,444237558.21,other-social-services,18345165.96
asdb-special-funds,Asian Development Bank,VN,3,2014,444237558.21,industry-and-trade,2930751.46
asdb-special-funds,Asian Development Bank,VN,3,2014,444237558.21,governance-and-security,2161881.29
badea,Arab Bank for Economic Development in Africa,BJ,4,2014,7682434.13,governance-and-security,4450403.31
