channel-code,channel-name,parent,aid-to-or-through,year,value
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),International Atomic Energy Agency,Core contributions to,2014,67758246.46
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),International Atomic Energy Agency,Earmarked contributions through,2014,3335453.40
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,Earmarked contributions through,2014,113089995.25
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,Core contributions to,2014,270283740.33
41110,Joint United Nations Programme on HIV/AIDS,The Joint United Nations Programme on HIV/AIDS,Core contributions to,2014,223883463.90
41110,Joint United Nations Programme on HIV/AIDS,The Joint United Nations Programme on HIV/AIDS,Earmarked contributions through,2014,12541884.04
41114,United Nations Development Programme,United Nations Development Programme,Core contributions to,2014,779992229.47
41114,United Nations Development Programme,United Nations Development Programme,Earmarked contributions through,2014,1871445849.46
41119,United Nations Population Fund,United Nations Population Fund,Core contributions to,2014,499237843.24
41119,United Nations Population Fund,United Nations Population Fund,Earmarked contributions through,2014,570107113.24
41121,United Nations Office of the United Nations High Commissioner for Refugees,United Nations High Commissioner for Refugees,Earmarked contributions through,2014,2249041641.10
41121,United Nations Office of the United Nations High Commissioner for Refugees,United Nations High Commissioner for Refugees,Core contributions to,2014,441045482.77
41122,United Nations Children's Fund,United Nations Children's Fund,Earmarked contributions through,2014,2099376732.87
41122,United Nations Children's Fund,United Nations Children's Fund,Core contributions to,2014,687401934.44
41130,United Nations Relief and Works Agency for Palestine Refugees in the Near East,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Earmarked contributions through,2014,760984196.04
41130,United Nations Relief and Works Agency for Palestine Refugees in the Near East,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Core contributions to,2014,229861177.05
41140,World Food Programme,World Food Programme,Earmarked contributions through,2014,3767519829.46
41140,World Food Programme,World Food Programme,Core contributions to,2014,414165082.41
41141,United Nations Peacebuilding Fund (Window Two:  Restricted Contributions Only),UN Peacebuilding Fund,Earmarked contributions through,2014,2465624.84
41141,United Nations Peacebuilding Fund (Window Two:  Restricted Contributions Only),UN Peacebuilding Fund,Core contributions to,2014,13424189.26
41143,World Health Organisation - core voluntary contributions account,World Health Organisation,Earmarked contributions through,2014,379355423.31
41143,World Health Organisation - core voluntary contributions account,World Health Organisation,Core contributions to,2014,133737551.71
41144,International Labour Organisation - Regular Budget Supplementary Account,International Labour Organisation,Earmarked contributions through,2014,356138089.49
41144,International Labour Organisation - Regular Budget Supplementary Account,International Labour Organisation,Core contributions to,2014,35717428.63
41301,Food and Agricultural Organisation,Food and Agriculture Organisation,Earmarked contributions through,2014,468536282.51
41301,Food and Agricultural Organisation,Food and Agriculture Organisation,Core contributions to,2014,214145121.83
41302,International Labour Organisation - Assessed Contributions,International Labour Organisation,Core contributions to,2014,196164950.81
41302,International Labour Organisation - Assessed Contributions,International Labour Organisation,Earmarked contributions through,2014,125749515.32
41307,World Health Organisation - assessed contributions,World Health Organisation,Earmarked contributions through,2014,256337548.52
41307,World Health Organisation - assessed contributions,World Health Organisation,Core contributions to,2014,327924478.74
41311,United Nations Peacebuilding Fund (Window One:  Flexible Contributions Only),UN Peacebuilding Fund,Core contributions to,2014,27751449.73
41312,International Atomic Energy Agency - assessed contributions,International Atomic Energy Agency,Earmarked contributions through,2014,16495.39
41312,International Atomic Energy Agency - assessed contributions,International Atomic Energy Agency,Core contributions to,2014,103209356.59
41314,United Nations Economic Commission for Europe (extrabudgetary contributions only),United Nations Economic Commission for Europe,Earmarked contributions through,2014,8134925.85
41314,United Nations Economic Commission for Europe (extrabudgetary contributions only),United Nations Economic Commission for Europe,Core contributions to,2014,257415.98
42001,European Commission - Development Share of Budget,EU Institutions,Core contributions to,2014,8883590362.11
42001,European Commission - Development Share of Budget,EU Institutions,Earmarked contributions through,2014,25585187.06
42003,European Commission - European Development Fund,EU Institutions,Core contributions to,2014,3907043259.64
42003,European Commission - European Development Fund,EU Institutions,Earmarked contributions through,2014,5179934.20
42004,European Investment Bank,EU Institutions,Core contributions to,2014,13543077.67
42004,European Investment Bank,EU Institutions,Earmarked contributions through,2014,5038931716.68
42999,"European Union Institutions, Other",EU Institutions,Earmarked contributions through,2014,110532879.98
42999,"European Union Institutions, Other",EU Institutions,Core contributions to,2014,36940445.37
43001,International Monetary Fund - Poverty Reduction and Growth Trust,International Monetary Fund,Core contributions to,2014,316568617.18
43001,International Monetary Fund - Poverty Reduction and Growth Trust,International Monetary Fund,Earmarked contributions through,2014,55269621.77
43002,"International Monetary Fund - Poverty Reduction and Growth - Heavily Indebted Poor Countries Debt Relief Initiative Trust Fund [includes HIPC, Extended Credit Facility (ECF), and ECF-HIPC sub-accounts]",International Monetary Fund,Core contributions to,2014,4356322.17
43003,International Monetary Fund - Subsidization of Emergency Post Conflict Assistance/Emergency Assistance for Natural Disasters for PRGT-eligible members,International Monetary Fund,Earmarked contributions through,2014,231094.25
43999,"International Monetary Fund, Other",International Monetary Fund,Earmarked contributions through,2014,264318496.74
43999,"International Monetary Fund, Other",International Monetary Fund,Core contributions to,2014,4604395.34
44001,International Bank for Reconstruction and Development,World Bank Group,Earmarked contributions through,2014,1812052692.83
44001,International Bank for Reconstruction and Development,World Bank Group,Core contributions to,2014,798992043.96
44002,International Development Association,World Bank Group,Core contributions to,2014,8604544907.16
44002,International Development Association,World Bank Group,Earmarked contributions through,2014,170159955.26
44003,International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund,World Bank Group,Earmarked contributions through,2014,25216611.05
44003,International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund,World Bank Group,Core contributions to,2014,36248179.55
44004,International Finance Corporation,World Bank Group,Earmarked contributions through,2014,186752890.45
44004,International Finance Corporation,World Bank Group,Core contributions to,2014,39157351.89
44006,Advance Market Commitments,World Bank Group,Core contributions to,2014,58406716.26
44007,International Development Association - Multilateral Debt Relief Initiative,World Bank Group,Core contributions to,2014,300654422.85
44007,International Development Association - Multilateral Debt Relief Initiative,World Bank Group,Earmarked contributions through,2014,38676224.40
44999,"World Bank Group, Other",World Bank Group,Earmarked contributions through,2014,1848878154.60
44999,"World Bank Group, Other",World Bank Group,Core contributions to,2014,1942302.09
46002,African Development Bank,African Development Bank and Fund,Core contributions to,2014,354549758.92
46002,African Development Bank,African Development Bank and Fund,Earmarked contributions through,2014,468638554.02
46003,African Development Fund,African Development Bank and Fund,Core contributions to,2014,1838097302.84
46003,African Development Fund,African Development Bank and Fund,Earmarked contributions through,2014,13855178.80
46004,Asian Development Bank,Asian Development Bank,Earmarked contributions through,2014,235509714.52
46004,Asian Development Bank,Asian Development Bank,Core contributions to,2014,483717980.09
46005,Asian Development Fund,Asian Development Bank,Core contributions to,2014,1162882921.62
46005,Asian Development Fund,Asian Development Bank,Earmarked contributions through,2014,3212420.48
46009,Caribbean Development Bank,Caribbean Development Bank,Earmarked contributions through,2014,12485378.01
