id,parent,bundle,year,value
adaptation-fund,Adaptation Fund,cash-grant,2014,0
adaptation-fund,Adaptation Fund,cash-loan-equity,2014,0
adaptation-fund,Adaptation Fund,commodities-food,2014,0
adaptation-fund,Adaptation Fund,gpgs-nngos,2014,0
adaptation-fund,Adaptation Fund,mixed-project-aid,2014,13089776
adaptation-fund,Adaptation Fund,non-transfer,2014,0
adaptation-fund,Adaptation Fund,technical-ooperation,2014,0
afdb,African Development Bank and Fund,cash-grant,2014,911079
afdb,African Development Bank and Fund,cash-loan-equity,2014,0
afdb,African Development Bank and Fund,commodities-food,2014,0
afdb,African Development Bank and Fund,gpgs-nngos,2014,0
afdb,African Development Bank and Fund,mixed-project-aid,2014,11962791
afdb,African Development Bank and Fund,non-transfer,2014,123105264
afdb,African Development Bank and Fund,technical-ooperation,2014,167787
afdf,African Development Bank and Fund,cash-grant,2014,709968325
afdf,African Development Bank and Fund,cash-loan-equity,2014,1250683061
afdf,African Development Bank and Fund,commodities-food,2014,0
afdf,African Development Bank and Fund,gpgs-nngos,2014,0
afdf,African Development Bank and Fund,mixed-project-aid,2014,30365097
afdf,African Development Bank and Fund,non-transfer,2014,219135
afdf,African Development Bank and Fund,technical-ooperation,2014,55806
arab-fund-afesd,Arab Fund,cash-grant,2014,15067757
arab-fund-afesd,Arab Fund,cash-loan-equity,2014,849436841
arab-fund-afesd,Arab Fund,commodities-food,2014,0
arab-fund-afesd,Arab Fund,gpgs-nngos,2014,649291
arab-fund-afesd,Arab Fund,mixed-project-aid,2014,11399286
arab-fund-afesd,Arab Fund,non-transfer,2014,0
arab-fund-afesd,Arab Fund,technical-ooperation,2014,0
asdb,Asian Development Bank,cash-grant,2014,0
asdb,Asian Development Bank,cash-loan-equity,2014,0
asdb,Asian Development Bank,commodities-food,2014,0
asdb,Asian Development Bank,gpgs-nngos,2014,0
asdb,Asian Development Bank,mixed-project-aid,2014,0
asdb,Asian Development Bank,non-transfer,2014,0
asdb,Asian Development Bank,technical-ooperation,2014,0
asdb-special-funds,Asian Development Bank,cash-grant,2014,394381779
asdb-special-funds,Asian Development Bank,cash-loan-equity,2014,2204395987
asdb-special-funds,Asian Development Bank,commodities-food,2014,0
asdb-special-funds,Asian Development Bank,gpgs-nngos,2014,0
asdb-special-funds,Asian Development Bank,mixed-project-aid,2014,36254394
asdb-special-funds,Asian Development Bank,non-transfer,2014,6063385
asdb-special-funds,Asian Development Bank,technical-ooperation,2014,130117224
badea,Arab Bank for Economic Development in Africa,cash-grant,2014,0
badea,Arab Bank for Economic Development in Africa,cash-loan-equity,2014,118159139
badea,Arab Bank for Economic Development in Africa,commodities-food,2014,0
badea,Arab Bank for Economic Development in Africa,gpgs-nngos,2014,0
badea,Arab Bank for Economic Development in Africa,mixed-project-aid,2014,0
badea,Arab Bank for Economic Development in Africa,non-transfer,2014,0
badea,Arab Bank for Economic Development in Africa,technical-ooperation,2014,6640531
cardb,Caribbean Development Bank,cash-grant,2014,0
cardb,Caribbean Development Bank,cash-loan-equity,2014,0
cardb,Caribbean Development Bank,commodities-food,2014,0
cardb,Caribbean Development Bank,gpgs-nngos,2014,0
cardb,Caribbean Development Bank,mixed-project-aid,2014,0
cardb,Caribbean Development Bank,non-transfer,2014,0
cardb,Caribbean Development Bank,technical-ooperation,2014,0
ceb,Council of Europe Development Bank,cash-grant,2014,0
ceb,Council of Europe Development Bank,cash-loan-equity,2014,76184471
ceb,Council of Europe Development Bank,commodities-food,2014,0
ceb,Council of Europe Development Bank,gpgs-nngos,2014,0
ceb,Council of Europe Development Bank,mixed-project-aid,2014,105143
ceb,Council of Europe Development Bank,non-transfer,2014,0
ceb,Council of Europe Development Bank,technical-ooperation,2014,165324
cif,Climate Investment Funds,cash-grant,2014,2852548
cif,Climate Investment Funds,cash-loan-equity,2014,323342153
cif,Climate Investment Funds,commodities-food,2014,0
cif,Climate Investment Funds,gpgs-nngos,2014,0
cif,Climate Investment Funds,mixed-project-aid,2014,13660832
cif,Climate Investment Funds,non-transfer,2014,0
cif,Climate Investment Funds,technical-ooperation,2014,7063382
dac-countries-total,,cash-grant,2014,19955084203
dac-countries-total,,cash-loan-equity,2014,19249310933
dac-countries-total,,commodities-food,2014,4500988270
dac-countries-total,,gpgs-nngos,2014,8566171549
dac-countries-total,,mixed-project-aid,2014,22736701840
dac-countries-total,,non-transfer,2014,18082517425
dac-countries-total,,technical-ooperation,2014,15786853033
ebrd,European Bank for Reconstruction and Development,cash-grant,2014,0
