id-from,parent,id-to,region,year,value-1,value-2,value-3
adaptation-fund,Adaptation Fund,BZ,north-central-america,2014,1109443.74,2139.17,5.58
adaptation-fund,Adaptation Fund,CR,north-central-america,2014,1604731.13,1864.08,0.69
adaptation-fund,Adaptation Fund,CU,north-central-america,2014,901423.04,,
adaptation-fund,Adaptation Fund,IN,south-central-asia,2014,534910.38,1057.37,3.22
adaptation-fund,Adaptation Fund,KE,south-of-sahara,2014,4913250.86,522.41,8.26
adaptation-fund,Adaptation Fund,MM,south-central-asia,2014,2436813.93,832.08,
adaptation-fund,Adaptation Fund,SC,south-of-sahara,2014,1258029.96,8471.93,0.43
adaptation-fund,Adaptation Fund,UZ,south-central-asia,2014,336795.42,1352.40,6.36
afdb,African Development Bank and Fund,BJ,south-of-sahara,2014,29717.24,389.54,17.24
afdb,African Development Bank and Fund,BW,south-of-sahara,2014,812271.31,4621.15,3.83
afdb,African Development Bank and Fund,CD,south-of-sahara,2014,123108632.42,108.16,38.05
afdb,African Development Bank and Fund,CF,south-of-sahara,2014,39622.99,42.11,47.3
afdb,African Development Bank and Fund,CG,south-of-sahara,2014,19811.50,3606.24,14.41
afdb,African Development Bank and Fund,CI,south-of-sahara,2014,0.00,593.45,8.88
afdb,African Development Bank and Fund,CV,south-of-sahara,2014,188209.21,1652.21,1.54
afdb,African Development Bank and Fund,DJ,south-of-sahara,2014,59434.49,1007.06,7.51
afdb,African Development Bank and Fund,DZ,north-of-sahara,2014,108963.22,4882.45,
afdb,African Development Bank and Fund,EG,north-of-sahara,2014,1614636.88,2359.05,
afdb,African Development Bank and Fund,GA,south-of-sahara,2014,277360.94,6935.54,1.48
afdb,African Development Bank and Fund,GH,south-of-sahara,2014,19811.50,563.93,3.74
afdb,African Development Bank and Fund,GM,south-of-sahara,2014,118868.97,318.68,17.39
afdb,African Development Bank and Fund,GQ,south-of-sahara,2014,99057.48,11813.65,
afdb,African Development Bank and Fund,KE,south-of-sahara,2014,49528.74,522.41,8.26
afdb,African Development Bank and Fund,MA,north-of-sahara,2014,2803326.60,2083.56,0.24
afdb,African Development Bank and Fund,ML,south-of-sahara,2014,89151.73,350.28,16.67
afdb,African Development Bank and Fund,MU,south-of-sahara,2014,584439.11,3890.83,0.09
afdb,African Development Bank and Fund,NA,south-of-sahara,2014,584439.11,2211.27,5.14
afdb,African Development Bank and Fund,NE,south-of-sahara,2014,9905.75,271.35,13.69
afdb,African Development Bank and Fund,NG,south-of-sahara,2014,217926.45,537.24,19.6
afdb,African Development Bank and Fund,RW,south-of-sahara,2014,39622.99,388.71,23.77
afdb,African Development Bank and Fund,SC,south-of-sahara,2014,475475.89,8471.93,0.43
afdb,African Development Bank and Fund,SD,south-of-sahara,2014,99057.48,282.48,2.43
afdb,African Development Bank and Fund,SN,south-of-sahara,2014,59434.49,557.91,12.48
afdb,African Development Bank and Fund,SZ,south-of-sahara,2014,534910.38,2273.54,16.01
afdb,African Development Bank and Fund,TG,south-of-sahara,2014,0.00,334.14,21.5
afdb,African Development Bank and Fund,TN,north-of-sahara,2014,1634448.37,2460.67,0.17
afdb,African Development Bank and Fund,UG,south-of-sahara,2014,39622.99,232.23,10.3
afdb,African Development Bank and Fund,ZA,south-of-sahara,2014,1050009.26,2780.81,4.75
afdb,African Development Bank and Fund,ZM,south-of-sahara,2014,39622.99,681.73,28.32
afdf,African Development Bank and Fund,AO,south-of-sahara,2014,8162336.10,2683.79,8.56
afdf,African Development Bank and Fund,BF,south-of-sahara,2014,30192718.99,441.73,11.07
afdf,African Development Bank and Fund,BI,south-of-sahara,2014,35512105.50,201.19,30.6
