id-from,parent,year,id-to,rank,total-value,purpose-code,purpose-name,purpose-value
adaptation-fund,Adaptation Fund,2014,IN,7,532924.27,43040,Rural development,373078.19
adaptation-fund,Adaptation Fund,2014,IN,7,532924.27,14015,Water resources protection,159846.08
adaptation-fund,Adaptation Fund,2014,CU,6,901589.46,41050,Flood prevention/control,901589.46
adaptation-fund,Adaptation Fund,2014,UZ,8,339729.50,43040,Rural development,339729.50
adaptation-fund,Adaptation Fund,2014,CR,3,1606276.42,41010,Environmental policy and admin. mgmt,1606276.42
adaptation-fund,Adaptation Fund,2014,BZ,5,1105293.23,14015,Water resources protection,1105293.23
adaptation-fund,Adaptation Fund,2014,MM,2,2433545.04,43040,Rural development,2433545.04
adaptation-fund,Adaptation Fund,2014,KE,1,4910189.98,41010,Environmental policy and admin. mgmt,4910189.98
adaptation-fund,Adaptation Fund,2014,SC,4,1260229.03,41010,Environmental policy and admin. mgmt,1260229.03
afdb,African Development Bank and Fund,2014,ZA,5,1052296.49,33120,Trade facilitation,267378.91
afdb,African Development Bank and Fund,2014,ZA,5,1052296.49,22010,Communications policy & administrative management,212133.57
afdb,African Development Bank and Fund,2014,BW,6,815792.80,15110,Public sector policy and administrative management,347632.31
afdb,African Development Bank and Fund,2014,BW,6,815792.80,31140,Agricultural water resources,339660.16
afdb,African Development Bank and Fund,2014,BW,6,815792.80,43010,Multisector aid,128500.33
afdb,African Development Bank and Fund,2014,NA,7,586135.97,43010,Multisector aid,408530.87
afdb,African Development Bank and Fund,2014,NA,7,586135.97,21040,Water transport,177605.10
afdb,African Development Bank and Fund,2014,MU,8,584711.62,15110,Public sector policy and administrative management,384120.23
afdb,African Development Bank and Fund,2014,MU,8,584711.62,21020,Road transport,200591.39
afdb,African Development Bank and Fund,2014,SZ,9,530440.41,16062,Statistical capacity building,307652.71
afdb,African Development Bank and Fund,2014,SZ,9,530440.41,21020,Road transport,156350.34
afdb,African Development Bank and Fund,2014,SZ,9,530440.41,15110,Public sector policy and administrative management,66437.35
afdb,African Development Bank and Fund,2014,SC,10,473647.29,14010,Water resources policy/administrative management,300402.70
afdb,African Development Bank and Fund,2014,SC,10,473647.29,31182,Agricultural research,173244.59
afdb,African Development Bank and Fund,2014,other,11,2946522.45,14010,Water resources policy/administrative management,898123.02
afdb,African Development Bank and Fund,2014,other,11,2946522.45,15110,Public sector policy and administrative management,407313.45
afdb,African Development Bank and Fund,2014,other,11,2946522.45,24030,Formal sector financial intermediaries,316324.86
afdb,African Development Bank and Fund,2014,other,11,2946522.45,31161,Food crop production,277666.03
afdb,African Development Bank and Fund,2014,other,11,2946522.45,43010,Multisector aid,161058.25
afdb,African Development Bank and Fund,2014,other,11,2946522.45,21020,Road transport,118882.84
afdb,African Development Bank and Fund,2014,other,11,2946522.45,14022,Sanitation - large systems,114239.76
afdb,African Development Bank and Fund,2014,other,11,2946522.45,22010,Communications policy & administrative management,86129.88
afdb,African Development Bank and Fund,2014,other,11,2946522.45,21040,Water transport,78643.12
afdb,African Development Bank and Fund,2014,other,11,2946522.45,21030,Rail transport,67793.06
afdb,African Development Bank and Fund,2014,other,11,2946522.45,23220,Hydro-electric power plants,59620.22
afdb,African Development Bank and Fund,2014,other,11,2946522.45,32110,Industrial policy & admin. mgmt,55908.93
afdb,African Development Bank and Fund,2014,other,11,2946522.45,11110,Education policy & administrative management,33778.60
afdb,African Development Bank and Fund,2014,other,11,2946522.45,21010,Transport policy & administrative management,32215.57
afdb,African Development Bank and Fund,2014,other,11,2946522.45,32130,Small and medium-sized enterprises (SME) development,22894.44
afdb,African Development Bank and Fund,2014,CD,1,123105264.46,60020,Debt forgiveness,123105264.46
afdb,African Development Bank and Fund,2014,MA,2,2803060.13,43010,Multisector aid,882049.38
afdb,African Development Bank and Fund,2014,MA,2,2803060.13,31110,Agricultural policy & administrative management,509356.52
afdb,African Development Bank and Fund,2014,MA,2,2803060.13,31140,Agricultural water resources,503762.74
afdb,African Development Bank and Fund,2014,MA,2,2803060.13,11420,Higher education,370439.30
afdb,African Development Bank and Fund,2014,MA,2,2803060.13,14010,Water resources policy/administrative management,307927.10
afdb,African Development Bank and Fund,2014,MA,2,2803060.13,24030,Formal sector financial intermediaries,229525.09
afdb,African Development Bank and Fund,2014,TN,3,1631996.80,14010,Water resources policy/administrative management,760911.40
afdb,African Development Bank and Fund,2014,TN,3,1631996.80,12110,Health policy & administrative management,595806.95
afdb,African Development Bank and Fund,2014,TN,3,1631996.80,15110,Public sector policy and administrative management,198368.54
afdb,African Development Bank and Fund,2014,other,11,2946522.45,14040,River basins development,215930.43
afdb,African Development Bank and Fund,2014,TN,3,1631996.80,11110,Education policy & administrative management,53986.72
afdb,African Development Bank and Fund,2014,TN,3,1631996.80,31140,Agricultural water resources,22923.19
afdb,African Development Bank and Fund,2014,EG,4,1617056.55,31140,Agricultural water resources,570665.17
afdb,African Development Bank and Fund,2014,EG,4,1617056.55,16062,Statistical capacity building,362265.08
afdb,African Development Bank and Fund,2014,EG,4,1617056.55,43010,Multisector aid,279102.07
afdb,African Development Bank and Fund,2014,EG,4,1617056.55,14022,Sanitation - large systems,261911.93
afdb,African Development Bank and Fund,2014,EG,4,1617056.55,23240,Wind energy,143112.30
afdb,African Development Bank and Fund,2014,ZA,5,1052296.49,16062,Statistical capacity building,572784.01
afdf,African Development Bank and Fund,2014,CD,6,101485292.85,12110,Health policy & administrative management,36948.84
afdf,African Development Bank and Fund,2014,MZ,7,85498579.55,51010,General budget support-related aid,29043652.26
afdf,African Development Bank and Fund,2014,MZ,7,85498579.55,21020,Road transport,19197388.57
afdf,African Development Bank and Fund,2014,MZ,7,85498579.55,31140,Agricultural water resources,11105660.64
afdf,African Development Bank and Fund,2014,MZ,7,85498579.55,23630,Electric power transmission and distribution,10660268.50
afdf,African Development Bank and Fund,2014,MZ,7,85498579.55,31110,Agricultural policy & administrative management,8871439.05
afdf,African Development Bank and Fund,2014,MZ,7,85498579.55,14010,Water resources policy/administrative management,6487769.46
afdf,African Development Bank and Fund,2014,MZ,7,85498579.55,43010,Multisector aid,125241.34
afdf,African Development Bank and Fund,2014,MZ,7,85498579.55,24030,Formal sector financial intermediaries,7159.74
afdf,African Development Bank and Fund,2014,CM,8,69137202.53,21020,Road transport,53852736.05
afdf,African Development Bank and Fund,2014,CM,8,69137202.53,14010,Water resources policy/administrative management,12780940.50
afdf,African Development Bank and Fund,2014,CM,8,69137202.53,23630,Electric power transmission and distribution,1342064.38
afdf,African Development Bank and Fund,2014,CM,8,69137202.53,15110,Public sector policy and administrative management,627026.90
afdf,African Development Bank and Fund,2014,CM,8,69137202.53,43040,Rural development,294101.65
afdf,African Development Bank and Fund,2014,CM,8,69137202.53,14022,Sanitation - large systems,240333.05
afdf,African Development Bank and Fund,2014,RW,9,62371340.30,43010,Multisector aid,51958896.76
afdf,African Development Bank and Fund,2014,RW,9,62371340.30,21020,Road transport,4335646.71
afdf,African Development Bank and Fund,2014,RW,9,62371340.30,31120,Agricultural development,2197154.27
afdf,African Development Bank and Fund,2014,RW,9,62371340.30,11420,Higher education,1448828.53
afdf,African Development Bank and Fund,2014,RW,9,62371340.30,15110,Public sector policy and administrative management,1081757.18
afdf,African Development Bank and Fund,2014,RW,9,62371340.30,14010,Water resources policy/administrative management,1001510.72
afdf,African Development Bank and Fund,2014,RW,9,62371340.30,23630,Electric power transmission and distribution,347546.13
afdf,African Development Bank and Fund,2014,SL,10,59138737.22,12250,Infectious disease control,24805587.07
afdf,African Development Bank and Fund,2014,SL,10,59138737.22,21020,Road transport,12211818.64
afdf,African Development Bank and Fund,2014,SL,10,59138737.22,14010,Water resources policy/administrative management,9832987.01
afdf,African Development Bank and Fund,2014,SL,10,59138737.22,51010,General budget support-related aid,6008509.57
afdf,African Development Bank and Fund,2014,SL,10,59138737.22,31110,Agricultural policy & administrative management,3512767.33
afdf,African Development Bank and Fund,2014,SL,10,59138737.22,15110,Public sector policy and administrative management,2629500.54
afdf,African Development Bank and Fund,2014,SL,10,59138737.22,24030,Formal sector financial intermediaries,137567.06
afdf,African Development Bank and Fund,2014,other,11,797747494.75,21020,Road transport,206859404.64
afdf,African Development Bank and Fund,2014,other,11,797747494.75,14010,Water resources policy/administrative management,115856483.56
afdf,African Development Bank and Fund,2014,other,11,797747494.75,43010,Multisector aid,79322301.42
afdf,African Development Bank and Fund,2014,other,11,797747494.75,12250,Infectious disease control,60441811.59
afdf,African Development Bank and Fund,2014,other,11,797747494.75,15110,Public sector policy and administrative management,53488291.90
afdf,African Development Bank and Fund,2014,other,11,797747494.75,51010,General budget support-related aid,38469361.48
afdf,African Development Bank and Fund,2014,other,11,797747494.75,23630,Electric power transmission and distribution,34067353.99
afdf,African Development Bank and Fund,2014,other,11,797747494.75,31110,Agricultural policy & administrative management,30629093.05
afdf,African Development Bank and Fund,2014,other,11,797747494.75,41010,Environmental policy and admin. mgmt,23455952.72
afdf,African Development Bank and Fund,2014,other,11,797747494.75,12110,Health policy & administrative management,19151771.61
afdf,African Development Bank and Fund,2014,other,11,797747494.75,11420,Higher education,16533114.20
afdf,African Development Bank and Fund,2014,other,11,797747494.75,31182,Agricultural research,15177982.86
afdf,African Development Bank and Fund,2014,other,11,797747494.75,43040,Rural development,14946221.54
afdf,African Development Bank and Fund,2014,other,11,797747494.75,24030,Formal sector financial intermediaries,10948813.32
afdf,African Development Bank and Fund,2014,other,11,797747494.75,31140,Agricultural water resources,10895787.56
afdf,African Development Bank and Fund,2014,other,11,797747494.75,31163,Livestock,10712353.91
afdf,African Development Bank and Fund,2014,other,11,797747494.75,11330,Vocational training,10385433.53
afdf,African Development Bank and Fund,2014,other,11,797747494.75,31161,Food crop production,8078434.42
afdf,African Development Bank and Fund,2014,other,11,797747494.75,11110,Education policy & administrative management,7987666.19
afdf,African Development Bank and Fund,2014,other,11,797747494.75,31220,Forestry development,6127483.54
afdf,African Development Bank and Fund,2014,other,11,797747494.75,23110,Energy policy and administrative management,3875942.75
afdf,African Development Bank and Fund,2014,other,11,797747494.75,31120,Agricultural development,2576227.43
afdf,African Development Bank and Fund,2014,other,11,797747494.75,52010,Food aid/Food security programmes,2341936.68
afdf,African Development Bank and Fund,2014,other,11,797747494.75,14040,River basins development,2214746.88
afdf,African Development Bank and Fund,2014,other,11,797747494.75,31162,Industrial crops/export crops,1949520.49
afdf,African Development Bank and Fund,2014,other,11,797747494.75,16020,Employment policy and administrative management,1545286.74
afdf,African Development Bank and Fund,2014,other,11,797747494.75,15111,Public finance management,1532593.51
afdf,African Development Bank and Fund,2014,other,11,797747494.75,73010,Reconstruction relief and rehabilitation,1132118.99
afdf,African Development Bank and Fund,2014,other,11,797747494.75,21010,Transport policy & administrative management,829519.10
afdf,African Development Bank and Fund,2014,other,11,797747494.75,21050,Air transport,356486.07
afdf,African Development Bank and Fund,2014,other,11,797747494.75,60020,Debt forgiveness,219134.95
afdf,African Development Bank and Fund,2014,other,11,797747494.75,15170,Women's equality organisations and institutions,83560.83
afdf,African Development Bank and Fund,2014,other,11,797747494.75,31320,Fishery development,5555303.29
afdf,African Development Bank and Fund,2014,KE,1,233696076.81,21020,Road transport,109147491.42
afdf,African Development Bank and Fund,2014,KE,1,233696076.81,14010,Water resources policy/administrative management,35259806.11
afdf,African Development Bank and Fund,2014,KE,1,233696076.81,23260,Geothermal energy,29727049.79
afdf,African Development Bank and Fund,2014,KE,1,233696076.81,14022,Sanitation - large systems,16142406.45
afdf,African Development Bank and Fund,2014,KE,1,233696076.81,23630,Electric power transmission and distribution,13070485.50
afdf,African Development Bank and Fund,2014,KE,1,233696076.81,43010,Multisector aid,7632992.76
afdf,African Development Bank and Fund,2014,KE,1,233696076.81,11330,Vocational training,6271269.43
afdf,African Development Bank and Fund,2014,KE,1,233696076.81,31120,Agricultural development,4989109.08
afdf,African Development Bank and Fund,2014,KE,1,233696076.81,11420,Higher education,4718384.99
afdf,African Development Bank and Fund,2014,KE,1,233696076.81,41010,Environmental policy and admin. mgmt,3705868.99
afdf,African Development Bank and Fund,2014,KE,1,233696076.81,31140,Agricultural water resources,1606296.24
afdf,African Development Bank and Fund,2014,KE,1,233696076.81,31220,Forestry development,1170948.53
afdf,African Development Bank and Fund,2014,KE,1,233696076.81,31110,Agricultural policy & administrative management,253967.52
afdf,African Development Bank and Fund,2014,TZ,2,181799025.69,21020,Road transport,61695557.31
afdf,African Development Bank and Fund,2014,TZ,2,181799025.69,51010,General budget support-related aid,57659277.15
afdf,African Development Bank and Fund,2014,TZ,2,181799025.69,23630,Electric power transmission and distribution,18304880.70
afdf,African Development Bank and Fund,2014,TZ,2,181799025.69,14010,Water resources policy/administrative management,11672986.58
afdf,African Development Bank and Fund,2014,TZ,2,181799025.69,32130,Small and medium-sized enterprises (SME) development,8837016.58
afdf,African Development Bank and Fund,2014,TZ,2,181799025.69,31191,Agricultural services,6926772.38
afdf,African Development Bank and Fund,2014,TZ,2,181799025.69,13020,Reproductive health care,6349911.17
