"id","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"BE",,,,,,,,,,,,,,,,,,,,,249674175707,248236132405,249570057143,250751186095,257089994766,260108488303,265717624169,272621735755,285276872182,295438549961,304254838299,309495668877,314667422968,311982864653,321692954110,320612515813,325972503355,337724475519,344388476509,356695928525,369060590625,372829249276,378454849188,382003791600,396109695234,404260483554,414708329376,428582619146,430342867293,421434377595,433106995263,441254531130,442203765407,441178188783,447863625596,455085726960
"BF",,,,,,,,,,,,,,,,,,,,,1904670280,2068566498,2225357854,2194375997,2275807129,2435223226,2630194913,2623414555,2775703519,2834891149,2818514258,3073899179,2056089489,2323018192,3181377937,3413478843,3789582773,4029126324,4324008888,4608513266,4721502212,4999642117,5244046965,5519037136,5921835049,6420696589,6869750574,7103205735,7483713005,7534430162,8290466832,8982111446,9546423618,9951728452,10394071934,10678201939
"BG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28022562996,27399905393,26646937719,22871835537,23923689099,27734059395,38947799919,48820269125,24554931610,23385377307,45239254785,218561605824,46644287156,79473493347,38991983748,30855596842,29065574129,29974717871,31131297458,27992362325,29395144798,30644473051,32486454978,34135496804,36376401705,39008533781,41641185058,44838602229,47374751773,45370375443,46004870401,46492520830,46507189939,46926798547,47554533926,50199117547
"BH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6373832075,6549261630,6968976751,7457267601,7826603553,7683948756,8248835595,8357931067,7821406469,7902435522,8433234342,8974760256,9469313295,10139024265,10460954699,10582874819,10962069223,11257761565,12025386178,12588087861,15428020723,15446273903,16408557827,17371544710,18583992064,19841794787,21124660566,22876993073,24304938757,24922499197,26002803393,26519340836,27507320273,28998074495,30258944193,31125851064
"BI",,,,,,,,,,,,,,,,,,,,,1218590134,1384781604,1355874655,1420091968,1426788990,1595986210,1634019515,1723809732,1848236437,1854427338,1949860597,2061279230,2083321689,1952850343,1878903247,1728925708,1591806950,1597951688,1673787797,1578652939,1722903588,1750202107,1792660529,1835235133,1905724573,1988903547,2096397343,2168582514,2273371933,2313753599,2475276082,2719775878,2857531830,3011477430,3147517339,3097324740
"BJ",,,,,,,,,,,,,,,,,,,,,2057259164,2847700764,2873498416,2747195177,2482818151,2470196593,2539006418,2485375834,2560825479,2497538261,2891433103,3012825908,2342058532,3284709566,3350397936,3553788038,3706565015,3919464071,4074326025,4291435525,4486794764,4737381474,4943620908,5121526402,5352059839,5441376040,5660396133,5996947220,6269531227,6428203520,6569202016,6770036880,7117725082,7613962719,8173067449,8290986804
"BM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"BN",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,7203125084,7686689152,7841822582,8020213947,8109827782,8197748766,8455912013,8854339169,8884017249,9165003662,9575003314,9850123848,9706064663,9653304982,9946309281,10228972186,10509558508,10916352309,11234264795,11290526698,11334030803,11832095796,11866100862,11594266999,11423855314,12994251563,13480624634,13604535876,13315740774,13002493630,12930394938
"BO",,,,,,,,,,,,,,,,,,,,,15066486814,20471337873,16845460085,16554818022,18080533342,14322813281,10505009059,10854924730,11105756509,11527576778,12061014936,12698009152,12908399029,13458916203,14111912528,14773380812,15433126059,16167273851,16976818593,17067286691,17488277049,17726126760,18170370913,18667899011,19444499338,20280061331,21180130551,22116990145,23482558723,24268599747,25275499797,26584584648,27942980118,29841873617,31471492098,32997684515
"BR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740511099440,1034953916527,1030300676685,763202059320,862057538918,903873500918,913371159603,884732953027,888147459338,1335509138461,922062945500,939881895334,1012229059161,1056311995710,1080318830814,1117063970942,1120883184652,1126419434179,1175884145295,1190990974914,1224266021242,1242904767242,1314340150090,1356367531041,1410127274029,1495673648374,1571868335232,1567861072269,1688227084309,1755546257947,1788554336523,1842424016629,1843442775987,1774724818900
