"id","income-share-bottom-20pc.2000","income-share-second-20pc.2000","income-share-third-20pc.2000","income-share-fourth-20pc.2000","income-share-highest-20pc.2000","income-share-bottom-20pc.2001","income-share-second-20pc.2001","income-share-third-20pc.2001","income-share-fourth-20pc.2001","income-share-highest-20pc.2001","income-share-bottom-20pc.2002","income-share-second-20pc.2002","income-share-third-20pc.2002","income-share-fourth-20pc.2002","income-share-highest-20pc.2002","income-share-bottom-20pc.2003","income-share-second-20pc.2003","income-share-third-20pc.2003","income-share-fourth-20pc.2003","income-share-highest-20pc.2003","income-share-bottom-20pc.2004","income-share-second-20pc.2004","income-share-third-20pc.2004","income-share-fourth-20pc.2004","income-share-highest-20pc.2004","income-share-bottom-20pc.2005","income-share-second-20pc.2005","income-share-third-20pc.2005","income-share-fourth-20pc.2005","income-share-highest-20pc.2005","income-share-bottom-20pc.2006","income-share-second-20pc.2006","income-share-third-20pc.2006","income-share-fourth-20pc.2006","income-share-highest-20pc.2006","income-share-bottom-20pc.2007","income-share-second-20pc.2007","income-share-third-20pc.2007","income-share-fourth-20pc.2007","income-share-highest-20pc.2007","income-share-bottom-20pc.2008","income-share-second-20pc.2008","income-share-third-20pc.2008","income-share-fourth-20pc.2008","income-share-highest-20pc.2008","income-share-bottom-20pc.2009","income-share-second-20pc.2009","income-share-third-20pc.2009","income-share-fourth-20pc.2009","income-share-highest-20pc.2009","income-share-bottom-20pc.2010","income-share-second-20pc.2010","income-share-third-20pc.2010","income-share-fourth-20pc.2010","income-share-highest-20pc.2010","income-share-bottom-20pc.2011","income-share-second-20pc.2011","income-share-third-20pc.2011","income-share-fourth-20pc.2011","income-share-highest-20pc.2011","income-share-bottom-20pc.2012","income-share-second-20pc.2012","income-share-third-20pc.2012","income-share-fourth-20pc.2012","income-share-highest-20pc.2012","income-share-bottom-20pc.2013","income-share-second-20pc.2013","income-share-third-20pc.2013","income-share-fourth-20pc.2013","income-share-highest-20pc.2013"
"BG",,,,,,6.58,12.55,17.18,23.02,40.67,,,,,,8.75,13.72,17.33,22.19,38.01,,,,,,,,,,,,,,,,8.5,13.85,17.92,23,36.73,6.94,12.63,16.86,22.55,41.02,,,,,,6.21,12.07,16.72,22.72,42.28,6.41,12.72,17.08,22.68,41.11,,,,,,,,,,
"BH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BA",,,,,,8.79,13.3,16.99,22.13,38.79,,,,,,,,,,,7.4,12.08,16.27,22.45,41.8,,,,,,,,,,,7.47,12.26,16.61,22.98,40.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BY",8.88,13.75,17.78,22.95,36.64,8.89,13.6,17.47,22.7,37.34,8.36,13.19,17.3,22.57,38.58,8.49,13.46,17.52,22.89,37.64,9.44,14.05,17.89,22.85,35.77,8.92,13.83,17.87,23.03,36.35,8.79,13.56,17.71,22.92,37.02,8.8,13.43,17.46,22.57,37.74,9.19,13.76,17.76,23,36.29,9.06,13.84,17.69,22.43,36.98,9.04,13.65,17.67,22.79,36.85,9.37,14.04,17.9,22.82,35.87,,,,,,,,,,
"BZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BO",0.8,4.9,10.44,18.53,65.33,1.61,6.14,11.15,19.15,61.95,1.48,5.89,10.83,18.72,63.08,,,,,,3.09,7.18,11.42,18.77,59.54,1.89,6.23,10.81,19.32,61.75,2.1,6.49,11.42,19.82,60.17,2.7,6.66,11.57,19.6,59.47,2.97,7.95,12.99,20.71,55.38,2.91,8.51,13.87,21.36,53.35,,,,,,3.68,9.17,14.34,22.16,50.65,3.32,8.99,14.55,22.66,50.48,,,,,
"BR",,,,,,2.4,5.9,10.29,17.97,63.44,2.6,6.04,10.4,18.03,62.93,2.59,6.19,10.65,18.36,62.21,2.82,6.46,10.92,18.56,61.24,2.9,6.54,11.04,18.48,61.04,3,6.74,11.23,18.59,60.44,2.97,6.89,11.6,18.97,59.57,3.14,7.13,11.8,19.09,58.84,3.17,7.28,11.98,19.23,58.34,,,,,,3.25,7.53,12.3,19.36,57.56,3.39,7.65,12.43,19.34,57.19,,,,,
"BB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BT",,,,,,,,,,,,,,,,5.36,8.68,12.99,19.96,53.01,,,,,,,,,,,,,,,,6.64,10.79,15.38,22.04,45.15,,,,,,,,,,,,,,,,,,,,,6.75,10.75,15.13,21.39,45.98,,,,,
"BW",,,,,,,,,,,,,,,,2.27,4.61,7.81,15.85,69.46,,,,,,,,,,,,,,,,,,,,,,,,,,2.84,5.69,9.54,16.89,65.04,,,,,,,,,,,,,,,,,,,,
"CF",,,,,,,,,,,,,,,,5.21,9.38,14.29,21.72,49.4,,,,,,,,,,,,,,,,,,,,,3.37,6.87,11.12,18.04,60.6,,,,,,,,,,,,,,,,,,,,,,,,,
"CA",6.92,12.5,17,22.81,40.77,,,,,,,,,,,,,,,,6.89,12.36,16.87,22.91,40.97,,,,,,,,,,,7.15,12.31,16.64,22.62,41.28,,,,,,,,,,,7.1,12.39,16.79,22.74,40.98,,,,,,,,,,,,,,,
"CH",7.6,12.2,16.26,22.58,41.36,,,,,,7.82,12.33,16.82,23.2,39.83,,,,,,7.6,12.45,16.73,23.44,39.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CL",3.69,7.07,10.94,17.76,60.54,,,,,,,,,,,3.83,7.23,11.08,17.74,60.12,,,,,,,,,,,4.24,7.86,11.81,18.66,57.43,,,,,,,,,,,4.3,7.94,11.75,18.33,57.68,,,,,,4.52,8.2,11.87,18.42,56.99,,,,,,,,,,
"CN",,,,,,,,,,,5.47,9.37,14.33,22.19,48.64,,,,,,,,,,,4.99,9.85,14.99,22.24,47.93,,,,,,,,,,,4.78,9.64,15.01,22.7,47.87,,,,,,4.67,9.74,15.31,23.19,47.09,,,,,,,,,,,,,,,
"CI",,,,,,,,,,,6.19,10.19,14.57,20.85,48.2,,,,,,,,,,,,,,,,,,,,,,,,,,5.19,9.61,14.54,21.71,48.95,,,,,,,,,,,,,,,,,,,,,,,,,
"CM",,,,,,6.17,9.95,14.27,20.71,48.9,,,,,,,,,,,,,,,,,,,,,,,,,,6.35,10.03,14.5,21.43,47.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CG",,,,,,,,,,,,,,,,,,,,,,,,,,4.96,8.44,13.01,20.45,53.14,,,,,,,,,,,,,,,,,,,,,,,,,,5.61,10.29,15.48,22.74,45.88,,,,,,,,,,
"CO",1.9,6.75,10.97,18.14,62.24,2.35,6.82,10.98,18.13,61.72,2.93,6.55,10.61,18.04,61.87,3.29,7.28,11.49,18.67,59.27,3.3,6.83,10.84,18.05,60.98,3.37,7.09,11.18,18.37,59.99,2.51,6.32,10.52,18.08,62.57,2.67,6.29,10.39,17.72,62.93,2.93,6.72,11.19,18.87,60.29,3.05,6.79,11.16,18.74,60.26,3.19,6.9,11.15,18.72,60.04,3.35,7.21,11.58,19.15,58.71,3.3,7.29,11.89,19.65,57.87,,,,,
"KM",,,,,,,,,,,,,,,,,,,,,2.55,5.35,8.94,15.14,68.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CV",,,,,,,,,,,4.54,7.91,12.27,19.38,55.9,,,,,,,,,,,,,,,,,,,,,,,,,,5.79,9.47,13.87,20.59,50.28,,,,,,,,,,,,,,,,,,,,,,,,,
"CR",3.86,8.86,13.67,21.49,52.12,3.31,7.94,12.72,20.5,55.53,3.42,8.09,12.77,20.24,55.48,3.43,8.18,12.98,21.13,54.28,3.77,8.42,13.16,21.01,53.64,4.05,8.71,13.32,21.06,52.86,3.95,8.41,12.86,20.28,54.5,4.21,8.4,12.69,19.76,54.94,4.2,8.41,12.74,20.22,54.43,3.79,7.94,12.34,19.87,56.06,4.45,8.57,12.9,20.31,53.77,4.25,8.3,12.88,20.69,53.88,4.21,8.37,12.91,20.6,53.91,,,,,
"CU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZ",,,,,,,,,,,,,,,,,,,,,,,,,,9.28,14.46,17.78,21.73,36.75,9.32,14.49,17.75,21.9,36.54,,,,,,9.78,14.58,17.58,21.56,36.5,9.61,14.6,17.74,21.87,36.18,9.37,14.49,17.73,21.97,36.44,9.33,14.59,17.91,21.98,36.19,,,,,,,,,,
