"id","income-share-bottom-20pc.2000","income-share-second-20pc.2000","income-share-third-20pc.2000","income-share-fourth-20pc.2000","income-share-highest-20pc.2000","income-share-bottom-20pc.2001","income-share-second-20pc.2001","income-share-third-20pc.2001","income-share-fourth-20pc.2001","income-share-highest-20pc.2001","income-share-bottom-20pc.2002","income-share-second-20pc.2002","income-share-third-20pc.2002","income-share-fourth-20pc.2002","income-share-highest-20pc.2002","income-share-bottom-20pc.2003","income-share-second-20pc.2003","income-share-third-20pc.2003","income-share-fourth-20pc.2003","income-share-highest-20pc.2003","income-share-bottom-20pc.2004","income-share-second-20pc.2004","income-share-third-20pc.2004","income-share-fourth-20pc.2004","income-share-highest-20pc.2004","income-share-bottom-20pc.2005","income-share-second-20pc.2005","income-share-third-20pc.2005","income-share-fourth-20pc.2005","income-share-highest-20pc.2005","income-share-bottom-20pc.2006","income-share-second-20pc.2006","income-share-third-20pc.2006","income-share-fourth-20pc.2006","income-share-highest-20pc.2006","income-share-bottom-20pc.2007","income-share-second-20pc.2007","income-share-third-20pc.2007","income-share-fourth-20pc.2007","income-share-highest-20pc.2007","income-share-bottom-20pc.2008","income-share-second-20pc.2008","income-share-third-20pc.2008","income-share-fourth-20pc.2008","income-share-highest-20pc.2008","income-share-bottom-20pc.2009","income-share-second-20pc.2009","income-share-third-20pc.2009","income-share-fourth-20pc.2009","income-share-highest-20pc.2009","income-share-bottom-20pc.2010","income-share-second-20pc.2010","income-share-third-20pc.2010","income-share-fourth-20pc.2010","income-share-highest-20pc.2010","income-share-bottom-20pc.2011","income-share-second-20pc.2011","income-share-third-20pc.2011","income-share-fourth-20pc.2011","income-share-highest-20pc.2011","income-share-bottom-20pc.2012","income-share-second-20pc.2012","income-share-third-20pc.2012","income-share-fourth-20pc.2012","income-share-highest-20pc.2012","income-share-bottom-20pc.2013","income-share-second-20pc.2013","income-share-third-20pc.2013","income-share-fourth-20pc.2013","income-share-highest-20pc.2013"
"HR",8.3,12.67,16.82,22.28,39.93,8.26,12.68,16.93,22.5,39.63,,,,,,,,,,,8.85,13.39,17.28,22.64,37.84,,,,,,,,,,,,,,,,8.01,12.35,16.16,21.3,42.18,,,,,,,,,,,,,,,,,,,,,,,,,
"HT",,,,,,2.38,6.24,10.36,17.65,63.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HU",9.55,13.87,17.49,22.14,36.95,9.39,13.95,17.7,22.49,36.47,9.51,13.94,17.64,22.37,36.54,8.22,12.93,17.06,22.42,39.37,,,,,,8.45,13.03,17.11,22.5,38.91,8.66,13.79,17.84,22.62,37.09,,,,,,8.78,13.94,18.04,22.8,36.44,,,,,,8.25,13.41,17.71,22.89,37.74,8.25,13.8,17.89,22.6,37.46,,,,,,,,,,
"ID",,,,,,,,,,,9.53,13.02,16.53,21.3,39.62,,,,,,,,,,,8.34,12.03,15.83,21.04,42.76,,,,,,,,,,,8.11,11.87,15.87,21.51,42.64,,,,,,7.63,11.33,15.57,21.82,43.65,,,,,,,,,,,,,,,
"IN",,,,,,,,,,,,,,,,,,,,,,,,,,8.64,12.22,15.81,20.97,42.36,,,,,,,,,,,,,,,,,,,,,8.54,12.14,15.69,20.82,42.81,,,,,,,,,,,,,,,
"IE",7.61,12.48,16.61,22.2,41.1,,,,,,,,,,,,,,,,7.55,12.26,16.36,22.35,41.48,,,,,,,,,,,8.26,12.75,16.47,22.37,40.15,,,,,,,,,,,7.62,12.81,16.87,22.68,40.02,,,,,,,,,,,,,,,
"IR",,,,,,,,,,,,,,,,,,,,,,,,,,6.43,10.91,15.54,21.96,45.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.27,13.4,17.08,22.13,38.12,,,,,,,,,,,,,,,,,,,,,8.8,13.12,17.07,22.5,38.51,,,,,
"IS",,,,,,,,,,,,,,,,,,,,,9.47,13.99,17.2,21.76,37.58,,,,,,,,,,,9.12,13.59,16.81,21.64,38.84,,,,,,,,,,,9.56,14.37,17.85,22.04,36.18,,,,,,,,,,,,,,,
"IL",,,,,,5.71,10.46,15.86,23.04,44.93,,,,,,,,,,,,,,,,4.75,9.88,15.42,23.27,46.68,,,,,,4.88,9.97,15.7,23.36,46.09,,,,,,,,,,,4.61,9.61,15.49,22.89,47.4,,,,,,,,,,,,,,,
"IT",6.14,11.9,16.76,22.89,42.31,,,,,,,,,,,,,,,,6.2,11.55,16.33,22.29,43.63,,,,,,,,,,,,,,,,6.39,11.97,16.74,22.99,41.91,,,,,,6.07,12.01,17.02,23.15,41.75,,,,,,,,,,,,,,,
"JM",,,,,,0.01,1.85,8.53,19.7,69.91,4.82,8.27,12.76,20.12,54.03,,,,,,5.35,8.99,13.49,20.56,51.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JO",,,,,,,,,,,,,,,,6.73,10.68,15.05,21.41,46.13,,,,,,,,,,,8.07,12.01,16.02,21.54,42.36,,,,,,8.46,12.25,16.17,21.64,41.48,,,,,,8.23,11.99,15.95,21.5,42.33,,,,,,,,,,,,,,,
"JP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.37,12.88,17.32,22.72,39.71,,,,,,,,,,,,,,,,,,,,,,,,,
"KZ",,,,,,7.28,11.99,16.66,23.03,41.04,7.79,12.21,16.58,22.74,40.68,7.96,12.49,16.91,23.01,39.63,8.48,12.84,17.08,22.85,38.75,9.48,13.73,17.64,22.82,36.33,8.97,13.17,16.69,21.89,39.28,9.03,13.17,16.87,22.07,38.86,9.37,13.26,16.72,21.96,38.69,,,,,,9.45,13.36,16.88,22.06,38.25,,,,,,,,,,,,,,,
"KE",,,,,,,,,,,,,,,,,,,,,,,,,,4.84,8.68,13.2,20.08,53.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KG",8.67,12.75,16.5,22.11,39.97,8.83,12.88,16.76,22.52,39.01,8.7,12.96,16.79,22.58,38.97,9.28,13.27,16.77,22.56,38.12,7.68,11.6,15.66,22.08,42.98,6.23,10.84,15.4,22.52,45.01,6.35,10.66,15.37,22.57,45.05,8.82,11.8,15.45,21.16,42.77,6.68,11.44,16.02,22.41,43.45,6.96,11.58,16.01,22.4,43.05,7.07,11.76,16.06,22.22,42.89,7.68,12.25,16.42,22.25,41.4,,,,,,,,,,
"KH",,,,,,,,,,,,,,,,,,,,,7.98,11.43,15.37,21.22,44,,,,,,,,,,,6.95,10.05,13.95,20.16,48.89,7.85,11.6,15.67,21.43,43.45,8.03,11.66,15.68,21.48,43.15,8.51,12.02,15.8,21.18,42.49,8.99,12.46,16.11,21.24,41.2,,,,,,,,,,
"KI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"XK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LA",,,,,,,,,,,8.59,12.34,16.17,21.46,41.44,,,,,,,,,,,,,,,,,,,,,7.96,11.65,15.53,20.99,43.87,,,,,,,,,,,,,,,,,,,,,7.62,11.46,15.49,21.13,44.3,,,,,
"LB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.44,11.35,15.66,21.6,44.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LK",,,,,,,,,,,6.77,10.2,14.23,20.36,48.44,,,,,,,,,,,,,,,,,,,,,6.94,10.35,14.4,20.52,47.79,,,,,,,,,,,7.72,11.39,15.33,20.97,44.59,,,,,,,,,,,,,,,
"LS",,,,,,,,,,,,,,,,3.04,7.43,12.84,21.29,55.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84,6.73,11.91,20.49,58.03,,,,,,,,,,,,,,,
"LT",7.85,12.7,17.06,22.68,39.71,7.77,12.65,16.88,22.75,39.95,7.82,12.64,16.94,22.68,39.92,7.24,11.71,15.99,21.91,43.15,7.15,11.84,16.14,22.07,42.8,6.4,12.49,16.48,22,42.63,6.9,12.53,16.5,22.09,41.98,,,,,,6.83,11.24,15.73,22.04,44.16,,,,,,6.4,12.45,17.57,23.23,40.35,7.03,12.78,17.24,22.99,39.96,,,,,,,,,,
"LU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV",,,,,,,,,,,7.12,11.96,16.22,22.16,42.54,,,,,,6.98,11.94,16.42,22.39,42.27,,,,,,6.74,11.7,16.24,22.77,42.55,,,,,,6.87,11.51,16.27,22.37,42.98,,,,,,6.02,12.26,17.14,22.78,41.8,6.24,12.12,16.47,22.23,42.94,,,,,,,,,,
"MO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MA",,,,,,6.47,10.2,14.55,21.08,47.7,,,,,,,,,,,,,,,,,,,,,,,,,,6.52,10.45,14.54,20.61,47.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MD",,,,,,6.68,11.13,15.4,21.69,45.1,7.04,11.53,16.05,22.48,42.9,7.59,11.84,15.98,21.89,42.7,7.44,11.9,16.18,21.82,42.66,7.01,11.47,15.9,21.92,43.7,7.09,11.65,16.1,22.49,42.67,7.37,11.89,16.32,22.39,42.03,7.33,11.98,16.11,22.21,42.37,7.58,12.21,16.63,23,40.58,8.12,12.51,16.62,22.41,40.34,8.49,12.92,16.93,22.38,39.28,,,,,,,,,,
"MG",,,,,,4.94,8.29,12.86,20.58,53.33,,,,,,,,,,,,,,,,6.97,11.09,14.79,20.51,46.64,,,,,,,,,,,,,,,,,,,,,6.5,10.67,14.55,20.31,47.97,,,,,,,,,,,,,,,
"MV",,,,,,,,,,,,,,,,,,,,,6.51,10.88,15.71,22.66,44.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MX",3.98,7.72,12.29,19.43,56.58,,,,,,4.39,8.13,12.74,19.91,54.83,,,,,,4.55,9.16,14.08,21.03,51.18,3.7,8.09,12.61,19.79,55.81,4.8,8.51,13.02,20.03,53.64,,,,,,4.73,8.65,13.08,19.87,53.67,,,,,,4.93,8.79,13.33,20.2,52.75,,,,,,4.86,8.84,12.75,19.45,54.1,,,,,
"MH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MK",6.47,12.24,17.06,23.02,41.21,,,,,,6.04,10.77,15.64,22.34,45.21,6.07,10.73,15.55,22.19,45.46,6.01,10.68,15.7,22.64,44.97,5.83,10.51,15.58,22.74,45.34,5.3,9.74,14.63,21.69,48.64,,,,,,5.41,9.33,13.97,21.01,50.28,,,,,,,,,,,,,,,,,,,,,,,,,
"ML",,,,,,6.13,10.19,14.95,22.08,46.65,,,,,,,,,,,,,,,,,,,,,6.52,10.67,15.18,21.62,46.01,,,,,,,,,,,,,,,,7.97,11.99,16.33,22.41,41.3,,,,,,,,,,,,,,,
"MT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ME",,,,,,,,,,,,,,,,,,,,,,,,,,8.53,12.98,17.1,22.49,38.9,8.61,13.11,17.35,22.84,38.09,8.12,12.71,17.22,23.15,38.8,8.49,13.18,17.15,22.4,38.78,8.39,13.13,17.23,22.25,39,8.73,13.24,17.76,23.22,37.05,8.25,13.15,17.07,22.42,39.11,,,,,,,,,,
"MN",,,,,,,,,,,7.45,12.16,16.84,23.06,40.49,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,11.15,15.62,22.09,44.04,,,,,,,,,,,,,,,,,,,,,,,,,
"MP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MZ",,,,,,,,,,,,,,,,5.43,9.2,13.06,19.02,53.29,,,,,,,,,,,,,,,,,,,,,,,,,,5.23,9.47,13.74,20.1,51.46,,,,,,,,,,,,,,,,,,,,
"MR",6.18,10.53,15.35,22.28,45.66,,,,,,,,,,,,,,,,6.3,10.32,14.56,20.8,48.02,,,,,,,,,,,,,,,,6.02,10.44,15.05,21.51,46.98,,,,,,,,,,,,,,,,,,,,,,,,,
"MU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,11.57,15.7,21.41,43.72,,,,,,,,,,,,,,,,,,,,,,,,,,7.39,11.67,15.78,21.57,43.59,,,,,
"MW",,,,,,,,,,,,,,,,,,,,,6.91,10.64,14.62,20.53,47.3,,,,,,,,,,,,,,,,,,,,,,,,,,5.41,9.14,13.36,19.87,52.22,,,,,,,,,,,,,,,
"MY",,,,,,,,,,,,,,,,,,,,,6.46,10.81,15.58,22.37,44.78,,,,,,,,,,,4.69,8.72,13.7,21.49,51.4,,,,,,4.54,8.65,13.72,21.64,51.45,,,,,,,,,,,,,,,,,,,,
"NA",,,,,,,,,,,,,,,,,,,,,3.15,5.03,8.24,14.96,68.62,,,,,,,,,,,,,,,,,,,,,,,,,,3.37,5.5,8.99,15.98,66.16,,,,,,,,,,,,,,,
"NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NE",,,,,,,,,,,,,,,,,,,,,,,,,,5.09,9.25,13.6,20.14,51.92,,,,,,,,,,,8.09,11.83,15.77,21.25,43.06,,,,,,,,,,,8.96,12.72,16.42,21.42,40.48,,,,,,,,,,
"NG",,,,,,,,,,,,,,,,,,,,,5.63,10.41,15.43,22.46,46.07,,,,,,,,,,,,,,,,,,,,,,,,,,5.39,9.62,14.45,21.61,48.93,,,,,,,,,,,,,,,
"NI",,,,,,5.63,9.75,14.33,21.02,49.27,,,,,,,,,,,,,,,,6.22,10.21,14.79,21.54,47.24,,,,,,,,,,,,,,,,4.64,9.26,13.91,21.13,51.06,,,,,,,,,,,,,,,,,,,,
"NL",,,,,,,,,,,,,,,,,,,,,7.77,13.3,17.28,22.6,39.05,,,,,,,,,,,8.43,13.35,17.05,22.17,39,,,,,,,,,,,8.4,13.79,17.67,22.68,37.46,,,,,,,,,,,,,,,
"NO",9.55,13.97,17.28,22.03,37.17,,,,,,,,,,,,,,,,8.9,13.52,16.87,21.52,39.19,,,,,,,,,,,9.33,14.35,17.83,22.57,35.92,,,,,,,,,,,9,14.49,17.97,22.55,35.99,,,,,,,,,,,,,,,
"NP",,,,,,,,,,,,,,,,6.53,9.62,13.45,19.42,50.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.27,12.16,16.22,21.89,41.46,,,,,,,,,,,,,,,
"NZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PK",,,,,,,,,,,9.39,12.98,16.39,21.17,40.07,,,,,,,,,,,9.16,12.72,16.28,21.13,40.71,9.01,12.4,15.78,20.69,42.12,,,,,,9.6,12.94,16.36,21.12,39.98,,,,,,,,,,,9.59,13.13,16.53,21.28,39.47,,,,,,,,,,
"PA",1.68,6.34,11.37,19.85,60.76,,,,,,2.45,6.31,11.23,19.71,60.3,2.43,6.45,11.3,19.62,60.2,2.58,6.64,11.64,20.12,59.02,2.74,6.89,11.87,20.58,57.92,2.53,6.79,11.68,20.12,58.88,2.98,7.22,12.3,20.55,56.95,3.19,7.47,12.34,20.05,56.95,3.55,7.57,12.22,19.94,56.72,3.3,7.74,12.52,20.06,56.38,3.28,7.73,12.57,20.25,56.17,3.2,7.75,12.6,20.17,56.28,,,,,
"PE",3.35,7.75,12.9,20.84,55.16,3.33,7.52,12.58,20.54,56.03,3.16,7.15,11.97,19.53,58.19,3.5,7.23,11.78,19.07,58.42,4.19,8.28,13.16,20.7,53.67,4.08,8.15,13.02,20.62,54.13,4.02,8.21,13.15,20.74,53.88,3.74,8.13,13.16,20.83,54.14,4.18,8.77,13.87,21.59,51.59,4.39,8.94,13.95,21.54,51.18,4.63,9.35,14.35,21.59,50.08,4.26,9.1,14.43,21.82,50.39,4.22,9.23,14.54,21.93,50.08,,,,,
"PH",5.37,8.75,13.17,20.41,52.3,,,,,,,,,,,5.44,9.03,13.68,21.17,50.68,,,,,,,,,,,5.6,9.08,13.68,21.23,50.41,,,,,,,,,,,5.98,9.42,13.87,21.04,49.69,,,,,,,,,,,5.89,9.4,13.91,21.15,49.65,,,,,
"PW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PL",7.87,12.31,16.49,22.28,41.05,7.84,12.3,16.52,22.45,40.89,7.6,12.01,16.22,22.26,41.91,,,,,,7.08,11.54,16.06,22.63,42.69,7.51,11.82,16.15,22.34,42.18,7.68,12.01,16.32,22.41,41.58,7.77,12.13,16.34,22.23,41.53,7.75,12.1,16.31,22.09,41.75,7.83,12.12,16.25,22.14,41.66,7.86,12.19,16.36,22.25,41.34,7.89,12.3,16.6,22.35,40.86,,,,,,,,,,
"PR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PY",,,,,,3.03,7.05,11.81,19.08,59.03,2.84,6.58,11.14,18.4,61.04,3.23,6.98,11.24,18.65,59.9,3.83,7.71,11.97,19.11,57.38,3.76,7.92,12.32,19.88,56.12,3.39,7.48,12.01,19.17,57.95,3.59,7.94,12.41,19.43,56.63,3.97,7.99,12.39,19.69,55.96,3.75,8.25,13.2,20.71,54.09,3.57,7.94,12.69,19.52,56.28,3.36,7.61,12.5,19.68,56.85,4.06,8.71,13.84,20.65,52.74,,,,,
"PF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RO",,,,,,8.41,13.33,17.52,22.78,37.96,8.18,13.13,17.41,22.77,38.51,8.4,13.17,17.31,22.68,38.44,8.26,13.1,17.34,22.87,38.43,8.37,13.18,17.35,22.67,38.43,8.22,12.94,17.18,22.65,39.01,8.28,13.07,17.16,22.6,38.89,8.45,13.18,17.41,22.86,38.1,8.74,13.5,17.61,23.01,37.14,8.65,13.56,17.75,23.17,36.87,8.94,13.77,17.97,23.15,36.17,8.91,13.79,17.85,23.17,36.28,,,,,
"RU",,,,,,6.12,10.5,15.23,21.95,46.2,6.65,11.06,15.55,22.55,44.19,6.42,10.84,15.34,22.18,45.22,5.83,10.15,14.81,22.11,47.1,6.36,10.81,15.35,22.29,45.19,6.18,10.7,15.32,22.42,45.38,6.37,10.67,15,21.75,46.21,8.19,11.98,15.68,21.34,42.81,6.46,10.58,14.76,21.21,46.99,,,,,,,,,,,,,,,,,,,,
"RW",4.78,8.18,11.94,17.94,57.16,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,7.87,11.5,17.42,58.61,,,,,,,,,,,,,,,,,,,,,5.16,8.28,11.91,17.81,56.84,,,,,,,,,,
"SA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.81,11.65,16.4,22.73,42.41,,,,,,,,,,,,,,,,,,,,
"SN",,,,,,6.57,10.18,14.33,20.53,48.39,,,,,,,,,,,,,,,,6.22,10.61,15.32,21.97,45.88,,,,,,,,,,,,,,,,,,,,,,,,,,6.04,10.32,15.01,21.76,46.87,,,,,,,,,,
"SG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SL",,,,,,,,,,,,,,,,6.8,10.49,14.76,21.11,46.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.81,11.56,15.63,21.39,43.61,,,,,,,,,,
"SV",2.45,7.54,12.75,20.88,56.38,2.27,7.26,12.67,20.95,56.85,2.36,7.44,12.84,21.4,55.96,2.73,8.1,13.37,21.47,54.33,3.93,8.84,13.62,21.53,52.08,4.04,8.7,13.4,21.07,52.79,4.89,9.35,13.85,20.76,51.15,5.18,9.4,13.66,20.51,51.25,4.68,8.98,13.42,20.76,52.16,4.85,9.22,13.75,20.44,51.74,4.74,9.44,14.22,21.6,50,5.56,10,14.44,21.26,48.74,5.7,10.18,14.67,21.31,48.14,,,,,
"SM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RS",,,,,,,,,,,7.97,12.46,16.57,22.1,40.9,7.82,12.42,16.57,22.27,40.92,7.8,12.33,16.41,22.44,41.02,7.41,12.4,16.74,22.36,41.09,8.44,13.27,17.34,22.63,38.32,8.56,13.35,17.26,22.66,38.17,9.05,13.56,17.39,22.53,37.47,8.76,13.44,17.45,22.83,37.52,8.37,13.26,17.36,22.81,38.2,,,,,,,,,,,,,,,
"SS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ST",,,,,,5.23,8.5,12.23,17.69,56.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49,11.85,16.38,22.63,41.65,,,,,,,,,,,,,,,
"SR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SK",,,,,,,,,,,,,,,,,,,,,9.16,13.41,17.08,21.94,38.41,8.84,13.26,17.07,21.97,38.86,9.65,13.75,17.25,21.74,37.61,,,,,,9.87,14.07,17.34,21.7,37.02,10.09,14.09,17.6,22,36.22,8.51,14.46,18.24,22.72,36.07,8.63,14.48,18.44,23.01,35.44,,,,,,,,,,
"SI",,,,,,,,,,,8.65,13.22,17.47,22.9,37.76,8.12,12.71,17.13,22.91,39.13,8.22,12.75,17,22.6,39.43,9.9,14.63,18.19,22.69,34.59,9.88,14.73,18.2,22.71,34.48,,,,,,10.21,14.88,18.3,22.58,34.03,,,,,,9.69,14.65,18.23,22.67,34.76,9.73,14.71,18.22,22.56,34.78,,,,,,,,,,
"SE",9.12,13.97,17.56,22.7,36.65,,,,,,,,,,,,,,,,,,,,,9.52,14.32,17.79,22.7,35.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SZ",,,,,,4.65,7.23,11.02,17.93,59.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,7.37,12,19.97,56.61,,,,,,,,,,,,,,,
"SX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SC",5.68,10.11,14.48,20.82,48.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.71,5.66,8.32,12.68,69.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SY",,,,,,,,,,,,,,,,,,,,,7.68,11.43,15.53,21.43,43.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TD",,,,,,,,,,,,,,,,6.26,10.4,15.03,21.75,46.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.88,9.67,14.76,21.98,48.71,,,,,,,,,,
"TG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,9.59,14.06,21.23,49.02,,,,,,,,,,,,,,,,,,,,,4.84,8.61,13.51,21.47,51.57,,,,,,,,,,
"TH",6.2,9.61,13.6,20.74,49.85,,,,,,6.34,9.89,13.97,20.77,49.03,,,,,,,,,,,,,,,,6.08,9.77,14.03,20.97,49.15,,,,,,6.6,10.12,14.33,21.26,47.69,,,,,,6.76,10.5,14.61,21.45,46.68,,,,,,,,,,,,,,,
"TJ",,,,,,,,,,,,,,,,7.91,12.31,16.49,22.39,40.9,7.78,12.28,16.68,22.38,41.87,,,,,,,,,,,7.43,13.03,17.13,22.69,39.72,,,,,,8.35,12.85,17.23,22.86,39.27,,,,,,,,,,,,,,,,,,,,
"TM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.09,12.79,16.57,21.72,39.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
