"id","year","income-share-bottom-20pc","income-share-second-20pc","income-share-third-20pc","income-share-fourth-20pc","income-share-highest-20pc"
"MA",2000,,,,,
"MC",2000,,,,,
"MD",2000,,,,,
"MG",2000,,,,,
"MV",2000,,,,,
"MX",2000,3.98,7.72,12.29,19.43,56.58
"MH",2000,,,,,
"MK",2000,6.47,12.24,17.06,23.02,41.21
"ML",2000,,,,,
"MT",2000,,,,,
"MM",2000,,,,,
"ME",2000,,,,,
"MN",2000,,,,,
"MP",2000,,,,,
"MZ",2000,,,,,
"MR",2000,6.18,10.53,15.35,22.28,45.66
"MU",2000,,,,,
"MW",2000,,,,,
"MY",2000,,,,,
"NA",2000,,,,,
"NC",2000,,,,,
"NE",2000,,,,,
"NG",2000,,,,,
"NI",2000,,,,,
"NL",2000,,,,,
"NO",2000,9.55,13.97,17.28,22.03,37.17
"NP",2000,,,,,
"NZ",2000,,,,,
"OM",2000,,,,,
"PK",2000,,,,,
"PA",2000,1.68,6.34,11.37,19.85,60.76
"PE",2000,3.35,7.75,12.9,20.84,55.16
"PH",2000,5.37,8.75,13.17,20.41,52.3
"PW",2000,,,,,
"PG",2000,,,,,
"PL",2000,7.87,12.31,16.49,22.28,41.05
"PR",2000,,,,,
"KP",2000,,,,,
"PT",2000,,,,,
"PY",2000,,,,,
"PF",2000,,,,,
"QA",2000,,,,,
"RO",2000,,,,,
"RU",2000,,,,,
"RW",2000,4.78,8.18,11.94,17.94,57.16
"SA",2000,,,,,
"SD",2000,,,,,
"SN",2000,,,,,
"SG",2000,,,,,
"SB",2000,,,,,
"SL",2000,,,,,
"SV",2000,2.45,7.54,12.75,20.88,56.38
"SM",2000,,,,,
"SO",2000,,,,,
"RS",2000,,,,,
"SS",2000,,,,,
"ST",2000,,,,,
"SR",2000,,,,,
"SK",2000,,,,,
"SI",2000,,,,,
"SE",2000,9.12,13.97,17.56,22.7,36.65
"SZ",2000,,,,,
"SX",2000,,,,,
"SC",2000,5.68,10.11,14.48,20.82,48.91
"SY",2000,,,,,
"TC",2000,,,,,
"TD",2000,,,,,
"TG",2000,,,,,
"TH",2000,6.2,9.61,13.6,20.74,49.85
"TJ",2000,,,,,
"TM",2000,,,,,
"TL",2000,,,,,
"TO",2000,,,,,
"TT",2000,,,,,
"TN",2000,5.96,10.2,14.89,21.64,47.31
"TR",2000,,,,,
"TV",2000,,,,,
"TZ",2000,7.33,11.83,16.28,22.25,42.31
"UG",2000,,,,,
"UA",2000,,,,,
"UY",2000,4.68,9.31,14.38,21.9,49.73
"US",2000,5.35,10.66,15.65,22.43,45.91
"UZ",2000,,,,,
"VC",2000,,,,,
"VE",2000,,,,,
"VI",2000,,,,,
"VN",2000,,,,,
"VU",2000,,,,,
"PS",2000,,,,,
"WS",2000,,,,,
"YE",2000,,,,,
"ZA",2000,3.06,5.6,9.88,18.81,62.65
"CD",2000,,,,,
"ZM",2000,,,,,
"ZW",2000,,,,,
"AW",2001,,,,,
"AD",2001,,,,,
"AF",2001,,,,,
"AO",2001,,,,,
"AL",2001,,,,,
"AE",2001,,,,,
"AR",2001,2.58,7.09,12.27,21.06,57
"AM",2001,7.73,11.88,15.63,20.86,43.9
"AS",2001,,,,,
"AG",2001,,,,,
"AU",2001,6.94,12.16,16.51,23.24,41.15
"AT",2001,,,,,
"AZ",2001,7.47,11.37,15.48,21.26,44.42
"BI",2001,,,,,
"BE",2001,,,,,
"BJ",2001,,,,,
"BF",2001,,,,,
"BD",2001,,,,,
"BG",2001,6.58,12.55,17.18,23.02,40.67
"BH",2001,,,,,
"BS",2001,,,,,
"BA",2001,8.79,13.3,16.99,22.13,38.79
"BY",2001,8.89,13.6,17.47,22.7,37.34
"BZ",2001,,,,,
"BM",2001,,,,,
"BO",2001,1.61,6.14,11.15,19.15,61.95
"BR",2001,2.4,5.9,10.29,17.97,63.44
"BB",2001,,,,,
"BN",2001,,,,,
"BT",2001,,,,,
"BW",2001,,,,,
"CF",2001,,,,,
"CA",2001,,,,,
"CH",2001,,,,,
"CL",2001,,,,,
"CN",2001,,,,,
"CI",2001,,,,,
"CM",2001,6.17,9.95,14.27,20.71,48.9
"CG",2001,,,,,
"CO",2001,2.35,6.82,10.98,18.13,61.72
"KM",2001,,,,,
"CV",2001,,,,,
"CR",2001,3.31,7.94,12.72,20.5,55.53
"CU",2001,,,,,
"CW",2001,,,,,
"KY",2001,,,,,
"CY",2001,,,,,
"CZ",2001,,,,,
"DE",2001,,,,,
"DJ",2001,,,,,
"DM",2001,,,,,
"DK",2001,,,,,
"DO",2001,4.05,7.97,12.53,19.8,55.65
"DZ",2001,,,,,
"EC",2001,,,,,
"EG",2001,,,,,
"ER",2001,,,,,
"ES",2001,,,,,
"EE",2001,7.03,11.57,15.85,22.14,43.41
"ET",2001,,,,,
"FI",2001,,,,,
"FJ",2001,,,,,
"FR",2001,,,,,
"FO",2001,,,,,
"FM",2001,,,,,
"GA",2001,,,,,
"GB",2001,,,,,
"GE",2001,5.79,10.87,15.39,22.13,45.82
"GH",2001,,,,,
"GN",2001,,,,,
"GM",2001,,,,,
"GW",2001,,,,,
"GQ",2001,,,,,
"GR",2001,,,,,
"GD",2001,,,,,
"GL",2001,,,,,
"GT",2001,,,,,
"GU",2001,,,,,
"GY",2001,,,,,
"HK",2001,,,,,
"HN",2001,2.74,7.03,12.02,20.47,57.74
"HR",2001,8.26,12.68,16.93,22.5,39.63
"HT",2001,2.38,6.24,10.36,17.65,63.37
"HU",2001,9.39,13.95,17.7,22.49,36.47
"ID",2001,,,,,
"IN",2001,,,,,
"IE",2001,,,,,
"IR",2001,,,,,
"IQ",2001,,,,,
"IS",2001,,,,,
"IL",2001,5.71,10.46,15.86,23.04,44.93
"IT",2001,,,,,
"JM",2001,0.01,1.85,8.53,19.7,69.91
"JO",2001,,,,,
"JP",2001,,,,,
"KZ",2001,7.28,11.99,16.66,23.03,41.04
"KE",2001,,,,,
"KG",2001,8.83,12.88,16.76,22.52,39.01
"KH",2001,,,,,
"KI",2001,,,,,
"KN",2001,,,,,
"KR",2001,,,,,
"XK",2001,,,,,
"KW",2001,,,,,
"LA",2001,,,,,
"LB",2001,,,,,
"LR",2001,,,,,
"LY",2001,,,,,
"LC",2001,,,,,
"LI",2001,,,,,
"LK",2001,,,,,
"LS",2001,,,,,
"LT",2001,7.77,12.65,16.88,22.75,39.95
"LU",2001,,,,,
"LV",2001,,,,,
"MO",2001,,,,,
"MF",2001,,,,,
"MA",2001,6.47,10.2,14.55,21.08,47.7
"MC",2001,,,,,
"MD",2001,6.68,11.13,15.4,21.69,45.1
"MG",2001,4.94,8.29,12.86,20.58,53.33
"MV",2001,,,,,
"MX",2001,,,,,
"MH",2001,,,,,
"MK",2001,,,,,
"ML",2001,6.13,10.19,14.95,22.08,46.65
"MT",2001,,,,,
"MM",2001,,,,,
"ME",2001,,,,,
"MN",2001,,,,,
"MP",2001,,,,,
"MZ",2001,,,,,
"MR",2001,,,,,
"MU",2001,,,,,
"MW",2001,,,,,
"MY",2001,,,,,
"NA",2001,,,,,
"NC",2001,,,,,
"NE",2001,,,,,
"NG",2001,,,,,
"NI",2001,5.63,9.75,14.33,21.02,49.27
"NL",2001,,,,,
"NO",2001,,,,,
"NP",2001,,,,,
"NZ",2001,,,,,
"OM",2001,,,,,
"PK",2001,,,,,
"PA",2001,,,,,
"PE",2001,3.33,7.52,12.58,20.54,56.03
"PH",2001,,,,,
"PW",2001,,,,,
"PG",2001,,,,,
"PL",2001,7.84,12.3,16.52,22.45,40.89
"PR",2001,,,,,
"KP",2001,,,,,
"PT",2001,,,,,
"PY",2001,3.03,7.05,11.81,19.08,59.03
"PF",2001,,,,,
"QA",2001,,,,,
"RO",2001,8.41,13.33,17.52,22.78,37.96
"RU",2001,6.12,10.5,15.23,21.95,46.2
"RW",2001,,,,,
"SA",2001,,,,,
"SD",2001,,,,,
"SN",2001,6.57,10.18,14.33,20.53,48.39
"SG",2001,,,,,
"SB",2001,,,,,
"SL",2001,,,,,
"SV",2001,2.27,7.26,12.67,20.95,56.85
"SM",2001,,,,,
"SO",2001,,,,,
"RS",2001,,,,,
"SS",2001,,,,,
"ST",2001,5.23,8.5,12.23,17.69,56.35
"SR",2001,,,,,
"SK",2001,,,,,
"SI",2001,,,,,
"SE",2001,,,,,
"SZ",2001,4.65,7.23,11.02,17.93,59.17
"SX",2001,,,,,
"SC",2001,,,,,
"SY",2001,,,,,
"TC",2001,,,,,
"TD",2001,,,,,
"TG",2001,,,,,
"TH",2001,,,,,
"TJ",2001,,,,,
"TM",2001,,,,,
"TL",2001,,,,,
"TO",2001,,,,,
"TT",2001,,,,,
"TN",2001,,,,,
"TR",2001,,,,,
"TV",2001,,,,,
"TZ",2001,,,,,
"UG",2001,,,,,
"UA",2001,,,,,
"UY",2001,4.44,8.77,13.75,21.81,51.23
"US",2001,,,,,
"UZ",2001,,,,,
"VC",2001,,,,,
"VE",2001,3.97,8.82,13.72,21.52,51.97
"VI",2001,,,,,
"VN",2001,,,,,
"VU",2001,,,,,
"PS",2001,,,,,
"WS",2001,,,,,
"YE",2001,,,,,
"ZA",2001,,,,,
"CD",2001,,,,,
"ZM",2001,,,,,
"ZW",2001,,,,,
"AW",2002,,,,,
"AD",2002,,,,,
"AF",2002,,,,,
"AO",2002,,,,,
"AL",2002,8.35,12.58,16.5,22.21,40.36
"AE",2002,,,,,
"AR",2002,2.76,6.94,12.18,20.34,57.78
"AM",2002,8.05,12.03,15.6,20.81,43.51
"AS",2002,,,,,
"AG",2002,,,,,
"AU",2002,,,,,
"AT",2002,,,,,
"AZ",2002,12.86,16.28,18.78,21.75,30.33
"BI",2002,,,,,
"BE",2002,,,,,
"BJ",2002,,,,,
"BF",2002,,,,,
"BD",2002,,,,,
"BG",2002,,,,,
"BH",2002,,,,,
"BS",2002,,,,,
"BA",2002,,,,,
"BY",2002,8.36,13.19,17.3,22.57,38.58
"BZ",2002,,,,,
"BM",2002,,,,,
"BO",2002,1.48,5.89,10.83,18.72,63.08
"BR",2002,2.6,6.04,10.4,18.03,62.93
"BB",2002,,,,,
"BN",2002,,,,,
"BT",2002,,,,,
"BW",2002,,,,,
"CF",2002,,,,,
"CA",2002,,,,,
"CH",2002,7.82,12.33,16.82,23.2,39.83
"CL",2002,,,,,
"CN",2002,5.47,9.37,14.33,22.19,48.64
"CI",2002,6.19,10.19,14.57,20.85,48.2
"CM",2002,,,,,
"CG",2002,,,,,
"CO",2002,2.93,6.55,10.61,18.04,61.87
"KM",2002,,,,,
"CV",2002,4.54,7.91,12.27,19.38,55.9
"CR",2002,3.42,8.09,12.77,20.24,55.48
"CU",2002,,,,,
"CW",2002,,,,,
"KY",2002,,,,,
"CY",2002,,,,,
"CZ",2002,,,,,
"DE",2002,,,,,
"DJ",2002,6.03,10.51,15.21,21.78,46.47
"DM",2002,,,,,
