"id","value.1990","value.1991","value.1992","value.1993","value.1994","value.1995","value.1996","value.1997","value.1998","value.1999","value.2000","value.2001","value.2002","value.2003","value.2004","value.2005","value.2006","value.2007","value.2008","value.2009","value.2010","value.2011","value.2012"
"AF",211100000,805280000,309060000,348810000,342500000,294560000,234670000,3.56e+08,257110000,216250000,241020000,733510000,2051200000,2201220000,2863380000,3570800000,3905930000,5590130000,5426520000,7044260000,7548400000,7627580000,7348670000
"AG",50890000,76200000,70790000,54060000,38720000,32540000,53620000,50690000,71920000,68040000,95080000,117790000,158030000,117750000,214280000,128270000,265590000,403250000,379210000,202740000,137840000,174430000,96250000
"AI",6070000,21040000,13280000,26280000,16340000,16480000,22620000,38940000,28660000,31890000,50030000,50640000,45450000,44840000,38780000,96840000,130960000,151490000,124680000,103210000,109460000,12220000,44250000
"AL",16560000,1042270000,1729030000,1916590000,1006750000,1154290000,1485300000,1074510000,1520890000,1555180000,1936550000,2056060000,2272230000,2114030000,2090870000,2910310000,2459940000,2411070000,3589780000,2939900000,3330600000,3589860000,3552750000
"AM",0,4120000,32170000,560430000,583520000,502220000,618580000,624440000,579430000,779580000,656080000,635160000,1211390000,1232580000,1352980000,1419530000,1533020000,2546460000,2578290000,3770400000,3946310000,4442950000,4561080000
"AO",3957950000,2093590000,5318350000,3741890000,4099090000,3470280000,5083170000,6522220000,6448840000,7135760000,7316900000,6107860000,7.543e+09,8730340000,11264310000,12199120000,2947070000,8883830000,6290510000,7032350000,7661080000,5328490000,4846330000
"AR",2675040000,7501780000,9850770000,24858290000,17498510000,2.909e+10,27391930000,37328490000,36681860000,39119870000,44153180000,16098970000,8373360000,12951710000,10474880000,42100010000,20682830000,24803090000,18106340000,23768510000,12604220000,24558320000,21066270000
"AZ",0,510000,21510000,62630000,826200000,7.67e+08,507680000,1034410000,1759110000,2146500000,2372850000,915940000,1497960000,4125170000,5543900000,6651140000,5224740000,3834300000,3.277e+09,3178070000,5691450000,5795590000,6996440000
"BA",20000,20000,25230000,107350000,662160000,1234370000,1177190000,1287850000,5362710000,6263560000,5310560000,4784510000,4875410000,4523150000,5699380000,5591790000,5054160000,6032160000,5590620000,5047760000,3469830000,3689830000,3599210000
"BD",4796190000,4745980000,4259530000,3866020000,4605750000,4454080000,4943930000,4943290000,5803440000,5429120000,5542780000,6106890000,7523100000,7053420000,7807830000,8529520000,12483390000,11789770000,17288520000,15298550000,15273020000,16463410000,20734030000
"BF",781330000,988210000,954160000,1040570000,873060000,716640000,776710000,640320000,655440000,750020000,968700000,1176480000,902980000,924380000,1326390000,998420000,3244280000,1535860000,1503590000,1358340000,1724250000,1270770000,1390690000
"BI",577040000,424170000,656190000,481700000,573510000,487280000,192490000,154680000,149770000,266650000,195880000,318860000,388480000,462380000,519940000,470900000,545410000,540340000,596100000,1694440000,712740000,614070000,656120000
"BJ",656410000,728760000,903620000,724530000,594750000,759520000,564620000,752400000,615660000,604600000,690320000,1025960000,729770000,655900000,835340000,894260000,2282650000,1032580000,1204370000,1259840000,1354320000,1282060000,990200000
"BO",1064340000,1754480000,1484360000,1414180000,1587910000,2398010000,2030020000,3251810000,2401260000,2497800000,3233620000,3589330000,3975160000,4490550000,3774050000,3580600000,4714320000,5999340000,4447550000,3478060000,3464950000,3325810000,3998600000
"BR",1.3254e+10,22649570000,56568140000,81966580000,69468860000,49870410000,79791050000,97658120000,1.35843e+11,1.37799e+11,1.44635e+11,1.4721e+11,1.21345e+11,1.14655e+11,91965660000,89016630000,1.21316e+11,1.73041e+11,1.24145e+11,1.69481e+11,1.88439e+11,1.61756e+11,1.57735e+11
"BT",92530000,122770000,108710000,120470000,121990000,110510000,107990000,134360000,190620000,1.07e+08,152020000,241670000,312140000,291680000,268570000,255800000,209770000,229050000,141280000,268610000,415500000,490990000,698840000
"BW",451520000,671260000,501390000,526950000,352230000,329320000,324760000,426140000,370990000,323940000,193370000,191670000,168240000,566540000,631470000,673970000,548520000,797220000,1404740000,3298950000,477580000,793350000,662190000
"BY",0,0,0,2460340000,1766350000,2020880000,1982470000,1088260000,1501920000,806290000,1493940000,1586240000,2087890000,1837570000,2685180000,2279280000,2749160000,8068700000,5681930000,7059830000,9784170000,9882590000,9090670000
"BZ",98560000,134320000,149130000,163870000,137680000,149600000,164870000,345450000,147320000,166160000,362890000,271040000,427940000,488300000,395180000,449700000,389580000,909670000,391330000,410710000,286340000,277170000,264240000
"CD",2866560000,1333210000,454740000,290380000,408200000,325370000,249480000,588930000,212440000,306580000,335820000,491590000,2447970000,12104510000,3059500000,2837150000,2975480000,1999070000,3871670000,4408590000,6893370000,10533580000,4896830000
"CF",529650000,387840000,331070000,335050000,272040000,250910000,292320000,166310000,205970000,240640000,178060000,149280000,110340000,86640000,151990000,131600000,299530000,277350000,363220000,947050000,343020000,377230000,291720000
"CG",1230720000,755850000,526380000,1676510000,1360160000,1708980000,868350000,1054430000,222710000,939960000,635520000,543810000,738660000,7.47e+08,546820000,3590500000,2252790000,2205010000,2806840000,2849320000,4075710000,2868810000,3751330000
"CI",3733220000,2769690000,2847020000,2639770000,4213040000,3609870000,6121830000,3412210000,2608930000,2475350000,1328730000,1031480000,3364350000,1083190000,825570000,856180000,1063310000,933500000,1952340000,3822860000,2505150000,3083360000,6114880000
"CK",70180000,37700000,67160000,66780000,28010000,22320000,17720000,23510000,16030000,11480000,9530000,70750000,9190000,10580000,13700000,11770000,56480000,15610000,10980000,10720000,26700000,32180000,29450000
"CL",2763070000,1977660000,2582830000,3915630000,4833930000,3342200000,4830800000,8561590000,7423230000,6.271e+09,9183900000,5776830000,4769350000,3944940000,5310680000,10479690000,7604040000,8350250000,16239300000,17943510000,16730980000,21108170000,34950340000
"CM",2062220000,1455750000,1886410000,1544180000,1668010000,1274440000,1151770000,2159450000,1748930000,1373940000,1105640000,1264040000,2009190000,2253420000,1893680000,1205930000,4482690000,2726900000,1721560000,1375250000,1902500000,1452210000,1786660000
"CN",30602770000,29164210000,53132190000,55880570000,78563240000,1.09304e+11,91923610000,1.26398e+11,78316200000,1.09793e+11,1.15648e+11,1.7789e+11,1.34664e+11,1.98159e+11,2.11582e+11,2.54806e+11,2.81623e+11,2.62556e+11,2.07232e+11,2.98859e+11,3.7303e+11,3.72132e+11,2.92175e+11
"CO",8756050000,8859130000,11597540000,11754010000,16928760000,13348710000,16886990000,17937290000,14379680000,25315190000,13488330000,24660860000,19255340000,32812270000,23657140000,25144210000,36149820000,28319120000,28254360000,34873780000,33565130000,35647710000,43028780000
"CR",1161780000,1399540000,840400000,1145980000,762850000,1357570000,1549390000,1805850000,2237960000,2166660000,2686380000,2022970000,1941680000,3321140000,2836490000,3.898e+09,2949420000,4760860000,5624760000,4812960000,4606500000,4475700000,6868960000
"CU",103070000,170360000,60340000,74080000,81910000,98760000,79640000,101890000,137030000,119020000,98030000,150510000,121650000,115270000,138050000,135320000,113470000,121600000,127040000,118300000,133100000,88850000,93270000
"CV",268760000,263680000,308210000,292960000,348470000,320450000,323930000,344020000,402210000,358490000,424510000,410590000,316460000,392690000,360910000,543890000,417020000,465910000,573810000,701010000,682810000,658860000,587590000
"DJ",335680000,316620000,289790000,257270000,222030000,195870000,196810000,155080000,149740000,142570000,203530000,130310000,197620000,196150000,221470000,265160000,330260000,386250000,439580000,571100000,324990000,290670000,299230000
"DM",54810000,46040000,57850000,68750000,74860000,96540000,144810000,68250000,107840000,85590000,138180000,125530000,150830000,148300000,127300000,89170000,86230000,130120000,128530000,123040000,140680000,108430000,111720000
"DO",1379940000,1251900000,1369300000,2382140000,1803050000,2088950000,2245820000,2192930000,2956920000,3906610000,4976110000,5179170000,6680330000,8688190000,6884920000,5334330000,7923480000,8056560000,7425230000,9271020000,8658890000,9220560000,8904950000
"DZ",13919620000,19968400000,21000920000,17135120000,16321500000,13149100000,9936650000,7225930000,6548910000,5944320000,5622430000,4987240000,8273220000,9885980000,10226800000,6945490000,5234510000,6196060000,5746170000,6312900000,5866480000,4508460000,4857880000
"EC",1901730000,2581350000,1241640000,6546320000,2722670000,3333290000,4702630000,6664880000,4779720000,7507650000,7840740000,8164970000,9243460000,7875710000,9256260000,10198210000,9592980000,9623840000,6100970000,6342520000,6954460000,7207590000,6082540000
"EG",17549310000,27963940000,25450520000,22031280000,15793270000,13859760000,11862330000,14929350000,13607650000,11281350000,9749550000,10639730000,10353560000,11016680000,13541550000,24118200000,20225620000,32801520000,29829240000,25247380000,31053330000,25878020000,30221120000
"ER",7130000,0,1450000,116580000,349060000,242090000,250850000,341670000,534030000,772310000,588440000,892770000,694640000,725350000,600860000,447420000,255130000,275380000,350530000,274780000,266590000,226110000,203090000
"ET",2007340000,2125640000,1945340000,1778970000,1660850000,1423800000,1283670000,1069400000,1475820000,1378060000,1324830000,1997590000,2562640000,2935840000,3818470000,4196450000,8295130000,3709570000,4466950000,6557490000,6935310000,6742300000,6879520000
"FJ",170750000,272950000,225380000,227700000,202910000,221870000,199950000,177730000,164830000,401420000,229370000,225210000,318240000,323740000,435580000,613580000,710130000,667320000,620810000,748500000,493840000,1127240000,806400000
"FM",0,7e+05,18240000,89270000,144160000,102150000,153410000,129860000,108770000,142530000,131660000,175910000,142310000,141620000,104210000,124710000,123620000,128680000,118610000,129960000,133570000,140110000,118800000
"GA",7.6e+08,596490000,382380000,499110000,1299720000,656770000,574810000,1241590000,249260000,698200000,221680000,495210000,269990000,350770000,706570000,910960000,547580000,1830880000,496090000,1283300000,1332330000,1272540000,1295180000
"GD",79970000,73410000,67540000,125710000,105340000,101120000,116230000,112660000,188290000,152970000,239070000,200140000,307550000,162280000,283150000,225750000,193140000,174200000,289630000,229720000,184060000,115260000,86950000
"GE",0,330000,54630000,2.9e+08,1030090000,588760000,428580000,1013770000,1857500000,1631080000,1114050000,1290740000,1233920000,1139690000,1671050000,1928170000,2863260000,3305910000,5309170000,5275820000,4274840000,5527020000,6515120000
"GH",1876120000,1967550000,1188710000,1274600000,1428640000,1643120000,1899230000,1702340000,1709740000,1374370000,1626780000,2264890000,1656250000,1976680000,3380170000,2332400000,8057940000,3010280000,2750990000,4415240000,7348530000,5805460000,7242140000
"GM",193290000,188760000,232080000,194270000,145830000,106250000,141810000,122820000,115610000,115620000,143630000,139400000,224090000,269400000,256240000,269220000,277960000,502620000,484630000,333650000,3.38e+08,295110000,358870000
"GN",744640000,883140000,773400000,794090000,629760000,797840000,519010000,956910000,662270000,629380000,503920000,602130000,516450000,683920000,566420000,649300000,692850000,563090000,1087460000,772860000,551600000,563340000,2690460000
"GQ",98120000,107200000,133840000,89400000,69790000,68630000,115570000,292740000,97090000,313920000,202200000,190490000,980230000,357130000,749340000,410190000,1065930000,542170000,1276480000,35060000,1742930000,2799610000,1997370000
"GT",1361890000,1525280000,1888640000,1709980000,1606250000,1983690000,2024120000,2186380000,2142610000,2467600000,2074340000,3036080000,4692820000,5706320000,6418230000,7535580000,9751750000,10565040000,8049050000,7017350000,8715670000,7894460000,8008840000
"GW",221450000,256480000,224430000,189960000,340400000,163320000,364750000,192600000,157450000,89400000,160690000,132960000,145890000,281900000,189680000,138510000,169830000,209810000,211170000,224630000,362240000,420640000,156860000
"GY",816430000,659750000,308730000,395440000,217620000,264510000,337020000,540190000,385950000,369030000,318620000,320630000,316040000,388750000,526450000,769110000,1235530000,1212760000,845670000,923990000,1190170000,1281230000,1099850000
"HN",2048490000,2168470000,1883080000,2268810000,1954520000,1274460000,2043190000,2396170000,1989430000,2412020000,2188070000,2608520000,2767300000,2737120000,3528020000,5564330000,6322590000,6476470000,6222080000,5185870000,5180080000,5515250000,6112400000
"HT",388580000,857230000,164510000,184390000,948250000,1052950000,577270000,659900000,1255070000,1406510000,1512680000,1708870000,1628800000,2278830000,2222850000,2206550000,2551190000,2523240000,3012600000,3987310000,6060700000,3804450000,3432390000
"ID",44660690000,48545630000,42095520000,22726310000,45978230000,47564460000,63295520000,48792920000,41764710000,23106470000,19343570000,17157750000,16418140000,25887660000,36239530000,4.2892e+10,57209950000,58506500000,51790150000,75104620000,66532910000,70044370000,90949470000
