"series","country-year"
"id","total-unemployment"
"type","simple"
"parent",
"name","Total unemployment %"
"columns","id, year, value"
"description","Total unemployment %"
"default-scale","lin"
"theme","employment"
"theme-order",
"global-picture-color-ramp",
"uom","percent"
"uom_display","%"
"source","World Bank World Development Indicators"
"calculation",
"format",
"highorlow","lowisbetter"
"range",
"interpolated",
"missing-donor","NA"
"missing-recipient","NA"
"laymans-decription",
"laymans-heading",
