"id","entity-name","year","flow-name","value"
"AU","Australia",1960,"out-debt-relief",0
"AU","Australia",1960,"out-oda-net-excl-debt-relief",765720973.1
"AU","Australia",1961,"out-debt-relief",0
"AU","Australia",1961,"out-oda-net-excl-debt-relief",911580554.3
"AU","Australia",1962,"out-oda-net-excl-debt-relief",944522244.5
"AU","Australia",1962,"out-debt-relief",0
"AU","Australia",1963,"out-oda-net-excl-debt-relief",1189638853
"AU","Australia",1963,"out-debt-relief",0
"AU","Australia",1964,"out-oda-net-excl-debt-relief",1207852150
"AU","Australia",1964,"out-debt-relief",0
"AU","Australia",1965,"out-debt-relief",0
"AU","Australia",1965,"out-oda-net-excl-debt-relief",1394510503
"AU","Australia",1966,"out-debt-relief",0
"AU","Australia",1966,"out-oda-net-excl-debt-relief",1503751352
"AU","Australia",1967,"out-debt-relief",0
"AU","Australia",1967,"out-oda-net-excl-debt-relief",1770698319
"AU","Australia",1968,"out-debt-relief",0
"AU","Australia",1968,"out-oda-net-excl-debt-relief",1698640439
"AU","Australia",1969,"out-debt-relief",0
"AU","Australia",1969,"out-oda-net-excl-debt-relief",1891621949
"AU","Australia",1970,"out-debt-relief",0
"AU","Australia",1970,"out-oda-net-excl-debt-relief",2047990020
"AU","Australia",1971,"out-debt-relief",0
"AU","Australia",1971,"out-oda-net-excl-debt-relief",1922427297
"AU","Australia",1972,"out-oda-net-excl-debt-relief",2214681383
"AU","Australia",1972,"out-debt-relief",0
"AU","Australia",1973,"out-debt-relief",0
"AU","Australia",1973,"out-oda-net-excl-debt-relief",1768374487
"AU","Australia",1974,"out-debt-relief",0
"AU","Australia",1974,"out-oda-net-excl-debt-relief",2131316038
"AU","Australia",1975,"out-oda-net-excl-debt-relief",2608166111
"AU","Australia",1975,"out-debt-relief",0
"AU","Australia",1976,"out-debt-relief",0
"AU","Australia",1976,"out-oda-net-excl-debt-relief",1696411073
"AU","Australia",1977,"out-oda-net-excl-debt-relief",1807862570
"AU","Australia",1977,"out-debt-relief",0
"AU","Australia",1978,"out-debt-relief",0
"AU","Australia",1978,"out-oda-net-excl-debt-relief",2380056237
"AU","Australia",1979,"out-oda-net-excl-debt-relief",2379721057
"AU","Australia",1979,"out-debt-relief",757294.1245
"AU","Australia",1980,"out-oda-net-excl-debt-relief",2257590933
"AU","Australia",1980,"out-debt-relief",0
"AU","Australia",1981,"out-debt-relief",0
"AU","Australia",1981,"out-oda-net-excl-debt-relief",1979003966
"AU","Australia",1982,"out-oda-net-excl-debt-relief",2722864066
"AU","Australia",1982,"out-debt-relief",0
"AU","Australia",1983,"out-debt-relief",0
"AU","Australia",1983,"out-oda-net-excl-debt-relief",2408492364
"AU","Australia",1984,"out-debt-relief",0
"AU","Australia",1984,"out-oda-net-excl-debt-relief",2405839897
"AU","Australia",1985,"out-debt-relief",0
"AU","Australia",1985,"out-oda-net-excl-debt-relief",2763630866
"AU","Australia",1986,"out-debt-relief",0
"AU","Australia",1986,"out-oda-net-excl-debt-relief",2736108542
"AU","Australia",1987,"out-debt-relief",0
"AU","Australia",1987,"out-oda-net-excl-debt-relief",2031411418
"AU","Australia",1988,"out-oda-net-excl-debt-relief",2940577959
"AU","Australia",1988,"out-debt-relief",0
"AU","Australia",1989,"out-debt-relief",0
"AU","Australia",1989,"out-oda-net-excl-debt-relief",2498596275
"AU","Australia",1990,"out-oda-net-excl-debt-relief",2262392960
"AU","Australia",1990,"out-debt-relief",0
"AU","Australia",1991,"out-debt-relief",0
"AU","Australia",1991,"out-oda-net-excl-debt-relief",2443314373
"AU","Australia",1992,"out-oda-net-excl-debt-relief",2477985550
"AU","Australia",1992,"out-debt-relief",10272433.52
"AU","Australia",1993,"out-debt-relief",12129454.32
"AU","Australia",1993,"out-oda-net-excl-debt-relief",2480316562
"AU","Australia",1994,"out-debt-relief",10319749.52
"AU","Australia",1994,"out-oda-net-excl-debt-relief",2608880677
"AU","Australia",1995,"out-debt-relief",11988546.99
"AU","Australia",1995,"out-oda-net-excl-debt-relief",2746855617
"AU","Australia",1996,"out-debt-relief",14833876.95
"AU","Australia",1996,"out-oda-net-excl-debt-relief",2284909373
"AU","Australia",1997,"out-debt-relief",0
"AU","Australia",1997,"out-oda-net-excl-debt-relief",2361547012
"AU","Australia",1998,"out-oda-net-excl-debt-relief",2489080805
"AU","Australia",1998,"out-debt-relief",33356892.4
"AU","Australia",1999,"out-debt-relief",11032498.74
"AU","Australia",1999,"out-oda-net-excl-debt-relief",2467871508
"AU","Australia",2000,"out-oda-net-excl-debt-relief",2631835524
"AU","Australia",2000,"out-debt-relief",22479152.6
