"district_id","district_name","year","value_rural","value_urban"
"d314","Abim",2014,90790,17176
"d301","Adjumani",2014,184864,40387
"d322","Agago",2014,198799,28993
"d323","Alebtong",2014,220835,6706
"d315","Amolatar",2014,125562,21604
"d324","Amudat",2014,93982,11785
"d216","Amuria",2014,253543,17385
"d316","Amuru",2014,177395,9301
"d302","Apac",2014,346032,22594
"d303","Arua",2014,720131,61946
"d217","Budaka",2014,183720,23877
"d218","Bududa",2014,196400,13773
"d201","Bugiri",2014,318681,64232
"d420","Buhweju",2014,117768,2952
"d117","Buikwe",2014,214149,208622
"d219","Bukedea",2014,192691,10909
"d118","Bukomansimbi",2014,138588,12825
"d220","Bukwo",2014,77262,12094
"d225","Bulambuli",2014,157643,16865
"d416","Buliisa",2014,105923,7238
"d401","Bundibugyo",2014,188726,35661
"d402","Bushenyi",2014,186655,47785
"d202","Busia",2014,268844,54818
"d221","Butaleja",2014,210952,33201
"d119","Butambala",2014,85603,15237
"d120","Buvuma",2014,79954,9936
"d226","Buyende",2014,299836,23231
"d317","Dokolo",2014,162974,20119
"d121","Gomba",2014,147483,12439
"d304","Gulu",2014,286545,149800
"d403","Hoima",2014,467021,105965
"d417","Ibanda",2014,184860,64765
"d203","Iganga",2014,411460,92737
"d418","Isingiro",2014,430982,55378
"d204","Jinja",2014,298858,172384
"d318","Kaabong",2014,156319,11560
"d404","Kabale",2014,452093,76138
"d405","Kabarole",2014,347082,122154
"d213","Kaberamaido",2014,210994,4032
"d101","Kalangala",2014,49313,4980
"d222","Kaliro",2014,219438,16761
"d122","Kalungu",2014,151095,32137
"d102","Kampala",2014,,1507080
"d205","Kamuli",2014,426958,59361
"d413","Kamwenge",2014,391546,22908
"d414","Kanungu",2014,201006,51138
"d206","Kapchorwa",2014,91762,13424
"d406","Kasese",2014,574011,120981
"d207","Katakwi",2014,156943,9288
"d112","Kayunga",2014,340974,27088
"d407","Kibaale",2014,723308,61780
"d103","Kiboga",2014,114698,33520
"d227","Kibuku",2014,184597,17436
"d419","Kiruhura",2014,296822,31255
"d421","Kiryandongo",2014,210594,55603
"d408","Kisoro",2014,256251,25454
"d305","Kitgum",2014,128455,75593
"d319","Koboko",2014,148585,57910
"d325","Kole",2014,230479,8848
"d306","Kotido",2014,167198,13852
"d208","Kumi",2014,202774,36494
"d228","Kween",2014,87210,6457
"d123","Kyankwanzi",2014,190200,24493
"d422","Kyegegwa",2014,255337,26300
"d415","Kyenjojo",2014,357391,64813
"d326","Lamwo",2014,112637,21742
"d307","Lira",2014,306770,101273
"d229","Luuka",2014,227749,10271
"d104","Luwero",2014,361284,95674
"d124","Lwengo",2014,232011,42942
"d114","Lyantonde",2014,79930,13823
"d223","Manafwa",2014,302541,51284
"d320","Maracha",2014,176834,9300
"d105","Masaka",2014,193711,103293
"d409","Masindi",2014,196675,94438
"d214","Mayuge",2014,439692,33547
"d209","Mbale",2014,365869,123091
"d410","Mbarara",2014,277471,195158
"d423","Mitooma",2014,172048,11396
"d115","Mityana",2014,221328,107636
"d308","Moroto",2014,89219,14213
"d309","Moyo",2014,128432,10580
"d106","Mpigi",2014,207242,43306
"d107","Mubende",2014,572023,112314
"d108","Mukono",2014,434062,162742
"d311","Nakapiripirit",2014,152961,3729
"d116","Nakaseke",2014,157969,39400
"d109","Nakasongola",2014,157059,24740
"d230","Namayingo",2014,199717,15725
"d224","Namutumba",2014,233943,18619
"d327","Napak",2014,137499,4725
"d310","Nebbi",2014,338665,58129
"d231","Ngora",2014,126748,15171
"d424","Ntoroko",2014,43216,23789
"d411","Ntungamo",2014,423211,60630
"d328","Nwoya",2014,119913,13593
"d329","Otuke",2014,98041,6213
"d321","Oyam",2014,365209,18435
"d312","Pader",2014,164602,13402
"d210","Pallisa",2014,348951,37939
"d110","Rakai",2014,482248,34061
"d425","Rubirizi",2014,111912,17237
"d412","Rukungiri",2014,271088,43606
"d111","Sembabule",2014,235568,17029
"d232","Serere",2014,273701,12202
"d426","Sheema",2014,159963,47380
"d215","Sironko",2014,208173,34249
"d211","Soroti",2014,247187,49646
"d212","Tororo",2014,444937,72145
"d113","Wakiso",2014,814517,1182901
"d313","Yumbe",2014,449819,35003
"d330","Zombo",2014,195497,44585
