"series","country-year"
"id","rems-pp"
"type","simple"
"parent",
"name","Remittances per person"
"columns","id, year, value"
"description","Remittances per person"
"default-scale","lin"
"themes","intlmix"
"map-theme","intlmix"
"theme-order","5"
"global-picture-color-ramp","blue"
"uom","unit"
"uom_display",
"source","Development Initiatives calculations based on World Bank"
"calculation","Remittances received divided by the total population of each country"
"format",
"highorlow","highisbetter"
"range","50, 100, 200, 300, 500"
"interpolated",
"missing-donor","NR"
"missing-recipient","NA"
"laymans-decription","The amount of remittances received per person per country in USD"
"laymans-heading","Remittances per person received "
