"series","country-year"
"id","profits-pct-fdi"
"type","simple"
"parent",
"name","Profits on foreign direct investment as a proportion of new investments"
"columns","id, year, value"
"description","The outflow of profits on FDI as a proportion of new investments in the same year (note that negative values are set to zero)"
"default-scale","lin"
"theme","intlmix"
"uom","percent"
"uom_display","%"
"source","Development Initiatives calculations based on World Bank and UNCTAD"
"calculation","This indicator is the ratio of the outflow of profits on foreign direct investment leaving each country to the total of new foreign direct investments in the same countries each year."
"format",
"highorlow","lowisbetter"
"range","25, 50, 75, 100, 200"
"interpolated",
"missing-donor","NR"
"missing-recipient","NA"
"laymans-decription","The outflow of profits on FDI as a proportion of new investments in the same year"
"laymans-heading","Profits on FDI as a proportion of new investments"
"theme-order","4"
