"district_id","2013","2014","2015","2016","2017"
"d314",,65,73,58,30
"d301",,70,40,60,55
"d322",,25,35,65,40
"d323",,55,60,50,
"d315",,70,65,55,45
"d324",,10,30,43,45
"d216",,88,70,60,70
"d316",,60,55,43,55
"d302",,50,53,70,45
"d303",,45,50,55,45
"d217",,30,30,35,45
"d218",,40,48,35,60
"d201",,51,60,53,50
"d420",,40,40,50,60
"d117",,68,40,33,50
"d219",,45,70,90,75
"d118",,50,78,50,37
"d220",,45,48,28,58
"d225",,38,28,48,72
"d416",,45,62,68,62
"d401",,50,48,30,40
"d402",,80,73,65,65
"d202",,48,50,52,65
"d221",,33,25,48,52
"d119",,43,45,43,53
"d120",,40,40,30,37
"d226",,55,45,43,60
"d317",,75,65,65,75
"d121",,30,30,30,42
"d304",,63,73,75,65
"d403",,53,50,65,45
"d417",,35,35,70,35
"d203",,38,48,43,37
"d418",,48,65,50,68
"d204",,48,45,30,35
"d318",,30,25,28,66
"d404",,40,45,50,60
"d405",,25,45,55,
"d213",,50,68,65,55
"d101",,55,60,45,45
"d222",,45,35,50,45
"d122",,50,65,68,50
"d102",,,,,
"d205",,73,67,50,35
"d413",,51,58,48,45
"d414",,66,48,50,60
"d206",,40,45,52,65
"d406",,60,67,53,60
"d207",,38,62,50,53
"d112",,30,42,50,45
"d407",,45,63,60,70
"d103",,15,25,45,35
"d227",,75,60,50,50
"d419",,53,63,63,60
"d421",,40,45,61,60
"d408",,45,35,50,45
"d305",,72,38,62,65
"d319",,30,55,55,45
"d325",,35,55,55,45
"d306",,25,47,25,25
"d208",,75,75,60,73
"d228",,38,45,40,50
"d123",,30,30,30,25
"d422",,30,35,53,35
"d415",,73,78,65,75
"d326",,35,30,33,60
"d307",,48,30,40,40
"d229",,42,40,38,40
"d104",,63,58,60,65
"d124",,55,55,50,50
"d114",,58,43,66,65
"d223",,40,45,47,60
"d320",,65,63,65,63
"d105",,50,50,64,63
"d409",,50,57,60,50
"d214",,30,30,43,33
"d209",,35,45,45,45
"d410",,78,93,78,90
"d423",,48,40,40,45
"d115",,55,57,55,50
"d308",,15,25,15,25
"d309",,73,78,85,83
"d106",,43,43,64,55
"d107",,55,65,45,53
"d108",,45,55,63,80
"d311",,15,25,30,63
"d116",,35,38,41,45
"d109",,60,68,58,75
"d230",,60,45,30,25
"d224",,58,60,53,50
"d327",,50,15,17,50
"d310",,60,53,67,63
"d231",,70,68,63,55
"d424",,35,40,50,40
"d411",,50,55,50,60
"d328",,60,60,67,
"d329",,45,43,35,63
"d321",,77,55,65,45
"d312",,35,55,53,35
"d210",,65,70,75,78
"d110",,50,70,55,45
"d425",,40,43,50,70
"d412",,68,68,68,48
"d111",,55,41,48,53
"d232",,65,65,70,83
"d426",,63,68,53,50
"d215",,75,35,35,35
"d211",,45,66,60,90
"d212",,58,60,55,45
"d113",,55,58,70,40
"d313",,45,38,67,80
"d330",,35,55,40,62
