"district_id","2010","2011","2012","2013","2014","2015","2016"
"d314",63,51,54,49,43,47,49
"d301",60,54,56,57,64,67,64
"d322",79,81,85,87,83,84,87
"d323",74,68,68,70,66,67,68
"d315",65,59,63,62,60,56,59
"d324",103,70,53,57,50,56,61
"d216",65,66,69,69,67,68,70
"d316",78,76,65,70,69,74,67
"d302",69,64,66,65,67,65,73
"d303",64,65,68,70,67,69,72
"d217",70,72,69,71,69,69,70
"d218",55,46,50,55,53,59,65
"d201",65,65,70,75,66,65,65
"d420",46,47,40,40,46,45,45
"d117",55,50,50,46,50,45,45
"d219",70,74,45,46,46,48,49
"d118",60,55,54,61,57,61,64
"d220",57,76,68,63,58,67,68
"d225",59,61,62,64,64,61,64
"d416",68,61,60,63,60,59,59
"d401",56,46,50,48,46,47,51
"d402",40,38,37,38,38,37,38
"d202",65,65,64,65,64,64,67
"d221",74,77,75,77,74,67,71
"d119",54,42,43,42,38,43,39
"d120",74,79,59,65,69,69,63
"d226",91,85,64,64,67,63,69
"d317",69,69,73,73,64,66,70
"d121",54,55,55,55,49,43,43
"d304",56,45,47,49,48,48,50
"d403",57,53,57,53,49,48,48
"d417",43,44,43,41,44,41,44
"d203",53,45,45,43,43,45,47
"d418",51,54,55,53,50,48,50
"d204",48,37,46,42,44,43,45
"d318",82,72,86,92,94,72,90
"d404",39,38,40,39,40,37,40
"d405",59,58,53,52,51,46,46
"d213",75,75,79,85,79,81,80
"d101",35,32,30,30,28,30,32
"d222",70,47,54,55,54,57,59
"d122",52,57,54,58,56,56,54
"d102",43,42,43,42,45,48,46
"d205",60,56,55,55,51,53,57
"d413",59,59,60,56,57,52,53
"d414",51,48,45,46,42,42,45
"d206",45,44,47,48,47,48,53
"d406",51,46,46,46,46,45,47
"d207",61,61,66,70,69,69,67
"d112",60,56,58,56,49,53,48
"d407",65,61,62,60,58,59,61
"d103",41,40,34,35,28,29,32
"d227",76,79,55,56,52,53,56
"d419",52,50,48,49,50,47,46
"d421",68,62,64,63,65,66,63
"d408",56,47,54,53,51,51,52
"d305",69,57,54,58,55,53,57
"d319",69,61,62,67,64,69,73
"d325",69,58,62,63,57,61,55
"d306",97,64,82,76,70,74,76
"d208",72,72,73,75,76,76,79
"d228",52,58,60,58,56,51,53
"d123",50,43,39,40,38,36,38
"d422",74,69,71,70,71,63,65
"d415",68,67,68,67,65,65,62
"d326",76,71,74,76,79,66,71
"d307",56,50,56,58,56,56,59
"d229",60,59,53,53,46,50,54
"d104",52,52,51,49,45,47,47
"d124",55,59,55,58,54,46,47
"d114",45,47,50,50,46,50,52
"d223",56,58,64,65,62,64,64
"d320",65,66,67,72,69,68,73
"d105",46,47,43,43,38,38,41
"d409",54,52,52,51,51,45,45
"d214",65,66,59,63,67,66,68
"d209",58,55,52,53,52,50,52
"d410",38,34,35,36,37,36,37
"d423",43,42,42,41,40,41,40
"d115",42,43,42,40,38,37,38
"d308",66,39,27,23,24,23,23
"d309",45,47,47,48,47,41,41
"d106",50,45,50,49,46,45,45
"d107",60,58,60,57,49,52,51
"d108",46,42,47,47,48,46,46
"d311",69,,39,38,28,31,31
"d116",53,54,54,52,53,54,58
"d109",44,37,41,41,34,33,31
"d230",70,68,72,72,64,70,70
"d224",66,59,66,71,54,51,58
"d327",71,59,85,73,70,66,61
"d310",66,62,63,66,67,67,72
"d231",64,66,65,64,61,60,61
"d424",51,40,41,43,39,36,40
"d411",48,44,46,48,43,44,45
"d328",73,78,67,74,62,62,65
"d329",72,65,57,62,63,59,60
"d321",68,69,67,69,78,67,72
"d312",74,79,76,84,87,86,88
"d210",66,66,67,70,71,65,68
"d110",44,44,46,46,43,44,46
"d425",50,51,47,46,40,45,48
"d412",39,37,36,35,37,33,32
"d111",46,42,38,40,40,39,41
"d232",70,72,73,77,69,70,73
"d426",40,41,40,40,38,31,31
"d215",63,62,56,58,54,57,54
"d211",61,64,62,62,63,58,61
"d212",72,67,74,75,75,72,75
"d113",38,38,38,37,36,37,38
"d313",51,55,48,50,53,52,56
"d330",73,67,68,67,62,62,66
