"id-from","entity-from-name","year","financing-type","value"
"IN","India",2008,"interest-subsidy",40984215
"IN","India",2008,"other",5911214
"IN","India",2008,"intl-orgs",237857542
"IN","India",2008,"loans-advances",161444370
"IN","India",2008,"tech-econ-coop",397596669
"IN","India",2009,"interest-subsidy",32044064
"IN","India",2009,"other",4809885
"IN","India",2009,"intl-orgs",145073054
"IN","India",2009,"loans-advances",127857143
"IN","India",2009,"tech-econ-coop",461966991
"IN","India",2010,"interest-subsidy",27044550
"IN","India",2010,"other",5458600
"IN","India",2010,"intl-orgs",132523314
"IN","India",2010,"loans-advances",100949561
"IN","India",2010,"tech-econ-coop",519520680
"IN","India",2011,"interest-subsidy",25618881
"IN","India",2011,"other",7011459
"IN","India",2011,"intl-orgs",156960156
"IN","India",2011,"loans-advances",166511380
"IN","India",2011,"tech-econ-coop",463484818
"IN","India",2012,"interest-subsidy",46497540
"IN","India",2012,"other",8427945
"IN","India",2012,"intl-orgs",174536255
"IN","India",2012,"loans-advances",302151420
"IN","India",2012,"tech-econ-coop",617800658
"IN","India",2013,"interest-subsidy",68055980
"IN","India",2013,"other",11167864
"IN","India",2013,"intl-orgs",217798076
"IN","India",2013,"loans-advances",299339677
"IN","India",2013,"tech-econ-coop",879812724
"ZA","South Africa",2000,"intl-orgs",39902963
"ZA","South Africa",2000,"prog-exp",0
"ZA","South Africa",2000,"trf-arf",0
"ZA","South Africa",2000,"other",2853750
"ZA","South Africa",2001,"intl-orgs",47879592
"ZA","South Africa",2001,"prog-exp",15125875
"ZA","South Africa",2001,"trf-arf",0
"ZA","South Africa",2001,"other",1379220
"ZA","South Africa",2002,"intl-orgs",112467517
"ZA","South Africa",2002,"prog-exp",5703795
"ZA","South Africa",2002,"trf-arf",0
"ZA","South Africa",2002,"other",1560234
"ZA","South Africa",2003,"intl-orgs",97895367
"ZA","South Africa",2003,"prog-exp",371163
"ZA","South Africa",2003,"trf-arf",7933011
"ZA","South Africa",2003,"other",1934538
"ZA","South Africa",2004,"intl-orgs",68648133
"ZA","South Africa",2004,"prog-exp",1359615
"ZA","South Africa",2004,"trf-arf",8521284
"ZA","South Africa",2004,"other",4883262
"ZA","South Africa",2005,"intl-orgs",67123134
"ZA","South Africa",2005,"prog-exp",3491246
"ZA","South Africa",2005,"trf-arf",14076551
"ZA","South Africa",2005,"other",3584183
"ZA","South Africa",2006,"intl-orgs",78118066
"ZA","South Africa",2006,"prog-exp",4239213
"ZA","South Africa",2006,"trf-arf",19572716
"ZA","South Africa",2006,"other",2577389
"ZA","South Africa",2007,"intl-orgs",69243245
"ZA","South Africa",2007,"prog-exp",51975275
"ZA","South Africa",2007,"trf-arf",31646553
"ZA","South Africa",2007,"other",3675485
"ZA","South Africa",2008,"intl-orgs",66003513
"ZA","South Africa",2008,"prog-exp",7187020
"ZA","South Africa",2008,"trf-arf",66295993
"ZA","South Africa",2008,"other",3083246
"ZA","South Africa",2009,"intl-orgs",84406696
"ZA","South Africa",2009,"prog-exp",48295093
"ZA","South Africa",2009,"trf-arf",81340778
"ZA","South Africa",2009,"other",4724066
"ZA","South Africa",2010,"intl-orgs",69926736
"ZA","South Africa",2010,"prog-exp",48664904
"ZA","South Africa",2010,"trf-arf",52195067
"ZA","South Africa",2010,"other",3616360
"ZA","South Africa",2011,"intl-orgs",60496802
"ZA","South Africa",2011,"prog-exp",58966456
"ZA","South Africa",2011,"trf-arf",43794936
"ZA","South Africa",2011,"other",2533775
"ZA","South Africa",2012,"intl-orgs",59260507
"ZA","South Africa",2012,"prog-exp",70102132
"ZA","South Africa",2012,"trf-arf",45929205
"ZA","South Africa",2012,"other",2256519
